,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,loudness_direction_basis.fp,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.andante,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,65,2.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.25,0.0,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
1,1,53,0.0,0.33333334,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001129943528212607,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.001129943528212607,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,53.0,19.0
2,2,72,0.0,1.0,3,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001129943528212607,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.001129943528212607,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,53.0,19.0
3,3,57,0.3333333432674408,0.33333334,3,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333432674408,0.002636535093188286,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.002636535093188286,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0
4,4,60,0.6666666865348816,0.33333334,3,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666865348816,0.004143126308917999,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.004143126308917999,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
5,5,55,1.0,0.33333334,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.005649717524647713,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.005649717524647713,0.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,72.0,55.0,17.0
6,6,71,1.0,0.0,3,0.0,0.33333333333333326,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.005649717524647713,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.005649717524647713,0.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,72.0,55.0,17.0
7,7,72,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.005649717524647713,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.005649717524647713,0.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,72.0,55.0,17.0
8,8,58,1.3333333730697632,0.33333334,3,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3333333730697632,0.0071563092060387135,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.0071563092060387135,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0
9,9,60,1.6666666269302368,0.33333334,3,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6666666269302368,0.00866289995610714,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.00866289995610714,1.5,0.5000000000000001,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
10,10,53,2.0,0.33333334,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.010169491171836853,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.010169491171836853,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,74.0,53.0,21.0
11,11,71,2.0,0.0,3,0.0,0.33333333333333304,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.010169491171836853,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.010169491171836853,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,74.0,53.0,21.0
12,12,72,2.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.010169491171836853,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.010169491171836853,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,74.0,53.0,21.0
13,13,72,2.0,0.0,3,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.010169491171836853,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.010169491171836853,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,74.0,53.0,21.0
14,14,74,2.0,0.0,3,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.010169491171836853,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.010169491171836853,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,74.0,53.0,21.0
15,15,57,2.3333332538604736,0.33333334,3,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3333332538604736,0.011676082387566566,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.011676082387566566,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0
16,16,60,2.6666667461395264,0.33333334,3,0.0,0.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6666667461395264,0.013182674534618855,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.013182674534618855,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
17,17,52,0.0,0.33333334,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.014689265750348568,0.4094488188976378,0.1676483352966706,0.06864341287737694,0.014689265750348568,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,82.0,52.0,30.0
