,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,loudness_direction_basis.loudness_incr,loudness_direction_basis.loudness_decr,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,39.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.30708661417322836,0.09430218860437721,0.028958939807643396,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,51.0,39.0,12.0
1,1,51.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4015748031496063,0.16126232252464506,0.06475888542328266,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,51.0,39.0,12.0
2,2,79.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0031746032182127237,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.0031746032182127237,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,82.0,79.0,3.0
3,3,82.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0031746032182127237,0.6456692913385826,0.41688883377766756,0.2691723178721948,0.0031746032182127237,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,82.0,79.0,3.0
4,4,77.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0063492064364254475,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.0063492064364254475,0.125,0.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,80.0,77.0,3.0
5,5,80.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0063492064364254475,0.6299212598425197,0.3968007936015872,0.24995325581202343,0.0063492064364254475,0.125,0.875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,80.0,77.0,3.0
6,6,75.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999166666739,0.0,3.0,0.009523809887468815,0.5905511811023622,0.348750697501395,0.20595513631972145,0.009523809887468815,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,79.0,75.0,4.0
7,7,79.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999166666739,0.0,3.0,0.009523809887468815,0.6220472440944882,0.38694277388554776,0.2406966861177817,0.009523809887468815,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,79.0,75.0,4.0
8,8,74.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.012698412872850895,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.012698412872850895,0.375,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,77.0,74.0,3.0
9,9,77.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.012698412872850895,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.012698412872850895,0.375,0.625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,77.0,74.0,3.0
10,10,72.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25000000520833343,0.0,5.0,0.01587301678955555,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.01587301678955555,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,75.0,72.0,3.0
11,11,75.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25000000520833343,0.0,5.0,0.01587301678955555,0.5905511811023622,0.348750697501395,0.20595513631972145,0.01587301678955555,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,75.0,72.0,3.0
12,12,70.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5000000104166669,0.0,6.0,0.01904761977493763,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.01904761977493763,0.625,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,74.0,70.0,4.0
13,13,74.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5000000104166669,0.0,6.0,0.01904761977493763,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.01904761977493763,0.625,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,74.0,70.0,4.0
14,14,68.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7500000156250003,0.0,7.0,0.02222222276031971,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.02222222276031971,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,72.0,68.0,4.0
15,15,72.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7500000156250003,0.0,7.0,0.02222222276031971,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.02222222276031971,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,72.0,68.0,4.0
16,16,51.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.02539682574570179,0.4015748031496063,0.16126232252464506,0.06475888542328266,0.02539682574570179,0.875,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,70.0,51.0,19.0
17,17,63.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.02539682574570179,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.02539682574570179,0.875,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,70.0,51.0,19.0
18,18,67.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.02539682574570179,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.02539682574570179,0.875,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,70.0,51.0,19.0
19,19,70.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.02539682574570179,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.02539682574570179,0.875,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,70.0,51.0,19.0
20,20,50.0,0.0,1.0,3,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999999166666739,9.0,0.02857142873108387,0.3937007874015748,0.15500031000062,0.06102374409473228,0.02857142873108387,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,70.0,50.0,20.0
21,21,62.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999999166666739,9.0,0.02857142873108387,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.02857142873108387,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,70.0,50.0,20.0
22,22,65.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999999166666739,9.0,0.02857142873108387,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.02857142873108387,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,70.0,50.0,20.0
23,23,70.0,0.0,4.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9999999166666739,9.0,0.02857142873108387,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.02857142873108387,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,70.0,50.0,20.0
24,24,48.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0317460335791111,0.3779527559055118,0.1428482856965714,0.05398990325539706,0.0317460335791111,0.14285714285714285,0.8571428571428572,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,63.0,48.0,15.0
25,25,60.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0317460335791111,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.0317460335791111,0.14285714285714285,0.8571428571428572,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,63.0,48.0,15.0
26,26,63.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0317460335791111,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.0317460335791111,0.14285714285714285,0.8571428571428572,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,63.0,48.0,15.0
27,27,46.0,2.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2000000033333334,11.0,0.03492063656449318,0.36220472440944884,0.13119226238452478,0.04751845724163889,0.03492063656449318,0.2857142857142857,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,62.0,46.0,16.0
28,28,58.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2000000033333334,11.0,0.03492063656449318,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.03492063656449318,0.2857142857142857,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,62.0,46.0,16.0
29,29,62.0,2.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2000000033333334,11.0,0.03492063656449318,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.03492063656449318,0.2857142857142857,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,62.0,46.0,16.0
30,30,44.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4000000066666668,12.0,0.03809523954987526,0.3464566929133858,0.12003224006448013,0.0415859729357254,0.03809523954987526,0.42857142857142855,0.5714285714285714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,56.0,44.0,12.0
31,31,56.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4000000066666668,12.0,0.03809523954987526,0.4409448818897638,0.19443238886477773,0.08573396674352404,0.03809523954987526,0.42857142857142855,0.5714285714285714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,56.0,44.0,12.0
32,32,43.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6000000100000003,13.0,0.04126984253525734,0.33858267716535434,0.11463822927645856,0.03881451857391904,0.04126984253525734,0.5714285714285714,0.4285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,72.0,43.0,29.0
33,33,55.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6000000100000003,13.0,0.04126984253525734,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.04126984253525734,0.5714285714285714,0.4285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,72.0,43.0,29.0
34,34,63.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6000000100000003,13.0,0.04126984253525734,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.04126984253525734,0.5714285714285714,0.4285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,72.0,43.0,29.0
35,35,72.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6000000100000003,13.0,0.04126984253525734,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.04126984253525734,0.5714285714285714,0.4285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,72.0,43.0,29.0
36,36,41.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8000000133333336,14.0,0.04444444552063942,0.3228346456692913,0.10422220844441689,0.03364653973402435,0.04444444552063942,0.7142857142857142,0.2857142857142858,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,74.0,41.0,33.0
37,37,53.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8000000133333336,14.0,0.04444444552063942,0.41732283464566927,0.17415834831669663,0.07268025559673166,0.04444444552063942,0.7142857142857142,0.2857142857142858,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,74.0,41.0,33.0
38,38,65.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8000000133333336,14.0,0.04444444552063942,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.04444444552063942,0.7142857142857142,0.2857142857142858,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,74.0,41.0,33.0
39,39,74.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8000000133333336,14.0,0.04444444552063942,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.04444444552063942,0.7142857142857142,0.2857142857142858,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,74.0,41.0,33.0
40,40,39.0,0.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0476190485060215,0.30708661417322836,0.09430218860437721,0.028958939807643396,0.0476190485060215,0.8571428571428571,2.142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,75.0,39.0,36.0
41,41,51.0,0.0,1.0,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0476190485060215,0.4015748031496063,0.16126232252464506,0.06475888542328266,0.0476190485060215,0.8571428571428571,2.142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,75.0,39.0,36.0
42,42,67.0,0.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0476190485060215,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.0476190485060215,0.8571428571428571,2.142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,75.0,39.0,36.0
43,43,75.0,0.0,2.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0476190485060215,0.5905511811023622,0.348750697501395,0.20595513631972145,0.0476190485060215,0.8571428571428571,2.142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,75.0,39.0,36.0
44,44,60.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.05079365149140358,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.05079365149140358,1.6666666666666665,2.3333333333333335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
45,45,56.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.05396825447678566,0.4409448818897638,0.19443238886477773,0.08573396674352404,0.05396825447678566,1.8333333333333333,1.1666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,72.0,56.0,16.0
46,46,68.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.05396825447678566,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.05396825447678566,1.8333333333333333,1.1666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,72.0,56.0,16.0
