,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.p,loudness_direction_basis.fp,loudness_direction_basis.f,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.allegro,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,74.0,2.0,0.75,3,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
1,1,71.0,2.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.25,0.0020949721802026033,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.0020949721802026033,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0
2,2,55.0,0.0,0.5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002793296007439494,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.002793296007439494,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,55.0,19.0
3,3,74.0,0.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002793296007439494,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.002793296007439494,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,55.0,19.0
4,4,59.0,0.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.004189944360405207,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.004189944360405207,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
5,5,62.0,1.0,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.005586592014878988,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.005586592014878988,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
6,6,59.0,1.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.006983240135014057,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.006983240135014057,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
7,7,62.0,2.0,0.5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.008379888720810413,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.008379888720810413,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,62.0,5.0
8,8,67.0,2.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.008379888720810413,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.008379888720810413,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,62.0,5.0
9,9,59.0,2.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.009776536375284195,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.009776536375284195,1.0833333333333333,0.9166666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
10,10,57.0,0.0,0.5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.011173184029757977,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.011173184029757977,1.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,66.0,57.0,9.0
11,11,66.0,0.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.011173184029757977,0.5196850393700787,0.2700725401450803,0.14035265865807323,0.011173184029757977,1.5,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,66.0,57.0,9.0
12,12,60.0,0.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,0.012569832615554333,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.012569832615554333,0.9166666666666666,1.0833333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
13,13,62.0,1.0,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.013966480270028114,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.013966480270028114,1.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
14,14,60.0,1.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,0.01536312885582447,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.01536312885582447,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
15,15,62.0,2.0,0.5,3,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.016759777441620827,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.016759777441620827,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,62.0,19.0
16,16,81.0,2.0,0.75,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.016759777441620827,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.016759777441620827,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,81.0,62.0,19.0
17,17,60.0,2.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.5,0.018156424164772034,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.018156424164772034,1.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0
18,18,78.0,2.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.75,0.018854748457670212,0.6141732283464567,0.37720875441750884,0.23167151846114717,0.018854748457670212,1.6666666666666665,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,0.0
19,19,54.0,0.0,0.5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.01955307275056839,0.4251968503937008,0.18079236158472317,0.0768723427210634,0.01955307275056839,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,54.0,27.0
20,20,81.0,0.0,1.0,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.01955307275056839,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.01955307275056839,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,81.0,54.0,27.0
21,21,57.0,0.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.5,0.020949721336364746,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.020949721336364746,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0
22,22,62.0,1.0,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.022346368059515953,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.022346368059515953,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
23,23,57.0,1.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5,0.02374301664531231,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.02374301664531231,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0
24,24,62.0,2.0,0.5,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.025139665231108665,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.025139665231108665,0.6666666666666666,1.3333333333333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,62.0,10.0
