,src,dst
0,0,1
1,1,2
2,2,3
3,3,4
4,3,5
5,3,6
6,4,5
7,4,6
8,4,1443
9,4,7
10,4,8
11,4,9
12,4,10
13,5,4
14,5,6
15,5,7
16,5,8
17,6,4
18,6,5
19,6,7
20,6,8
21,7,8
22,7,9
23,7,10
24,8,7
25,8,9
26,8,10
27,9,10
28,9,1443
29,10,9
30,10,1443
31,11,12
32,12,13
33,13,14
34,14,15
35,14,16
36,14,17
37,15,16
38,15,17
39,15,1444
40,15,18
41,15,19
42,15,20
43,15,21
44,16,15
45,16,17
46,16,18
47,16,19
48,17,15
49,17,16
50,17,18
51,17,19
52,18,19
53,18,20
54,18,21
55,19,18
56,19,20
57,19,21
58,20,21
59,20,1444
60,21,20
61,21,1444
62,22,23
63,23,24
64,24,25
65,25,26
66,26,27
67,27,28
68,28,29
69,29,30
70,30,31
71,31,32
72,31,33
73,31,34
74,32,33
75,32,34
76,32,36
77,32,37
78,32,38
79,32,35
80,33,32
81,33,34
82,33,36
83,33,37
84,33,38
85,33,35
86,34,32
87,34,33
88,34,35
89,35,36
90,35,37
91,35,38
92,36,37
93,36,38
94,36,39
95,36,40
96,36,41
97,37,36
98,37,38
99,37,39
100,37,40
101,37,41
102,38,36
103,38,37
104,38,39
105,38,40
106,38,41
107,39,40
108,39,41
109,39,42
110,39,43
111,39,44
112,40,39
113,40,41
114,40,42
115,40,43
116,40,44
117,41,39
118,41,40
119,41,42
120,41,43
121,41,44
122,42,43
123,42,44
124,42,1445
125,43,42
126,43,44
127,43,1445
128,44,42
129,44,43
130,44,1445
131,45,46
132,46,47
133,47,48
134,48,49
135,48,50
136,48,51
137,49,50
138,49,51
139,49,56
140,49,52
141,49,53
142,49,54
143,49,55
144,50,49
145,50,51
146,50,54
147,50,55
148,50,52
149,50,53
150,51,49
151,51,50
152,51,52
153,52,53
154,53,54
155,53,55
156,54,55
157,54,56
158,55,54
159,55,56
160,56,58
161,56,59
162,56,57
163,57,58
164,57,59
165,58,59
166,58,61
167,58,62
168,58,63
169,58,60
170,59,58
171,59,60
172,60,61
173,60,62
174,60,63
175,61,62
176,61,63
177,61,65
178,61,66
179,61,67
180,61,64
181,62,61
182,62,63
183,62,65
184,62,66
185,62,67
186,62,64
187,63,61
188,63,62
189,63,64
190,64,65
191,64,66
192,64,67
193,65,66
194,65,67
195,65,71
196,65,72
197,65,68
198,65,69
199,65,70
200,66,65
201,66,67
202,66,71
203,66,72
204,66,68
205,66,69
206,66,70
207,67,65
208,67,66
209,67,68
210,68,69
211,69,70
212,70,71
213,70,72
214,71,72
215,71,74
216,71,75
217,71,76
218,71,73
219,72,71
220,72,74
221,72,75
222,72,76
223,72,73
224,73,74
225,73,75
226,73,76
227,74,75
228,74,76
229,74,78
230,74,79
231,74,77
232,75,74
233,75,76
234,75,90
235,75,77
236,75,78
237,75,79
238,75,80
239,75,81
240,75,82
241,75,83
242,75,84
243,75,85
244,75,86
245,75,87
246,75,88
247,75,89
248,76,74
249,76,75
250,76,77
251,77,78
252,77,79
253,78,79
254,78,81
255,78,82
256,78,80
257,79,78
258,79,80
259,80,81
260,80,82
261,81,82
262,81,90
263,81,83
264,81,84
265,81,85
266,81,86
267,81,87
268,81,88
269,81,89
270,82,81
271,82,83
272,83,84
273,84,85
274,85,86
275,86,87
276,87,88
277,88,89
278,89,90
279,90,91
280,91,94
281,91,95
282,91,96
283,91,97
284,91,92
285,91,93
286,92,93
287,92,94
288,92,95
289,92,96
290,92,97
291,93,92
292,93,94
293,93,95
294,93,96
295,93,97
296,94,95
297,94,96
298,94,97
299,94,98
300,94,99
301,94,100
302,94,101
303,95,94
304,95,96
305,95,97
306,95,98
307,95,99
308,95,100
309,95,101
310,96,94
311,96,95
312,96,97
313,96,98
314,96,99
315,96,100
316,96,101
317,97,94
318,97,95
319,97,96
320,97,94
321,97,95
322,97,96
323,97,97
324,98,99
325,98,100
326,98,101
327,98,102
328,98,103
329,98,104
330,99,98
331,99,100
332,99,101
333,99,102
334,99,103
335,99,104
336,100,98
337,100,99
338,100,101
339,100,102
340,100,103
341,100,104
342,101,98
343,101,99
344,101,100
345,101,98
346,101,99
347,101,100
348,101,101
349,102,103
350,102,104
351,102,109
352,102,105
353,102,106
354,102,107
355,102,108
356,103,102
357,103,104
358,103,107
359,103,108
360,103,105
361,103,106
362,104,102
363,104,103
364,104,105
365,105,106
366,106,107
367,106,108
368,107,108
369,107,110
370,107,109
371,108,107
372,108,110
373,108,109
374,109,110
375,110,111
376,111,112
377,111,113
378,112,113
379,112,115
380,112,114
381,113,112
382,113,114
383,114,115
384,115,116
385,116,117
386,116,118
387,116,119
388,117,118
389,117,119
390,117,1446
391,117,120
392,117,121
393,117,122
394,117,123
395,118,117
396,118,119
397,118,120
398,118,121
399,119,117
400,119,118
401,119,120
402,119,121
403,120,121
404,120,122
405,120,123
406,121,120
407,121,122
408,121,123
409,122,123
410,122,1446
411,123,122
412,123,1446
413,124,125
414,125,126
415,126,127
416,127,128
417,127,129
418,127,130
419,128,129
420,128,130
421,128,1447
422,128,131
423,128,132
424,128,133
425,128,134
426,129,128
427,129,130
428,129,131
429,129,132
430,130,128
431,130,129
432,130,131
433,130,132
434,131,132
435,131,133
436,131,134
437,132,131
438,132,133
439,132,134
440,133,134
441,133,1447
442,134,133
443,134,1447
444,135,136
445,136,137
446,137,138
447,138,139
448,138,140
449,139,140
450,139,141
451,139,142
452,140,139
453,140,141
454,140,142
455,141,142
456,141,143
457,141,144
458,142,141
459,142,143
460,142,144
461,143,144
462,143,145
463,143,146
464,144,143
465,144,145
466,144,146
467,145,146
468,145,147
469,145,148
470,146,145
471,146,147
472,146,148
473,147,148
474,147,150
475,147,151
476,147,149
477,148,147
478,148,149
479,149,150
480,149,151
481,150,151
482,150,153
483,150,154
484,150,152
485,151,150
486,151,152
487,152,153
488,152,154
489,153,154
490,153,155
491,153,156
492,154,153
493,154,155
494,154,156
495,155,156
496,155,157
497,155,158
498,156,155
499,156,157
500,156,158
501,157,158
502,157,1448
503,158,157
504,158,1448
505,159,160
506,160,161
507,161,162
508,162,163
509,162,164
510,162,165
511,163,164
512,163,165
513,163,168
514,163,169
515,163,170
516,163,166
517,163,167
518,164,163
519,164,165
520,164,168
521,164,169
522,164,170
523,164,166
524,164,167
525,165,163
526,165,164
527,165,166
528,166,167
529,167,168
530,167,169
531,167,170
532,168,169
533,168,170
534,168,1449
535,169,168
536,169,170
537,169,1449
538,170,168
539,170,169
540,170,1449
541,171,172
542,172,173
543,173,174
544,174,175
545,175,176
546,175,177
547,175,178
548,176,177
549,176,178
550,176,180
551,176,181
552,176,182
553,176,179
554,177,176
555,177,178
556,177,180
557,177,181
558,177,182
559,177,179
560,178,176
561,178,177
562,178,179
563,179,180
564,179,181
565,179,182
566,180,181
567,180,182
568,180,1450
569,181,180
570,181,182
571,181,1450
572,182,180
573,182,181
574,182,1450
575,183,184
576,183,185
577,183,186
578,183,187
579,184,183
580,184,185
581,184,186
582,184,187
583,185,186
584,185,187
585,185,188
586,185,189
587,185,190
588,185,191
589,185,192
590,185,193
591,186,185
592,186,187
593,186,188
594,186,189
595,186,190
596,186,191
597,186,192
598,186,193
599,187,185
600,187,186
601,187,188
602,187,189
603,187,190
604,187,191
605,187,192
606,187,193
607,188,189
608,188,190
609,188,191
610,188,192
611,188,193
612,188,194
613,188,195
614,188,196
615,189,188
616,189,190
617,189,191
618,189,192
619,189,193
620,189,188
621,189,189
622,189,190
623,189,191
624,189,192
625,189,193
626,190,188
627,190,189
628,190,192
629,190,193
630,190,188
631,190,189
632,190,190
633,190,191
634,190,192
635,190,193
636,191,188
637,191,189
638,191,192
639,191,193
640,191,188
641,191,189
642,191,190
643,191,191
644,191,192
645,191,193
646,192,188
647,192,189
648,192,190
649,192,191
650,192,188
651,192,189
652,192,190
653,192,191
654,192,192
655,192,193
656,193,188
657,193,189
658,193,190
659,193,191
660,193,194
661,193,195
662,193,196
663,194,195
664,194,196
665,194,197
666,194,198
667,194,199
668,194,200
669,194,201
670,194,202
671,195,194
672,195,196
673,195,197
674,195,198
675,195,199
676,195,200
677,195,201
678,195,202
679,196,194
680,196,195
681,196,197
682,196,198
683,196,199
684,196,200
685,196,201
686,196,202
687,197,198
688,197,199
689,197,200
690,197,201
691,197,202
692,197,203
693,197,204
694,197,205
695,198,197
696,198,199
697,198,200
698,198,201
699,198,202
700,198,197
701,198,198
702,198,199
703,198,200
704,198,201
705,198,202
706,199,197
707,199,198
708,199,201
709,199,202
710,199,197
711,199,198
712,199,199
713,199,200
714,199,201
715,199,202
716,200,197
717,200,198
718,200,201
719,200,202
720,200,197
721,200,198
722,200,199
723,200,200
724,200,201
725,200,202
726,201,197
727,201,198
728,201,199
729,201,200
730,201,197
731,201,198
732,201,199
733,201,200
734,201,201
735,201,202
736,202,197
737,202,198
738,202,199
739,202,200
740,202,203
741,202,204
742,202,205
743,203,204
744,203,205
745,203,1452
746,204,203
747,204,205
748,204,1452
749,205,203
750,205,204
751,205,1452
752,206,207
753,206,208
754,206,209
755,206,210
756,206,213
757,206,214
758,206,215
759,206,211
760,206,212
761,207,206
762,207,209
763,207,210
764,207,213
765,207,214
766,207,215
767,207,211
768,207,212
769,208,206
770,208,209
771,208,210
772,208,211
