,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.andante,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,55.0,0.0,0.25,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,71.0,55.0,16.0
1,1,71.0,0.0,2.0,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,55.0,16.0
2,2,62.0,0.25,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0011363636003807187,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.0011363636003807187,0.08333333333333333,0.9166666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
3,3,59.0,0.5,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0022727272007614374,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.0022727272007614374,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
4,4,62.0,0.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.003409090917557478,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.003409090917557478,0.25,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
5,5,55.0,1.0,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.004545454401522875,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.004545454401522875,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0
6,6,62.0,1.25,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.25,0.005681818351149559,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.005681818351149559,0.41666666666666663,0.5833333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
7,7,59.0,1.5,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.006818181835114956,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.006818181835114956,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
8,8,62.0,1.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.75,0.007954545319080353,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.007954545319080353,0.5833333333333333,0.41666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
9,9,57.0,2.0,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.00909090880304575,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.00909090880304575,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,57.0,17.0
10,10,74.0,2.0,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,2.0,0.00909090880304575,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.00909090880304575,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,57.0,17.0
11,11,62.0,2.25,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,2.25,0.010227272287011147,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.010227272287011147,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,62.0,10.0
12,12,72.0,2.25,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,2.25,0.010227272287011147,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.010227272287011147,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,62.0,10.0
13,13,60.0,2.5,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,2.5,0.011363636702299118,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.011363636702299118,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,71.0,60.0,11.0
14,14,71.0,2.5,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,2.5,0.011363636702299118,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.011363636702299118,0.8333333333333333,0.16666666666666674,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,60.0,11.0
15,15,62.0,2.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,2.75,0.012500000186264515,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.012500000186264515,0.9166666666666666,0.08333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,62.0,10.0
16,16,72.0,2.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,2.75,0.012500000186264515,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.012500000186264515,0.9166666666666666,0.08333333333333337,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,62.0,10.0
17,17,55.0,0.0,0.25,3,0.0,0.75,0.0,0.0,0.0,0.0,3.0,0.013636363670229912,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.013636363670229912,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,55.0,19.0
18,18,74.0,0.0,0.75,3,0.0,0.25,0.0,0.0,0.0,0.0,3.0,0.013636363670229912,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.013636363670229912,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,55.0,19.0
19,19,62.0,0.25,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,3.25,0.014772727154195309,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.014772727154195309,0.25,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
20,20,59.0,0.5,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,3.5,0.015909090638160706,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.015909090638160706,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
21,21,62.0,0.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,3.75,0.017045455053448677,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.017045455053448677,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,71.0,62.0,9.0
22,22,71.0,0.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,3.75,0.017045455053448677,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.017045455053448677,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,71.0,62.0,9.0
23,23,55.0,1.0,0.25,3,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0181818176060915,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.0181818176060915,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,55.0,12.0
24,24,67.0,1.0,1.0,3,0.0,0.25,0.0,0.0,0.0,0.0,4.0,0.0181818176060915,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.0181818176060915,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,55.0,12.0
25,25,62.0,1.25,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,4.25,0.01931818202137947,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.01931818202137947,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
26,26,59.0,1.5,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,4.5,0.020454544574022293,0.4645669291338583,0.21582243164486328,0.10026396430745617,0.020454544574022293,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0
27,27,62.0,1.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,4.75,0.021590908989310265,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.021590908989310265,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,0.0
