,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.f,loudness_direction_basis.p,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.allegro,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,70.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0
1,1,58.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014104372821748257,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.0014104372821748257,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,58.0,16.0
2,2,74.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014104372821748257,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.0014104372821748257,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,58.0,16.0
3,3,65.0,0.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0028208745643496513,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.0028208745643496513,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
4,4,60.0,1.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004231311846524477,0.47244094488188976,0.2232004464008928,0.10544902979569738,0.004231311846524477,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,75.0,60.0,15.0
5,5,75.0,1.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004231311846524477,0.5905511811023622,0.348750697501395,0.20595513631972145,0.004231311846524477,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,75.0,60.0,15.0
6,6,65.0,1.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.005641749128699303,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.005641749128699303,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
7,7,62.0,2.0,0.5,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.007052185945212841,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.007052185945212841,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,76.0,62.0,14.0
8,8,76.0,2.0,1.0,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.007052185945212841,0.5984251968503937,0.35811271622543245,0.2143036727018336,0.007052185945212841,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,76.0,62.0,14.0
9,9,65.0,2.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.008462623693048954,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.008462623693048954,0.3333333333333333,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0
10,10,58.0,3.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.009873060509562492,0.4566929133858268,0.20856841713683427,0.09525171806249125,0.009873060509562492,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0,58.0,19.0
11,11,77.0,3.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.009873060509562492,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.009873060509562492,0.6666666666666666,0.33333333333333337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,77.0,58.0,19.0
12,12,65.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.011283498257398605,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.011283498257398605,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,74.0,65.0,9.0
13,13,74.0,3.5,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.011283498257398605,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.011283498257398605,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,74.0,65.0,9.0
14,14,57.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.012693935073912144,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.012693935073912144,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,74.0,57.0,17.0
15,15,72.0,0.0,0.5,4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.012693935073912144,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.012693935073912144,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,74.0,57.0,17.0
16,16,74.0,0.0,0.0,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.012693935073912144,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.012693935073912144,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,74.0,57.0,17.0
