,src,dst
0,0,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,3
6,2,4
7,2,5
8,2,6
9,2,7
10,3,2
11,3,4
12,3,5
13,3,6
14,3,7
15,4,2
16,4,3
17,4,5
18,4,8
19,4,9
20,4,10
21,4,6
22,4,7
23,5,2
24,5,3
25,5,4
26,5,11
27,5,6
28,5,7
29,5,8
30,5,9
31,5,10
32,6,7
33,6,8
34,6,9
35,6,10
36,7,6
37,7,8
38,7,9
39,7,10
40,8,9
41,8,10
42,8,12
43,8,13
44,8,14
45,8,11
46,9,8
47,9,10
48,9,12
49,9,13
50,9,14
51,9,11
52,10,8
53,10,9
54,10,12
55,10,13
56,10,14
57,10,11
58,11,15
59,11,12
60,11,13
61,11,14
62,12,13
63,12,14
64,12,16
65,12,17
66,12,18
67,12,15
68,13,12
69,13,14
70,13,16
71,13,17
72,13,18
73,13,15
74,14,12
75,14,13
76,14,1982
77,14,15
78,14,16
79,14,17
80,14,18
81,14,19
82,14,20
83,14,21
84,15,16
85,15,17
86,15,18
87,16,17
88,16,18
89,16,19
90,16,20
91,16,21
92,17,16
93,17,18
94,17,19
95,17,20
96,17,21
97,18,16
98,18,17
99,18,19
100,18,20
101,18,21
102,19,20
103,19,21
104,19,1982
105,20,19
106,20,21
107,20,1982
108,21,19
109,21,20
110,21,1982
111,22,23
112,23,24
113,23,25
114,24,25
115,24,45
116,24,46
117,24,26
118,24,27
119,24,28
120,24,29
121,24,30
122,24,31
123,24,32
124,24,33
125,24,34
126,24,35
127,24,36
128,24,37
129,24,38
130,24,39
131,24,40
132,24,41
133,24,42
134,24,43
135,24,44
136,25,24
137,25,30
138,25,31
139,25,32
140,25,26
141,25,27
142,25,28
143,25,29
144,26,27
145,26,28
146,26,29
147,27,26
148,27,28
149,27,29
150,28,29
151,28,30
152,28,31
153,28,32
154,29,28
155,29,30
156,29,31
157,29,32
158,30,31
159,30,32
160,30,33
161,30,34
162,31,30
163,31,32
164,31,35
165,31,36
166,31,37
167,31,33
168,31,34
169,32,30
170,32,31
171,32,33
172,32,34
173,33,34
174,33,35
175,33,36
176,33,37
177,34,33
178,34,35
179,34,36
180,34,37
181,35,36
182,35,37
183,35,38
184,35,39
185,36,35
186,36,38
187,36,39
188,37,35
189,37,41
190,37,42
191,37,43
192,37,38
193,37,39
194,37,40
195,38,39
196,38,41
197,38,42
198,38,43
199,38,40
200,39,38
201,39,40
202,40,41
203,40,42
204,40,43
205,41,42
206,41,43
207,41,45
208,41,46
209,41,44
210,42,41
211,42,43
212,42,45
213,42,46
214,42,44
215,43,41
216,43,42
217,43,44
218,44,45
219,44,46
220,45,46
221,45,51
222,45,52
223,45,53
224,45,54
225,45,47
226,45,48
227,45,49
228,45,50
229,46,45
230,46,51
231,46,52
232,46,53
233,46,54
234,46,47
235,46,48
236,46,49
237,46,50
238,47,48
239,47,49
240,47,50
241,48,47
242,48,49
243,48,50
244,49,50
245,49,51
246,49,52
247,49,53
248,49,54
249,50,49
250,50,51
251,50,52
252,50,53
253,50,54
254,51,52
255,51,53
256,51,54
257,51,55
258,51,56
259,51,57
260,51,58
261,52,51
262,52,53
263,52,54
264,52,55
265,52,56
266,52,57
267,52,58
268,53,51
269,53,52
270,53,54
271,53,55
272,53,56
273,53,57
274,53,58
275,54,51
276,54,52
277,54,53
278,54,55
279,54,56
280,54,57
281,54,58
282,55,56
283,55,57
284,55,58
285,55,59
286,55,60
287,55,61
288,56,55
289,56,57
290,56,58
291,56,59
292,56,60
293,56,61
294,57,55
295,57,56
296,57,58
297,57,59
298,57,60
299,57,61
300,58,55
301,58,56
302,58,57
303,58,59
304,58,60
305,58,61
306,59,61
307,59,62
308,59,63
309,59,64
310,60,61
311,60,62
312,60,63
313,60,64
314,61,59
315,61,60
316,61,62
317,61,63
318,61,64
319,62,64
320,62,65
321,62,66
322,62,67
323,63,64
324,63,65
325,63,66
326,63,67
327,64,62
328,64,63
329,64,65
330,64,66
331,64,67
332,65,67
333,65,68
334,65,69
335,65,70
336,65,71
337,66,67
338,66,68
339,66,69
340,66,70
341,66,71
342,67,65
343,67,66
344,67,68
345,67,69
346,67,70
347,67,71
348,68,70
349,68,71
350,68,72
351,68,73
352,68,74
353,69,70
354,69,71
355,69,72
356,69,73
357,69,74
358,70,68
359,70,69
360,70,71
361,70,72
362,70,73
363,70,74
364,71,68
365,71,69
366,71,70
367,71,79
368,71,80
369,71,72
370,71,73
371,71,74
372,71,75
373,71,76
374,71,77
375,71,78
376,72,73
377,72,74
378,72,75
379,73,72
380,73,74
381,73,76
382,73,77
383,73,78
384,73,75
385,74,72
386,74,73
387,74,76
388,74,77
389,74,78
390,74,75
391,75,76
392,75,77
393,75,78
394,76,77
395,76,78
396,76,79
397,76,80
398,77,76
399,77,78
400,77,79
401,77,80
402,78,76
403,78,77
404,78,79
405,78,80
406,79,80
407,79,81
408,79,82
409,79,83
410,80,79
411,80,84
412,80,85
413,80,81
414,80,82
415,80,83
416,81,82
417,81,83
418,81,84
419,81,85
420,82,81
421,82,83
422,82,86
423,82,87
424,82,88
425,82,84
426,82,85
427,83,81
428,83,82
429,83,86
430,83,87
431,83,88
432,83,84
433,83,85
434,84,85
435,84,86
436,84,87
437,84,88
438,85,84
439,85,89
440,85,90
441,85,86
442,85,87
443,85,88
444,86,87
445,86,88
446,86,89
447,86,90
448,87,86
449,87,88
450,87,89
451,87,90
452,88,86
453,88,87
454,88,89
455,88,90
456,89,90
457,89,91
458,89,92
459,89,93
460,90,89
461,90,98
462,90,99
463,90,91
464,90,92
465,90,93
466,90,94
467,90,95
468,90,96
469,90,97
470,91,92
471,91,93
472,91,94
473,92,91
474,92,93
475,92,95
476,92,96
477,92,97
478,92,94
479,93,91
480,93,92
481,93,95
482,93,96
483,93,97
484,93,94
485,94,95
486,94,96
487,94,97
488,95,96
489,95,97
490,95,98
491,95,99
492,96,95
493,96,97
494,96,98
495,96,99
496,97,95
497,97,96
498,97,98
499,97,99
500,98,99
501,98,100
502,98,101
503,98,102
504,99,98
505,99,107
506,99,108
507,99,100
508,99,101
509,99,102
510,99,103
511,99,104
512,99,105
513,99,106
514,100,101
515,100,102
516,100,103
517,101,100
518,101,102
519,101,104
520,101,105
521,101,106
522,101,103
523,102,100
524,102,101
525,102,104
526,102,105
527,102,106
528,102,103
529,103,104
530,103,105
531,103,106
532,104,105
533,104,106
534,104,107
535,104,108
536,105,104
537,105,106
538,105,107
539,105,108
540,106,104
541,106,105
542,106,107
543,106,108
544,107,108
545,107,110
546,107,111
547,107,112
548,107,113
549,107,109
550,108,107
551,108,109
552,109,110
553,109,111
554,109,112
555,109,113
556,110,111
557,110,112
558,110,113
559,110,115
560,110,116
561,110,114
562,111,110
563,111,113
564,111,117
565,111,118
566,111,119
567,111,114
568,111,115
569,111,116
570,112,110
571,112,113
572,112,117
573,112,118
574,112,119
575,112,114
576,112,115
577,112,116
578,113,110
579,113,111
580,113,112
581,113,114
582,114,115
583,114,116
584,115,116
585,115,117
586,115,118
587,115,119
588,116,115
589,116,120
590,116,117
591,116,118
592,116,119
593,117,118
594,117,119
595,117,120
596,118,117
597,118,119
598,118,120
599,119,117
600,119,118
601,119,120
602,120,121
603,120,122
604,120,123
605,121,122
606,121,123
607,121,124
608,122,121
609,122,123
610,122,125
611,122,126
612,122,127
613,122,124
614,123,121
615,123,122
616,123,125
617,123,126
618,123,127
619,123,124
620,124,125
621,124,126
622,124,127
623,125,126
624,125,127
625,125,128
626,125,129
627,126,125
628,126,127
629,126,128
630,126,129
631,127,125
632,127,126
633,127,128
634,127,129
635,128,129
636,128,130
637,128,131
638,128,132
639,129,128
640,129,137
641,129,138
642,129,130
643,129,131
644,129,132
645,129,133
646,129,134
647,129,135
648,129,136
649,130,131
650,130,132
651,130,133
652,131,130
653,131,132
654,131,134
655,131,135
656,131,136
657,131,133
658,132,130
659,132,131
660,132,134
661,132,135
662,132,136
663,132,133
664,133,134
665,133,135
666,133,136
667,134,135
668,134,136
669,134,137
670,134,138
671,135,134
672,135,136
673,135,137
674,135,138
675,136,134
676,136,135
677,136,137
678,136,138
679,137,138
680,137,139
681,137,140
682,137,141
683,138,137
684,138,142
685,138,143
686,138,144
687,138,145
688,138,139
689,138,140
690,138,141
691,139,140
692,139,141
693,139,142
694,139,143
695,139,144
696,139,145
697,140,139
698,140,141
699,140,142
700,140,143
701,140,144
702,140,145
703,141,139
704,141,140
705,141,142
706,141,143
707,141,144
708,141,145
709,142,143
710,142,144
711,142,145
712,142,146
713,142,147
714,142,148
715,143,142
716,143,144
717,143,145
718,143,146
719,143,147
720,143,148
721,144,142
722,144,143
723,144,145
724,144,146
725,144,147
726,144,148
727,145,142
728,145,143
729,145,144
730,145,149
731,145,150
732,145,146
733,145,147
734,145,148
735,146,147
736,146,148
737,146,149
738,146,150
739,147,146
740,147,148
741,147,149
742,147,150
743,148,146
744,148,147
745,148,149
746,148,150
747,149,150
748,149,151
749,149,152
750,149,153
751,150,149
752,150,154
753,150,155
754,150,156
755,150,157
756,150,151
757,150,152
758,150,153
759,151,152
760,151,153
761,151,154
762,151,155
763,151,156
764,151,157
765,152,151
766,152,153
767,152,154
768,152,155
769,152,156
770,152,157
771,153,151
772,153,152
773,153,154
774,153,155
775,153,156
776,153,157
