,src,dst
0,0,1
1,1,2
2,2,3
3,2,4
4,3,4
5,3,5
6,3,6
7,4,3
8,4,5
9,4,6
10,5,6
11,5,7
12,5,8
13,6,5
14,6,7
15,6,8
16,7,8
17,7,9
18,7,10
19,8,7
20,8,11
21,8,12
22,8,13
23,8,9
24,8,10
25,9,10
26,9,11
27,9,12
28,9,13
29,10,9
30,10,11
31,10,12
32,10,13
33,11,12
34,11,13
35,11,14
36,11,15
37,11,16
38,12,11
39,12,13
40,12,14
41,12,15
42,12,16
43,13,11
44,13,12
45,13,14
46,13,15
47,13,16
48,14,15
49,14,16
50,14,19
51,14,20
52,14,21
53,14,22
54,14,17
55,14,18
56,15,14
57,15,16
58,15,19
59,15,20
60,15,21
61,15,22
62,15,17
63,15,18
64,16,14
65,16,15
66,16,17
67,16,18
68,17,18
69,17,19
70,17,20
71,17,21
72,17,22
73,18,17
74,18,19
75,18,20
76,18,21
77,18,22
78,19,20
79,19,21
80,19,22
81,19,23
82,19,24
83,19,25
84,20,19
85,20,21
86,20,22
87,20,23
88,20,24
89,20,25
90,21,19
91,21,20
92,21,22
93,21,23
94,21,24
95,21,25
96,22,19
97,22,20
98,22,21
99,22,23
100,22,24
101,22,25
102,23,24
103,23,25
104,23,27
105,23,28
106,23,29
107,23,26
108,24,23
109,24,25
110,24,26
111,25,23
112,25,24
113,25,27
114,25,28
115,25,29
116,25,26
117,26,27
118,26,28
119,26,29
120,27,28
121,27,29
122,27,30
123,27,31
124,27,32
125,28,27
126,28,29
127,28,30
128,28,31
129,28,32
130,29,27
131,29,28
132,29,30
133,29,31
134,29,32
135,30,31
136,30,32
137,30,33
138,30,34
139,30,35
140,31,30
141,31,32
142,31,33
143,31,34
144,31,35
145,32,30
146,32,31
147,32,33
148,32,34
149,32,35
150,33,34
151,33,35
152,33,36
153,33,37
154,33,38
155,34,33
156,34,35
157,34,36
158,34,37
159,34,38
160,35,33
161,35,34
162,35,36
163,35,37
164,35,38
165,36,37
166,36,38
167,36,39
168,36,40
169,36,41
170,37,36
171,37,38
172,37,39
173,37,40
174,37,41
175,38,36
176,38,37
177,38,39
178,38,40
179,38,41
180,39,40
181,39,41
182,39,42
183,39,43
184,40,39
185,40,42
186,40,43
187,41,39
188,41,42
189,41,43
190,42,43
191,42,44
192,42,45
193,42,46
194,43,42
195,43,44
196,43,45
197,43,46
198,44,45
199,44,46
200,44,47
201,44,48
202,44,49
203,45,44
204,45,46
205,45,47
206,45,48
207,45,49
208,46,44
209,46,45
210,46,47
211,46,48
212,46,49
213,47,48
214,47,49
215,47,50
216,47,51
217,47,52
218,47,53
219,48,47
220,48,49
221,48,50
222,48,51
223,48,52
224,48,53
225,49,47
226,49,48
227,49,50
228,49,51
229,49,52
230,49,53
231,50,51
232,50,52
233,50,53
234,50,54
235,50,55
236,51,50
237,51,52
238,51,53
239,51,54
240,51,55
241,52,50
242,52,51
243,52,53
244,52,54
245,52,55
246,53,50
247,53,51
248,53,52
249,53,54
250,53,55
251,54,55
252,54,58
253,54,59
254,54,60
255,54,61
256,54,56
257,54,57
258,55,54
259,55,58
260,55,59
261,55,60
262,55,61
263,55,56
264,55,57
265,56,57
266,56,58
267,56,59
268,56,60
269,56,61
270,57,56
271,57,58
272,57,59
273,57,60
274,57,61
275,58,60
276,58,61
277,58,62
278,58,63
279,58,64
280,58,65
281,59,60
282,59,61
283,59,62
284,59,63
285,59,64
286,59,65
287,60,58
288,60,59
289,60,61
290,60,62
291,60,63
292,60,64
293,60,65
294,61,58
295,61,59
296,61,60
297,61,62
298,61,63
299,61,64
300,61,65
301,62,63
302,62,64
303,62,65
304,62,66
305,62,67
306,63,62
307,63,64
308,63,65
309,63,68
310,63,69
311,63,70
312,63,71
313,63,66
314,63,67
315,64,62
316,64,63
317,64,65
318,64,68
319,64,69
320,64,70
321,64,71
322,64,66
323,64,67
324,65,62
325,65,63
326,65,64
327,65,66
328,65,67
329,66,67
330,66,68
331,66,69
332,66,70
333,66,71
334,67,66
335,67,68
336,67,69
337,67,70
338,67,71
339,68,69
340,68,70
341,68,71
342,68,532
343,69,68
344,69,70
345,69,71
346,69,532
347,70,68
348,70,69
349,70,71
350,70,532
351,71,68
352,71,69
353,71,70
354,71,532
355,72,73
356,72,74
357,72,75
358,72,76
359,72,77
360,72,78
361,72,79
362,73,72
363,73,74
364,73,75
365,73,76
366,73,77
367,73,78
368,73,79
369,74,72
370,74,73
371,74,75
372,74,76
373,74,77
374,74,78
375,74,79
376,75,72
377,75,73
378,75,74
379,75,76
380,75,77
381,75,78
382,75,79
383,76,77
384,76,78
385,76,79
386,76,80
387,76,81
388,76,82
389,76,83
390,77,76
391,77,78
392,77,79
393,77,80
394,77,81
395,77,82
396,77,83
397,78,76
398,78,77
399,78,79
400,78,80
401,78,81
402,78,82
403,78,83
404,79,76
405,79,77
406,79,78
407,79,80
408,79,81
409,79,82
410,79,83
411,80,81
412,80,82
413,80,83
414,80,84
415,80,85
416,80,86
417,80,87
418,81,80
419,81,82
420,81,83
421,81,84
422,81,85
423,81,86
424,81,87
425,82,80
426,82,81
427,82,83
428,82,84
429,82,85
430,82,86
431,82,87
432,83,80
433,83,81
434,83,82
435,83,84
436,83,85
437,83,86
438,83,87
439,84,85
440,84,86
441,84,87
442,84,88
443,84,89
444,84,90
445,84,91
446,85,84
447,85,86
448,85,87
449,85,88
450,85,89
451,85,90
452,85,91
453,86,84
454,86,85
455,86,87
456,86,88
457,86,89
458,86,90
459,86,91
460,87,84
461,87,85
462,87,86
463,87,88
464,87,89
465,87,90
466,87,91
467,88,89
468,88,90
469,88,91
470,88,92
471,88,93
472,88,94
473,88,95
474,89,88
475,89,90
476,89,91
477,89,92
478,89,93
479,89,94
480,89,95
481,90,88
482,90,89
483,90,91
484,90,92
485,90,93
486,90,94
487,90,95
488,91,88
489,91,89
490,91,90
491,91,92
492,91,93
493,91,94
494,91,95
495,92,93
496,92,94
497,92,95
498,92,96
499,92,97
500,92,98
501,93,92
502,93,94
503,93,95
504,93,96
505,93,97
506,93,98
507,94,92
508,94,93
509,94,95
510,94,96
511,94,97
512,94,98
513,95,92
514,95,93
515,95,94
516,95,96
517,95,97
518,95,98
519,96,97
520,96,98
521,97,96
522,97,98
523,97,99
524,98,96
525,98,97
526,99,101
527,99,102
528,99,100
529,100,103
530,100,104
531,100,101
532,100,102
533,101,102
534,101,106
535,101,107
536,101,108
537,101,103
538,101,104
539,101,105
540,102,101
541,102,109
542,102,103
543,102,104
544,102,105
545,102,106
546,102,107
547,102,108
548,103,104
549,103,105
550,104,103
551,104,109
552,104,105
553,104,106
554,104,107
555,104,108
556,105,106
557,105,107
558,105,108
559,106,107
560,106,108
561,106,111
562,106,112
563,106,109
564,106,110
565,107,106
566,107,108
567,107,111
568,107,112
569,107,109
570,107,110
571,108,106
572,108,107
573,108,114
574,108,115
575,108,116
576,108,109
577,108,110
578,108,111
579,108,112
580,108,113
581,109,110
582,110,111
583,110,112
584,111,112
585,111,117
586,111,118
587,111,119
588,111,113
589,111,114
590,111,115
591,111,116
592,112,111
593,112,114
594,112,115
595,112,116
596,112,113
597,113,114
598,113,115
599,113,116
600,114,115
601,114,116
602,114,117
603,114,118
604,114,119
605,115,114
606,115,116
607,115,117
608,115,118
609,115,119
610,116,114
611,116,115
612,116,120
613,116,117
614,116,118
615,116,119
616,117,118
617,117,119
618,117,123
619,117,124
620,117,120
621,117,121
622,117,122
623,118,117
624,118,119
625,118,121
626,118,122
627,118,120
628,119,117
629,119,118
630,119,123
631,119,124
632,119,120
633,119,121
634,119,122
635,120,121
636,120,122
637,121,122
638,121,125
639,121,126
640,121,123
641,121,124
642,122,121
643,122,125
644,122,126
645,122,123
646,122,124
647,123,124
648,123,127
649,123,128
650,123,129
651,123,130
652,123,125
653,123,126
654,124,123
655,124,127
656,124,128
657,124,129
658,124,130
659,124,125
660,124,126
661,125,126
662,125,127
663,125,128
664,125,129
665,125,130
666,126,125
667,126,127
668,126,128
669,126,129
670,126,130
671,127,128
672,127,129
673,127,130
674,127,131
675,127,132
676,127,133
677,127,134
678,128,127
679,128,129
680,128,130
681,128,131
682,128,132
683,128,133
684,128,134
685,129,127
686,129,128
687,129,130
688,129,131
689,129,132
690,129,133
691,129,134
692,130,127
693,130,128
694,130,129
695,130,131
696,130,132
697,130,133
698,130,134
699,131,133
700,131,134
701,131,137
702,131,138
703,131,139
704,131,135
705,131,136
706,132,133
707,132,134
708,132,137
709,132,138
710,132,139
711,132,135
712,132,136
713,133,131
714,133,132
715,133,134
716,133,135
717,133,136
718,134,131
719,134,132
720,134,133
721,134,135
722,134,136
723,135,136
724,135,137
725,135,138
726,135,139
727,136,135
728,136,137
729,136,138
730,136,139
731,137,138
732,137,139
733,137,142
734,137,143
735,137,140
736,137,141
737,138,137
738,138,139
739,138,140
740,138,141
741,139,137
742,139,138
743,139,140
744,139,141
745,140,141
746,140,144
747,140,145
748,140,146
749,140,147
750,140,142
751,140,143
752,141,140
753,141,142
754,141,143
755,142,143
756,142,144
757,142,145
758,142,146
759,142,147
760,143,142
761,143,144
762,143,145
763,143,146
764,143,147
765,144,145
766,144,146
767,144,147
768,144,151
769,144,152
770,144,153
771,144,148
772,144,149
773,144,150
774,145,144
775,145,146
776,145,147
