,src,dst
0,0,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,3
6,2,4
7,2,5
8,2,7
9,2,8
10,2,9
11,2,10
12,2,6
13,3,2
14,3,4
15,3,5
16,3,7
17,3,8
18,3,9
19,3,10
20,3,6
21,4,2
22,4,3
23,4,5
24,4,7
25,4,8
26,4,9
27,4,10
28,4,6
29,5,2
30,5,3
31,5,4
32,5,6
33,6,7
34,6,8
35,6,9
36,6,10
37,7,8
38,7,9
39,7,10
40,7,11
41,7,12
42,7,13
43,7,14
44,8,7
45,8,9
46,8,10
47,8,11
48,8,12
49,8,13
50,8,14
51,9,7
52,9,8
53,9,10
54,9,11
55,9,12
56,9,13
57,9,14
58,10,7
59,10,8
60,10,9
61,10,11
62,10,12
63,10,13
64,10,14
65,11,12
66,11,13
67,11,14
68,11,16
69,11,17
70,11,18
71,11,19
72,11,15
73,12,11
74,12,13
75,12,14
76,12,16
77,12,17
78,12,18
79,12,19
80,12,15
81,13,11
82,13,12
83,13,14
84,13,16
85,13,17
86,13,18
87,13,19
88,13,15
89,14,11
90,14,12
91,14,13
92,14,15
93,15,16
94,15,17
95,15,18
96,15,19
97,16,17
98,16,18
99,16,19
100,16,20
101,16,21
102,16,22
103,16,23
104,17,16
105,17,18
106,17,19
107,17,20
108,17,21
109,17,22
110,17,23
111,18,16
112,18,17
113,18,19
114,18,20
115,18,21
116,18,22
117,18,23
118,19,16
119,19,17
120,19,18
121,19,20
122,19,21
123,19,22
124,19,23
125,20,21
126,20,22
127,20,23
128,20,24
129,20,25
130,20,26
131,20,27
132,21,20
133,21,22
134,21,23
135,21,24
136,21,25
137,21,26
138,21,27
139,22,20
140,22,21
141,22,23
142,22,24
143,22,25
144,22,26
145,22,27
146,23,20
147,23,21
148,23,22
149,23,24
150,23,25
151,23,26
152,23,27
153,24,25
154,24,26
155,24,27
156,24,28
157,24,29
158,24,30
159,24,31
160,25,24
161,25,26
162,25,27
163,25,28
164,25,29
165,25,30
166,25,31
167,26,24
168,26,25
169,26,27
170,26,28
171,26,29
172,26,30
173,26,31
174,27,24
175,27,25
176,27,26
177,27,28
178,27,29
179,27,30
180,27,31
181,28,29
182,28,30
183,28,31
184,28,33
185,28,34
186,28,35
187,28,36
188,28,32
189,29,28
190,29,30
191,29,31
192,29,33
193,29,34
194,29,35
195,29,36
196,29,32
197,30,28
198,30,29
199,30,31
200,30,33
201,30,34
202,30,35
203,30,36
204,30,32
205,31,28
206,31,29
207,31,30
208,31,32
209,32,33
210,32,34
211,32,35
212,32,36
213,33,34
214,33,35
215,33,36
216,33,1953
217,34,33
218,34,35
219,34,36
220,34,1953
221,35,33
222,35,34
223,35,1953
224,36,33
225,36,34
226,36,1953
227,37,38
228,38,39
229,38,40
230,38,41
231,38,42
232,39,40
233,39,41
234,39,42
235,39,43
236,39,44
237,39,45
238,40,39
239,40,41
240,40,42
241,40,43
242,40,44
243,40,45
244,41,39
245,41,40
246,41,42
247,41,46
248,41,47
249,41,48
250,41,49
251,41,43
252,41,44
253,41,45
254,42,39
255,42,40
256,42,41
257,42,43
258,42,44
259,42,45
260,43,44
261,43,45
262,43,46
263,43,47
264,43,48
265,43,49
266,44,43
267,44,45
268,44,46
269,44,47
270,44,48
271,44,49
272,45,43
273,45,44
274,45,46
275,45,47
276,45,48
277,45,49
278,46,47
279,46,48
280,46,49
281,46,50
282,46,51
283,46,52
284,46,53
285,47,46
286,47,48
287,47,49
288,47,50
289,47,51
290,47,52
291,47,53
292,48,46
293,48,47
294,48,49
295,48,50
296,48,51
297,48,52
298,48,53
299,49,46
300,49,47
301,49,48
302,49,50
303,49,51
304,49,52
305,49,53
306,50,51
307,50,52
308,50,53
309,50,56
310,50,57
311,50,58
312,50,59
313,50,54
314,50,55
315,51,50
316,51,52
317,51,53
318,51,56
319,51,57
320,51,58
321,51,59
322,51,54
323,51,55
324,52,50
325,52,51
326,52,53
327,52,56
328,52,57
329,52,58
330,52,59
331,52,54
332,52,55
333,53,50
334,53,51
335,53,52
336,53,54
337,54,55
338,55,56
339,55,57
340,55,58
341,55,59
342,56,57
343,56,58
344,56,59
345,56,60
346,56,61
347,56,62
348,57,56
349,57,58
350,57,59
351,57,60
352,57,61
353,57,62
354,58,56
355,58,57
356,58,59
357,58,63
358,58,64
359,58,65
360,58,66
361,58,60
362,58,61
363,58,62
364,59,56
365,59,57
366,59,58
367,59,60
368,59,61
369,59,62
370,60,61
371,60,62
372,60,63
373,60,64
374,60,65
375,60,66
376,61,60
377,61,62
378,61,63
379,61,64
380,61,65
381,61,66
382,62,60
383,62,61
384,62,63
385,62,64
386,62,65
387,62,66
388,63,64
389,63,65
390,63,66
391,63,68
392,63,69
393,63,70
394,63,71
395,63,67
396,64,63
397,64,65
398,64,66
399,64,68
400,64,69
401,64,70
402,64,71
403,64,67
404,65,63
405,65,64
406,65,66
407,65,68
408,65,69
409,65,70
410,65,71
411,65,67
412,66,63
413,66,64
414,66,65
415,66,67
416,67,68
417,67,69
418,67,70
419,67,71
420,68,69
421,68,70
422,68,71
423,68,1954
424,69,68
425,69,70
426,69,71
427,69,1954
428,70,68
429,70,69
430,70,1954
431,71,68
432,71,69
433,71,1954
434,72,73
435,73,74
436,73,75
437,73,76
438,73,77
439,74,75
440,74,76
441,74,77
442,74,81
443,74,82
444,74,83
445,74,84
446,74,78
447,74,79
448,74,80
449,75,74
450,75,76
451,75,77
452,75,78
453,75,79
454,75,80
455,76,74
456,76,75
457,76,77
458,76,78
459,76,79
460,76,80
461,77,74
462,77,75
463,77,76
464,77,78
465,77,79
466,77,80
467,78,79
468,78,80
469,78,81
470,78,82
471,78,83
472,78,84
473,79,78
474,79,80
475,79,81
476,79,82
477,79,83
478,79,84
479,80,78
480,80,79
481,80,81
482,80,82
483,80,83
484,80,84
485,81,82
486,81,83
487,81,84
488,81,85
489,81,86
490,81,87
491,81,88
492,82,81
493,82,83
494,82,84
495,82,85
496,82,86
497,82,87
498,82,88
499,83,81
500,83,82
501,83,84
502,83,85
503,83,86
504,83,87
505,83,88
506,84,81
507,84,82
508,84,83
509,84,85
510,84,86
511,84,87
512,84,88
513,85,86
514,85,87
515,85,88
516,85,91
517,85,92
518,85,93
519,85,94
520,85,89
521,85,90
522,86,85
523,86,87
524,86,88
525,86,91
526,86,92
527,86,93
528,86,94
529,86,89
530,86,90
531,87,85
532,87,86
533,87,88
534,87,91
535,87,92
536,87,93
537,87,94
538,87,89
539,87,90
540,88,85
541,88,86
542,88,87
543,88,89
544,89,90
545,90,91
546,90,92
547,90,93
548,90,94
549,91,92
550,91,93
551,91,94
552,91,98
553,91,99
554,91,100
555,91,101
556,91,95
557,91,96
558,91,97
559,92,91
560,92,93
561,92,94
562,92,98
563,92,99
564,92,100
565,92,101
566,92,95
567,92,96
568,92,97
569,93,91
570,93,92
571,93,94
572,93,98
573,93,99
574,93,100
575,93,101
576,93,95
577,93,96
578,93,97
579,94,91
580,94,92
581,94,93
582,94,95
583,95,96
584,96,97
585,97,98
586,97,99
587,97,100
588,97,101
589,98,99
590,98,100
591,98,101
592,98,1955
593,99,98
594,99,100
595,99,101
596,99,1955
597,100,98
598,100,99
599,100,101
600,100,1955
601,101,98
602,101,99
603,101,100
604,101,1955
605,102,103
606,103,104
607,104,105
608,105,106
609,106,107
610,107,108
611,107,109
612,107,110
613,107,111
614,108,109
615,108,110
616,108,111
617,108,1956
618,109,108
619,109,110
620,109,111
621,109,1956
622,110,108
623,110,109
624,110,111
625,110,1956
626,111,108
627,111,109
628,111,110
629,111,1956
630,112,113
631,113,114
632,114,115
633,115,116
634,116,117
635,117,118
636,117,119
637,117,120
638,117,121
639,118,119
640,118,120
641,118,121
642,118,128
643,118,129
644,118,130
645,118,131
646,118,122
647,118,123
648,118,124
649,118,125
650,118,126
651,118,127
652,119,118
653,119,120
654,119,121
655,119,122
656,119,123
657,119,124
658,120,118
659,120,119
660,120,121
661,120,122
662,120,123
663,120,124
664,121,118
665,121,119
666,121,120
667,121,122
668,121,123
669,121,124
670,122,123
671,122,124
672,122,125
673,122,126
674,122,127
675,123,122
676,123,124
677,123,125
678,123,126
679,123,127
680,124,122
681,124,123
682,124,125
683,124,126
684,124,127
685,125,126
686,125,127
687,125,128
688,125,129
689,125,130
690,125,131
691,126,125
692,126,127
693,126,128
694,126,129
695,126,130
696,126,131
697,127,125
698,127,126
699,127,128
700,127,129
701,127,130
702,127,131
703,128,129
704,128,130
705,128,131
706,128,134
707,128,135
708,128,136
709,128,137
710,128,132
711,128,133
712,129,128
713,129,130
714,129,131
715,129,134
716,129,135
717,129,136
718,129,137
719,129,132
720,129,133
721,130,128
722,130,129
723,130,131
724,130,134
725,130,135
726,130,136
727,130,137
728,130,132
729,130,133
730,131,128
731,131,129
732,131,130
733,131,132
734,132,133
735,133,134
736,133,135
737,133,136
738,133,137
739,134,136
740,134,137
741,135,136
742,135,137
743,135,142
744,135,143
745,135,138
746,135,139
747,135,140
748,135,141
749,136,134
750,136,135
751,136,137
752,137,134
753,137,135
754,137,136
755,137,169
756,137,138
757,137,139
758,137,140
759,137,141
760,137,142
761,137,143
762,137,144
763,137,145
764,137,146
765,137,147
766,137,148
767,137,149
768,137,150
769,137,151
770,137,152
771,137,153
772,137,154
773,137,155
774,137,156
