,nid,pitch,onset,duration,voice,ts,label,articulation_feature.staccato,duration_feature.duration,fermata_feature.fermata,grace_feature.grace_note,grace_feature.n_grace,grace_feature.grace_pos,loudness_direction_feature.f,loudness_direction_feature.p,loudness_direction_feature.loudness_incr,loudness_direction_feature.pp,loudness_direction_feature.sf,loudness_direction_feature.fp,loudness_direction_feature.loudness_decr,metrical_feature.metrical_4_4_0,metrical_feature.metrical_4_4_weak,metrical_feature.metrical_4_4_1,metrical_feature.metrical_4_4_2,metrical_feature.metrical_4_4_3,metrical_strength_feature.beat_phase,metrical_strength_feature.metrical_strength_downbeat,metrical_strength_feature.metrical_strength_secondary,metrical_strength_feature.metrical_strength_weak,onset_feature.onset,onset_feature.score_position,polynomial_pitch_feature.pitch,relative_score_position_feature.score_position,slur_feature.slur_incr,slur_feature.slur_decr,tempo_direction_feature.adagio,tempo_direction_feature.mancando,time_signature_feature.time_signature_num_1,time_signature_feature.time_signature_num_2,time_signature_feature.time_signature_num_3,time_signature_feature.time_signature_num_4,time_signature_feature.time_signature_num_5,time_signature_feature.time_signature_num_6,time_signature_feature.time_signature_num_7,time_signature_feature.time_signature_num_8,time_signature_feature.time_signature_num_9,time_signature_feature.time_signature_num_10,time_signature_feature.time_signature_num_11,time_signature_feature.time_signature_num_12,time_signature_feature.time_signature_num_other,time_signature_feature.time_signature_den_1,time_signature_feature.time_signature_den_2,time_signature_feature.time_signature_den_4,time_signature_feature.time_signature_den_8,time_signature_feature.time_signature_den_16,time_signature_feature.time_signature_den_other,vertical_neighbor_feature.n_total,vertical_neighbor_feature.n_above,vertical_neighbor_feature.n_below,vertical_neighbor_feature.highest_pitch,vertical_neighbor_feature.lowest_pitch,vertical_neighbor_feature.pitch_range,int_vec1,int_vec2,int_vec3,int_vec4,int_vec5,int_vec6,memb_of_triad,memb_of_sus4,meb_of_v7,is_maj_triad,is_min_triad,is_pmaj_triad,hv_7,hv_3,hv_1,bass_from_5,is_onset,three_from_four,four_from_three,one_from_seven,one_from_two,bass_moves_2m,bass_moves_2M,chord_has_2m,chord_has_2M
0,0,51.0,0.0,0.25,5,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4015748031496063,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,70.0,51.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,70.0,0.0,1.0,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5511811023622047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,70.0,51.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,55.0,0.25,0.25,5,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.25,0.0011061946861445904,0.4330708661417323,0.0011061946861445904,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,58.0,0.5,0.25,5,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0022123893722891808,0.4566929133858268,0.0022123893722891808,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,55.0,0.75,0.25,5,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.75,0.003318584058433771,0.4330708661417323,0.003318584058433771,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,51.0,1.0,0.25,5,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0044247787445783615,0.4015748031496063,0.0044247787445783615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,51.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,67.0,1.0,0.5,1,4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0044247787445783615,0.5275590551181102,0.0044247787445783615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,51.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,55.0,1.25,0.25,5,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,1.25,0.005530973430722952,0.4330708661417323,0.005530973430722952,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,58.0,1.5,0.25,5,4,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,1.5,0.006637168116867542,0.4566929133858268,0.006637168116867542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,58.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,67.0,1.5,0.5,1,4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,1.5,0.006637168116867542,0.5275590551181102,0.006637168116867542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,58.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
