,src,dst
0,0,1
1,0,2
2,0,7
3,0,8
4,0,3
5,0,4
6,0,5
7,0,6
8,1,0
9,1,2
10,1,3
11,1,4
12,2,0
13,2,1
14,2,3
15,2,4
16,3,4
17,3,5
18,3,6
19,4,3
20,4,5
21,4,6
22,5,6
23,5,7
24,5,8
25,6,5
26,6,7
27,6,8
28,7,8
29,7,9
30,7,10
31,8,7
32,8,9
33,8,10
34,9,10
35,9,11
36,9,12
37,9,13
38,10,9
39,10,11
40,10,12
41,10,13
42,11,12
43,11,13
44,11,14
45,11,15
46,11,16
47,12,11
48,12,13
49,12,14
50,12,15
51,12,16
52,13,11
53,13,12
54,13,14
55,13,15
56,13,16
57,14,15
58,14,16
59,14,17
60,14,18
61,14,19
62,15,14
63,15,16
64,15,17
65,15,18
66,15,19
67,16,14
68,16,15
69,16,17
70,16,18
71,16,19
72,17,18
73,17,19
74,17,20
75,17,21
76,17,22
77,18,17
78,18,19
79,18,20
80,18,21
81,18,22
82,19,17
83,19,18
84,19,20
85,19,21
86,19,22
87,20,21
88,20,22
89,20,23
90,20,24
91,20,25
92,21,20
93,21,22
94,21,23
95,21,24
96,21,25
97,22,20
98,22,21
99,22,23
100,22,24
101,22,25
102,23,24
103,23,25
104,23,27
105,23,28
106,23,26
107,24,23
108,24,25
109,24,27
110,24,28
111,24,26
112,25,23
113,25,24
114,25,26
115,26,27
116,26,28
117,27,28
118,27,29
119,28,27
120,28,27
121,28,28
122,29,30
123,30,31
124,30,32
125,30,33
126,31,32
127,31,33
128,31,34
129,32,31
130,32,33
131,32,37
132,32,38
133,32,39
134,32,34
135,32,35
136,32,36
137,33,31
138,33,32
139,33,37
140,33,38
141,33,39
142,33,34
143,33,35
144,33,36
145,34,35
146,35,36
147,36,37
148,36,38
149,36,39
150,37,38
151,37,39
152,37,45
153,37,40
154,37,41
155,37,42
156,37,43
157,37,44
158,38,37
159,38,39
160,39,37
161,39,38
162,40,41
163,41,42
164,42,43
165,43,44
166,44,45
167,45,46
168,46,47
169,47,48
170,48,49
171,49,50
172,50,51
173,51,52
174,52,53
175,52,54
176,52,55
177,52,56
178,52,57
179,53,54
180,53,55
181,53,56
182,53,57
183,53,60
184,53,58
185,53,59
186,54,53
187,54,55
188,54,56
189,54,57
190,54,60
191,54,58
192,54,59
193,55,53
194,55,54
195,55,56
196,55,57
197,55,60
198,55,58
199,55,59
200,56,53
201,56,54
202,56,55
203,56,57
204,56,58
205,57,53
206,57,54
207,57,55
208,57,56
209,57,53
210,57,54
211,57,55
212,57,56
213,57,57
214,58,59
215,59,60
216,60,61
217,61,62
218,62,63
219,63,64
220,63,65
221,63,66
222,64,65
223,64,66
224,64,70
225,64,71
226,64,72
227,64,67
228,64,68
229,64,69
230,65,64
231,65,66
232,65,70
233,65,71
234,65,72
235,65,67
236,65,68
237,65,69
238,66,64
239,66,65
240,66,67
241,67,68
242,68,69
243,69,70
244,69,71
245,69,72
246,70,71
247,70,72
248,70,73
249,70,74
250,70,75
