,src,dst
0,0,1
1,0,2
2,0,13
3,0,14
4,0,3
5,0,4
6,0,5
7,0,6
8,0,7
9,0,8
10,0,9
11,0,10
12,0,11
13,0,12
14,1,0
15,1,2
16,1,3
17,1,4
18,2,0
19,2,1
20,2,3
21,2,4
22,3,4
23,3,7
24,3,8
25,3,9
26,3,5
27,3,6
28,4,3
29,4,5
30,5,6
31,6,7
32,6,8
33,6,9
34,7,8
35,7,9
36,7,13
37,7,14
38,7,10
39,7,11
40,7,12
41,8,7
42,8,9
43,8,15
44,8,16
45,8,10
46,8,11
47,8,12
48,8,13
49,8,14
50,9,7
51,9,8
52,9,10
53,10,11
54,11,12
55,12,13
56,12,14
57,13,14
58,13,19
59,13,20
60,13,15
61,13,16
62,13,17
63,13,18
64,14,13
65,14,15
66,14,16
67,15,16
68,15,19
69,15,20
70,15,17
71,15,18
72,16,15
73,16,17
74,17,18
75,18,19
76,18,20
77,19,20
78,19,24
79,19,25
80,19,26
81,19,21
82,19,22
83,19,23
84,20,19
85,20,21
86,21,22
87,22,23
88,23,24
89,23,25
90,23,26
91,24,25
92,24,26
93,24,35
94,24,36
95,24,37
96,24,27
97,24,28
98,24,29
99,24,30
100,24,31
101,24,32
102,24,33
103,24,34
104,25,24
105,25,26
106,25,27
107,26,24
108,26,25
109,26,28
110,26,29
111,26,27
112,27,28
113,27,29
114,28,29
115,28,30
116,28,31
117,29,28
118,29,30
119,29,31
120,30,31
121,30,33
122,30,34
123,30,32
124,31,30
125,31,32
126,32,33
127,32,34
128,33,34
129,33,35
130,33,36
131,33,37
132,34,33
133,34,35
134,34,36
135,34,37
136,35,36
137,35,37
138,35,38
139,35,39
140,35,40
141,36,35
142,36,37
143,36,38
144,36,39
145,36,40
146,37,35
147,37,36
148,37,38
149,37,39
150,37,40
151,38,39
152,38,40
153,38,41
154,38,42
155,38,43
156,39,38
157,39,40
158,39,41
159,39,42
160,39,43
161,40,38
162,40,39
163,40,41
164,40,42
165,40,43
166,41,42
167,41,43
168,41,44
169,41,45
170,41,46
171,42,41
172,42,43
173,42,44
174,42,45
175,42,46
176,43,41
177,43,42
178,43,44
179,43,45
180,43,46
181,44,45
182,44,46
183,44,47
184,45,44
185,45,46
186,45,48
187,45,49
188,45,47
189,46,44
190,46,45
191,46,48
192,46,49
193,46,47
194,47,52
195,47,53
196,47,54
197,47,48
198,47,49
199,47,50
200,47,51
201,48,49
202,48,50
203,48,51
204,49,48
205,49,50
206,49,51
207,50,51
208,50,52
209,50,53
210,50,54
211,51,50
212,51,52
213,51,53
214,51,54
215,52,53
216,52,54
217,52,55
218,52,56
219,52,57
220,53,52
221,53,54
222,53,55
223,53,56
224,53,57
225,54,52
226,54,53
227,54,55
228,54,56
229,54,57
230,55,56
231,55,57
232,55,58
233,55,59
234,55,60
235,56,55
236,56,57
237,56,58
238,56,59
239,56,60
240,57,55
241,57,56
242,57,58
243,57,59
244,57,60
245,58,59
246,58,60
247,58,62
248,58,61
249,59,58
250,59,60
