,src,dst
0,0,1
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
10,10,11
11,11,12
12,12,13
13,13,14
14,14,15
15,15,16
16,16,17
17,17,18
18,17,19
19,18,19
20,18,20
21,19,18
22,19,21
23,19,22
24,19,20
25,20,21
26,20,22
27,21,22
28,21,23
29,22,21
30,22,24
31,22,25
32,22,23
33,23,24
34,23,25
35,24,25
36,24,26
37,25,24
38,25,27
39,25,28
40,25,26
41,26,27
42,26,28
43,27,28
44,27,29
45,28,27
46,28,30
47,28,31
48,28,29
49,29,30
50,29,31
51,30,31
52,30,32
53,31,30
54,31,33
55,31,34
56,31,32
57,32,33
58,32,34
59,33,34
60,33,35
61,33,36
62,34,33
63,34,35
64,34,36
65,35,36
66,35,37
67,35,38
68,36,35
69,36,37
70,36,38
71,37,39
72,37,40
73,38,39
74,38,40
75,39,40
76,39,41
77,39,42
78,40,39
79,40,41
80,40,42
81,41,42
82,41,47
83,41,48
84,41,43
85,41,44
86,41,45
87,41,46
88,42,41
89,42,43
90,43,44
91,44,45
92,45,46
93,46,47
94,46,48
95,47,48
96,47,50
97,47,51
98,47,49
99,48,47
100,48,49
101,49,50
102,49,51
103,50,51
104,50,53
105,50,54
106,50,52
107,51,50
108,51,52
109,52,53
110,52,54
111,53,54
112,53,56
113,53,57
114,53,55
115,54,53
116,54,55
117,55,56
118,55,57
119,56,57
120,56,58
121,57,56
122,57,59
123,57,60
124,57,58
125,58,59
126,58,60
127,59,60
128,59,61
129,60,59
130,60,62
131,60,63
132,60,64
133,60,61
134,61,62
135,61,63
136,61,64
137,62,63
138,62,64
139,62,66
140,62,67
141,62,68
142,62,65
143,63,62
144,63,64
145,63,65
146,64,62
147,64,63
148,64,66
149,64,67
150,64,68
151,64,65
152,65,66
153,65,67
154,65,68
155,66,67
156,66,68
157,66,70
158,66,71
159,66,69
160,67,66
161,67,68
162,67,73
163,67,74
164,67,75
165,67,69
166,67,70
167,67,71
168,67,72
169,68,66
170,68,67
171,68,69
172,69,70
173,69,71
174,70,71
175,70,73
176,70,74
177,70,75
178,70,72
179,71,70
180,71,72
181,72,73
182,72,74
183,72,75
184,73,74
185,73,75
186,73,77
187,73,78
188,73,79
189,73,76
190,74,73
191,74,75
192,74,77
193,74,78
194,74,79
195,74,76
196,75,73
197,75,74
198,75,76
199,76,77
200,76,78
201,76,79
202,77,78
203,77,79
204,77,81
205,77,82
206,77,83
207,77,80
208,78,77
209,78,79
210,78,81
211,78,82
212,78,83
213,78,80
214,79,77
215,79,78
216,79,80
217,80,81
218,80,82
219,80,83
220,81,82
221,81,83
222,81,84
223,81,85
224,82,81
225,82,83
226,82,86
227,82,87
228,82,88
229,82,84
230,82,85
231,83,81
232,83,82
233,83,84
234,83,85
235,84,85
236,84,86
237,84,87
238,84,88
239,85,84
240,85,86
241,85,87
242,85,88
243,86,87
244,86,88
245,86,89
246,86,90
247,87,86
248,87,88
249,87,91
250,87,92
251,87,93
252,87,89
253,87,90
254,88,86
255,88,87
256,88,89
257,88,90
258,89,90
259,89,91
260,89,92
261,89,93
262,90,89
263,90,91
264,90,92
265,90,93
266,91,92
267,91,93
268,91,94
269,92,91
270,92,93
271,92,104
272,92,105
273,92,94
274,92,95
275,92,96
276,92,97
277,92,98
278,92,99
279,92,100
280,92,101
281,92,102
282,92,103
283,93,91
284,93,92
285,93,98
286,93,99
287,93,94
288,93,95
289,93,96
290,93,97
291,94,95
292,95,96
293,96,97
294,97,98
295,97,99
296,98,99
297,98,100
298,99,98
299,99,101
300,99,102
301,99,100
302,100,101
303,100,102
304,101,102
305,101,103
306,102,101
307,102,107
308,102,108
309,102,109
310,102,103
311,102,104
312,102,105
313,102,106
314,103,104
315,103,105
316,104,105
317,104,106
318,105,104
319,105,107
320,105,108
321,105,109
322,105,106
323,106,107
324,106,108
325,106,109
326,107,108
327,107,109
328,107,110
329,108,107
330,108,109
331,108,114
332,108,115
333,108,110
334,108,111
335,108,112
336,108,113
337,109,107
338,109,108
339,109,111
340,109,112
341,109,110
342,110,111
343,110,112
344,111,112
345,111,113
346,112,111
347,112,117
348,112,118
349,112,119
350,112,113
351,112,114
352,112,115
353,112,116
354,113,114
355,113,115
356,114,115
357,114,116
358,115,114
359,115,117
360,115,118
361,115,119
362,115,116
363,116,117
364,116,118
365,116,119
366,117,118
367,117,119
368,117,120
369,118,117
370,118,119
371,118,124
372,118,125
373,118,120
374,118,121
375,118,122
376,118,123
377,119,117
378,119,118
379,119,121
380,119,122
381,119,120
382,120,121
383,120,122
384,121,122
385,121,123
386,122,121
387,122,127
388,122,128
389,122,123
390,122,124
391,122,125
392,122,126
393,123,124
394,123,125
395,124,125
396,124,126
397,125,124
398,125,129
399,125,126
400,125,127
401,125,128
402,126,127
403,126,128
404,127,128
405,127,134
406,127,135
407,127,129
408,127,130
409,127,131
410,127,132
411,127,133
412,128,127
413,128,136
414,128,129
415,128,130
416,128,131
417,128,132
418,128,133
419,128,134
420,128,135
421,129,130
422,130,131
423,131,132
424,132,133
425,133,134
426,133,135
427,134,135
428,134,137
429,134,138
430,134,136
431,135,134
432,135,139
433,135,140
434,135,136
435,135,137
436,135,138
437,136,137
438,136,138
439,137,138
440,137,139
441,137,140
442,138,137
443,138,141
444,138,142
445,138,143
446,138,139
447,138,140
448,139,140
449,139,141
450,139,142
451,139,143
452,140,139
453,140,141
454,140,142
455,140,143
456,141,142
457,141,143
458,141,145
459,141,146
460,141,147
461,141,144
462,142,141
463,142,143
464,142,144
465,143,141
466,143,142
467,143,145
468,143,146
469,143,147
470,143,144
471,144,145
472,144,146
473,144,147
474,145,146
475,145,147
476,145,155
477,145,156
478,145,157
479,145,148
480,145,149
481,145,150
482,145,151
483,145,152
484,145,153
485,145,154
486,146,145
487,146,147
488,146,148
489,147,145
490,147,146
491,147,149
492,147,150
493,147,148
494,148,149
495,148,150
496,149,150
497,149,151
498,150,149
499,150,152
500,150,153
501,150,151
502,151,152
503,151,153
504,152,153
505,152,154
506,153,152
507,153,155
508,153,156
509,153,157
510,153,154
511,154,155
512,154,156
513,154,157
514,155,156
515,155,157
516,155,158
517,156,155
518,156,157
519,156,159
520,156,160
521,156,158
522,157,155
523,157,156
524,157,159
525,157,160
526,157,158
527,158,159
528,158,160
529,159,160
530,159,161
531,159,162
532,160,159
533,160,161
534,160,162
535,161,162
536,161,163
537,161,164
538,162,161
539,162,163
540,162,164
541,163,164
542,163,165
543,163,166
544,164,163
545,164,165
546,164,166
547,165,166
548,165,167
549,165,168
550,166,165
551,166,167
552,166,168
553,167,168
554,167,173
555,167,174
556,167,169
557,167,170
558,167,171
559,167,172
560,168,167
561,168,169
562,169,170
563,170,171
564,171,172
565,172,173
566,172,174
567,173,174
568,173,178
569,173,179
570,173,175
571,173,176
572,173,177
573,174,173
574,174,175
575,175,176
576,176,177
577,177,178
578,177,179
579,178,179
580,178,181
581,178,182
582,178,180
583,179,178
584,179,180
585,180,181
586,180,182
587,181,182
588,181,184
589,181,185
590,181,183
591,182,181
592,182,183
593,183,184
594,183,185
595,184,185
596,184,187
597,184,188
598,184,186
599,185,184
600,185,186
601,186,187
602,186,188
603,187,188
604,187,190
605,187,191
606,187,189
607,188,187
608,188,189
609,189,190
610,189,191
611,190,191
612,190,193
613,190,194
614,190,192
615,191,190
616,191,192
617,192,193
618,192,194
619,193,194
620,193,195
621,193,196
622,194,193
623,194,195
624,194,196
625,195,196
626,195,197
627,195,198
628,196,195
629,196,197
630,196,198
631,197,198
632,197,199
633,197,200
634,198,197
635,198,199
636,198,200
637,199,200
638,199,201
639,199,202
640,200,199
641,200,201
642,200,202
643,201,202
644,201,203
645,202,201
646,202,207
647,202,208
648,202,203
649,202,204
650,202,205
651,202,206
652,203,204
653,204,205
654,205,206
655,206,207
656,206,208
657,207,208
658,207,209
659,207,210
660,208,207
661,208,209
662,208,210
663,209,210
664,209,211
665,209,212
666,210,209
667,210,211
668,210,212
669,211,212
670,211,213
671,211,214
672,212,211
673,212,213
674,212,214
675,213,214
676,213,215
677,213,216
678,213,217
679,214,213
680,214,215
681,214,216
682,214,217
683,215,216
684,215,217
685,215,220
686,215,221
687,215,222
688,215,218
689,215,219
690,216,215
691,216,217
692,216,218
693,216,219
694,217,215
695,217,216
696,217,218
697,217,219
698,218,219
699,218,220
700,218,221
701,218,222
702,219,218
703,219,220
704,219,221
705,219,222
706,220,221
707,220,222
708,220,224
709,220,225
710,220,223
711,221,220
712,221,222
713,221,227
714,221,228
715,221,223
716,221,224
717,221,225
718,221,226
719,222,220
720,222,221
721,222,223
722,223,224
723,223,225
724,224,225
725,224,227
726,224,228
727,224,226
728,225,224
729,225,226
730,226,227
731,226,228
732,227,228
733,227,230
734,227,231
735,227,229
736,228,227
737,228,229
738,229,230
739,229,231
740,230,231
741,230,233
742,230,234
743,230,232
744,231,230
745,231,232
746,232,233
747,232,234
748,233,234
749,233,235
750,233,236
751,234,233
752,234,235
753,234,236
754,235,236
755,235,237
756,235,238
757,235,239
758,236,235
759,236,237
760,236,238
761,236,239
762,237,238
763,237,239
764,237,240
765,237,241
766,238,237
767,238,239
768,238,242
769,238,243
770,238,244
771,238,240
772,238,241
773,239,237
774,239,238
775,239,240
776,239,241
