,src,dst
0,0,1
1,1,736
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
10,10,11
11,10,12
12,11,14
13,11,15
14,11,13
15,12,13
16,13,14
17,13,15
18,14,15
19,14,16
20,15,14
21,15,19
22,15,16
23,15,17
24,15,18
25,16,17
26,17,18
27,18,19
28,19,20
29,19,21
30,20,21
31,20,22
32,20,23
33,21,20
34,21,22
35,21,23
36,22,23
37,22,24
38,22,25
39,23,22
40,23,24
41,23,25
42,24,25
43,24,26
44,24,27
45,25,24
46,25,26
47,25,27
48,26,27
49,26,28
50,26,29
51,27,26
52,27,28
53,27,29
54,28,29
55,28,30
56,28,31
57,29,28
58,29,30
59,29,31
60,30,31
61,30,32
62,30,33
63,31,30
64,31,32
65,31,33
66,32,33
67,32,34
68,32,35
69,33,32
70,33,34
71,33,35
72,34,35
73,34,36
74,34,37
75,35,34
76,35,36
77,35,37
78,36,37
79,36,38
80,36,39
81,37,36
82,37,38
83,37,39
84,38,39
85,38,40
86,38,41
87,39,38
88,39,40
89,39,41
90,40,41
91,40,42
92,40,43
93,41,40
94,41,42
95,41,43
96,42,43
97,42,45
98,42,46
99,42,44
100,43,42
101,43,44
102,44,45
103,44,46
104,45,46
105,45,48
106,45,49
107,45,47
108,46,45
109,46,47
110,47,48
111,47,49
112,48,49
113,48,57
114,48,58
115,48,50
116,48,51
117,48,52
118,48,53
119,48,54
120,48,55
121,48,56
122,49,48
123,49,50
124,50,51
125,50,52
126,51,52
127,51,54
128,51,55
129,51,53
130,52,51
131,52,53
132,53,54
133,53,55
134,54,55
135,54,60
136,54,61
137,54,56
138,54,57
139,54,58
140,54,59
141,55,54
142,55,56
143,56,57
144,56,58
145,57,58
146,57,60
147,57,61
148,57,59
149,58,57
150,58,59
151,59,60
152,59,61
153,60,61
154,60,72
155,60,73
156,60,74
157,60,62
158,60,63
159,60,64
160,60,65
161,60,66
162,60,67
163,60,68
164,60,69
165,60,70
166,60,71
167,61,60
168,61,62
169,61,63
170,62,63
171,62,64
172,62,65
173,63,62
174,63,64
175,63,65
176,64,65
177,64,66
178,64,67
179,65,64
180,65,66
181,65,67
182,66,67
183,66,68
184,66,69
185,67,66
186,67,68
187,67,69
188,68,69
189,68,70
190,68,71
191,69,68
192,69,70
193,69,71
194,70,71
195,70,72
196,70,73
197,70,74
198,71,70
199,71,72
200,71,73
201,71,74
202,72,73
203,72,74
204,72,75
205,72,76
206,73,72
207,73,74
208,73,77
209,73,78
210,73,79
211,73,75
212,73,76
213,74,72
214,74,73
215,74,75
216,74,76
217,75,76
218,75,77
219,75,78
220,75,79
221,76,75
222,76,77
223,76,78
224,76,79
225,77,78
226,77,79
227,77,80
228,78,77
229,78,79
230,78,81
231,78,82
232,78,80
233,79,77
234,79,78
235,79,89
236,79,90
237,79,80
238,79,81
239,79,82
240,79,83
241,79,84
242,79,85
243,79,86
244,79,87
245,79,88
246,80,81
247,80,82
248,81,82
249,81,83
250,82,81
251,82,84
252,82,85
253,82,83
254,83,84
255,83,85
256,84,85
257,84,86
258,85,84
259,85,94
260,85,95
261,85,96
262,85,86
263,85,87
264,85,88
265,85,89
266,85,90
267,85,91
268,85,92
269,85,93
270,86,87
271,87,88
272,88,89
273,88,90
274,89,90
275,89,91
276,90,89
277,90,94
278,90,95
279,90,96
280,90,91
281,90,92
282,90,93
283,91,92
284,92,93
285,93,94
286,93,95
287,93,96
288,94,95
289,94,96
290,94,97
291,95,94
292,95,96
293,95,98
294,95,99
295,95,97
296,96,94
297,96,95
298,96,98
299,96,99
300,96,97
301,97,98
302,97,99
303,98,99
304,98,100
305,99,98
306,99,101
307,99,102
308,99,100
309,100,101
310,100,102
311,101,102
312,101,103
313,102,101
314,102,104
315,102,105
316,102,103
317,103,104
318,103,105
319,104,105
320,104,106
321,105,104
322,105,107
323,105,108
324,105,106
325,106,107
326,106,108
327,107,108
328,107,109
329,108,107
330,108,122
331,108,123
332,108,124
333,108,109
334,108,110
335,108,111
336,108,112
337,108,113
338,108,114
339,108,115
340,108,116
341,108,117
342,108,118
343,108,119
344,108,120
345,108,121
346,109,110
347,109,111
348,110,111
349,110,112
350,111,110
351,111,113
352,111,114
353,111,112
354,112,113
355,112,114
356,113,114
357,113,115
358,114,113
359,114,116
360,114,117
361,114,115
362,115,116
363,115,117
364,116,117
365,116,118
366,117,116
367,117,119
368,117,120
369,117,118
370,118,119
371,118,120
372,119,120
373,119,121
374,120,119
375,120,122
376,120,123
377,120,124
378,120,121
379,121,122
380,121,123
381,121,124
382,122,123
383,122,124
384,122,125
385,123,122
386,123,124
387,123,129
388,123,130
389,123,131
390,123,125
391,123,126
