,src,des
0,0,4
1,0,5
2,1,3
3,2,7
4,2,8
5,3,4
6,3,5
7,4,7
8,4,8
9,5,6
10,6,7
11,6,8
12,7,10
13,7,11
14,8,9
15,9,10
16,9,11
17,10,13
18,10,14
19,10,15
20,11,12
21,12,13
22,12,14
23,12,15
24,13,17
25,13,18
26,14,16
27,15,20
28,15,21
29,15,22
30,16,17
31,16,18
32,17,20
33,17,21
34,17,22
35,18,19
36,19,20
37,19,21
38,19,22
39,20,27
40,20,28
41,21,23
42,22,24
43,22,25
44,23,24
45,23,25
46,24,26
47,25,27
48,25,28
49,26,27
50,26,28
51,27,32
52,27,33
53,27,34
54,28,29
55,29,30
56,30,31
57,31,32
58,31,33
59,31,34
60,32,36
61,32,37
62,33,35
63,34,32
64,34,33
65,34,34
66,35,36
67,35,37
68,36,38
69,36,39
70,37,38
71,37,39
72,38,40
73,38,41
74,38,42
75,39,40
76,39,41
77,39,42
78,40,43
79,40,44
80,41,43
81,41,44
82,42,53
83,42,54
84,42,55
85,43,45
86,43,46
87,44,45
88,44,46
89,45,47
90,45,48
91,46,47
92,46,48
93,47,49
94,47,50
95,48,49
96,48,50
97,49,51
98,49,52
99,50,51
100,50,52
101,51,53
102,51,54
103,51,55
104,52,53
105,52,54
106,52,55
107,53,56
108,53,57
109,54,56
110,54,57
111,55,58
112,55,59
113,55,60
114,56,58
115,56,59
116,56,60
117,57,58
118,57,59
119,57,60
120,58,62
121,58,63
122,59,61
123,60,65
124,60,66
125,60,67
126,61,62
127,61,63
128,62,65
129,62,66
130,62,67
131,63,64
132,64,65
133,64,66
134,64,67
135,65,69
136,65,70
137,65,71
138,66,68
139,67,69
140,67,70
141,67,71
142,68,69
143,68,70
144,68,71
145,69,73
146,69,74
147,69,75
148,70,72
149,71,73
150,71,74
151,71,75
152,72,73
153,72,74
154,72,75
155,73,77
156,73,78
157,74,76
158,75,80
159,75,81
160,75,82
161,76,77
162,76,78
163,77,80
164,77,81
165,77,82
166,78,79
167,79,80
168,79,81
169,79,82
170,80,87
171,80,88
172,80,89
173,81,83
174,82,84
175,82,85
176,83,84
177,83,85
178,84,86
179,85,87
180,85,88
181,85,89
