,src,des
0,299,0
1,300,0
2,301,0
3,302,0
4,517,2
5,518,2
6,519,2
7,526,3
8,527,3
9,528,3
10,547,4
11,548,4
12,549,4
13,568,5
14,569,5
15,570,5
16,589,6
17,590,6
18,591,6
19,592,8
20,593,8
21,594,8
22,671,10
23,672,10
24,673,10
25,674,10
26,689,11
27,690,11
28,693,12
29,694,12
30,700,13
31,701,13
32,702,13
33,703,13
34,704,13
35,705,13
36,970,15
37,971,15
38,972,15
39,987,16
40,988,16
41,991,17
42,992,17
43,998,18
44,999,18
45,1000,18
46,1001,18
47,1002,18
48,1005,19
49,1006,19
50,1012,20
51,1013,20
52,1014,20
53,1015,20
54,1016,20
55,1017,20
56,1020,21
57,1021,21
58,1027,22
59,1028,22
60,1029,22
61,1030,22
62,1031,22
63,1032,22
64,1150,23
65,1450,26
66,1451,26
67,1452,26
68,1453,26
69,1668,28
70,1669,28
71,1670,28
72,1677,29
73,1678,29
74,1679,29
75,1698,30
76,1699,30
77,1700,30
78,1719,31
79,1720,31
80,1721,31
81,1740,32
82,1741,32
83,1742,32
84,1743,34
85,1744,34
86,1745,34
87,1847,36
88,1848,36
89,1849,36
90,1850,36
91,1851,36
92,1866,37
93,1867,37
94,1870,38
95,1871,38
96,1878,39
97,1879,39
98,1880,39
99,1881,39
100,1882,39
101,1883,41
102,1884,41
103,1885,41
104,1886,41
105,1887,41
106,1888,41
107,1889,41
108,1890,41
109,1891,44
110,1892,44
111,1893,44
112,1894,44
113,1895,44
114,1896,44
115,1897,44
116,1898,44
