,src,des
0,4,6
1,5,6
2,24,26
3,25,26
4,40,41
5,40,42
6,40,43
7,41,44
8,41,45
9,41,46
10,41,47
11,42,44
12,42,45
13,42,46
14,42,47
15,43,44
16,43,45
17,43,46
18,43,47
19,49,52
20,50,52
21,51,52
22,53,54
23,53,55
24,53,56
25,54,57
26,54,58
27,54,59
28,54,60
29,55,57
30,55,58
31,55,59
32,55,60
33,56,57
34,56,58
35,56,59
36,56,60
37,62,65
38,63,65
39,64,65
40,66,67
41,66,68
42,82,85
43,83,85
44,84,85
45,88,89
46,88,90
47,97,98
48,97,99
49,98,100
50,98,101
51,99,100
52,99,101
53,100,101
54,103,105
55,104,105
56,104,106
57,104,107
58,105,106
59,105,107
60,106,107
61,121,122
62,121,123
63,122,124
64,122,125
65,123,124
66,123,125
67,124,125
68,127,129
69,127,130
70,128,129
71,128,130
72,143,144
73,143,145
74,144,146
75,144,147
76,144,148
77,145,146
78,145,147
79,145,148
80,150,153
81,151,153
82,154,155
83,154,156
84,155,157
85,155,158
86,155,159
87,156,157
88,156,158
89,156,159
90,161,164
91,162,164
92,166,168
93,166,169
94,166,170
95,167,168
96,167,169
97,167,170
98,172,174
99,172,175
100,172,176
101,172,177
102,172,178
103,172,179
104,172,180
105,172,181
106,172,182
107,172,183
108,172,184
109,173,174
110,173,175
111,173,176
112,178,179
113,178,180
114,178,181
115,183,184
116,183,185
117,183,186
118,183,187
119,186,187
120,188,192
121,189,192
122,190,192
123,190,193
124,190,194
125,190,195
126,196,198
127,196,199
128,196,200
129,196,201
130,196,202
131,203,205
132,206,208
133,209,211
134,212,214
135,215,217
136,218,220
137,221,224
138,225,227
139,228,230
140,231,233
141,231,234
142,231,235
143,231,236
144,231,237
145,238,240
146,241,243
147,244,246
148,247,249
149,250,252
150,253,255
151,256,259
152,260,262
153,263,265
154,268,271
155,268,272
156,271,273
157,271,274
158,272,273
159,272,274
160,281,285
161,281,286
162,281,287
163,285,288
164,285,289
165,286,288
166,286,289
167,287,288
168,287,289
169,295,296
170,295,297
171,296,298
172,297,298
173,300,302
174,301,302
175,304,305
176,304,306
177,305,307
178,306,307
179,309,310
180,408,409
181,408,410
182,408,411
183,413,414
184,413,415
185,413,416
186,424,427
187,425,427
188,426,427
189,428,431
190,429,431
191,435,437
192,435,438
193,440,442
194,440,443
195,440,444
196,441,442
197,441,443
198,441,444
199,468,470
200,468,471
201,473,475
202,473,476
203,473,477
204,474,475
205,474,476
206,474,477
207,501,505
208,501,506
209,511,515
210,511,516
211,522,524
212,522,525
213,522,526
214,523,524
215,523,525
216,523,526
217,537,540
218,538,540
219,543,546
220,543,547
221,543,548
222,543,549
223,543,550
224,543,551
225,552,553
226,552,554
227,553,555
228,553,556
229,553,557
230,554,555
231,554,556
232,554,557
233,559,561
234,560,561
235,560,562
236,560,563
237,560,564
238,563,564
239,578,579
240,578,580
241,579,581
242,579,582
243,579,583
244,580,581
245,580,582
246,580,583
247,585,587
248,585,588
249,585,589
250,586,587
251,586,588
252,586,589
253,603,604
254,603,605
255,603,606
256,604,607
257,604,608
258,604,609
259,604,610
260,604,611
261,605,607
262,605,608
263,605,609
264,605,610
265,605,611
266,606,607
267,606,608
268,606,609
269,606,610
270,606,611
271,613,616
272,614,616
273,615,616
274,617,618
275,617,619
276,617,620
277,618,621
278,618,622
279,618,623
280,618,624
281,618,625
282,619,621
283,619,622
284,619,623
285,619,624
286,619,625
287,620,621
288,620,622
289,620,623
290,620,624
291,620,625
292,621,622
293,624,625
294,627,630
295,628,630
296,629,630
297,632,633
298,632,634
299,632,635
300,633,636
301,634,636
302,635,636
303,638,639
304,638,640
305,638,641
306,639,642
307,640,642
308,641,642
309,644,645
310,644,646
311,644,647
312,645,648
313,646,648
314,647,648
315,650,651
316,650,652
317,651,653
318,652,653
319,654,657
320,655,657
321,660,661
322,662,664
323,662,665
324,662,666
325,682,684
326,682,685
327,682,686
328,702,704
329,702,705
330,702,706
331,722,724
332,722,725
333,728,730
334,728,731
335,728,732
336,737,739
337,737,740
338,743,745
339,743,746
340,743,747
341,750,752
342,754,756
343,754,757
344,754,758
345,755,756
346,755,757
347,755,758
348,767,769
349,767,770
350,767,771
351,767,772
352,767,773
353,774,776
354,777,779
355,780,782
356,783,785
357,786,788
358,789,791
359,792,795
360,796,798
361,799,801
362,802,804
363,802,805
364,802,806
365,802,807
366,802,808
367,809,811
368,812,814
369,815,817
370,818,820
371,821,823
372,824,826
373,827,830
374,831,833
375,834,836
376,839,843
377,839,844
378,839,845
379,843,846
380,843,847
381,844,846
382,844,847
383,845,846
384,845,847
385,854,858
386,854,859
387,854,860
388,858,861
389,858,862
390,859,861
391,859,862
392,860,861
393,860,862
394,868,869
395,868,870
396,868,871
397,869,872
398,870,872
399,871,872
400,874,876
401,875,876
402,878,879
403,878,880
404,879,881
405,880,881
406,883,884
407,982,984
408,982,985
409,982,986
410,983,984
411,983,985
412,983,986
413,988,990
414,988,991
415,988,992
416,989,990
417,989,991
418,989,992
419,994,996
420,994,997
421,994,998
422,995,996
423,995,997
424,995,998
425,1000,1002
426,1000,1003
427,1000,1004
428,1001,1002
429,1001,1003
430,1001,1004
431,1006,1008
432,1006,1009
433,1006,1010
434,1007,1008
435,1007,1009
436,1007,1010
