,nid,pitch,onset,duration,label
0,0,53,0.0,0.5,0
1,1,65,0.0,2.0,0
2,2,57,0.5,0.5,0
3,3,60,1.0,0.5,0
4,4,57,1.5,0.5,0
5,5,60,2.0,0.5,0
6,6,69,2.0,1.0,0
7,7,57,2.5,0.5,0
8,8,53,3.0,0.5,0
9,9,72,3.0,2.0,0
10,10,60,3.5,0.5,0
11,11,63,4.0,0.5,0
12,12,60,4.5,0.5,0
13,13,63,5.0,0.5,0
14,14,69,5.0,1.0,0
15,15,60,5.5,0.5,0
16,16,53,6.0,0.5,0
17,17,70,6.0,2.0,0
18,18,58,6.5,0.5,0
19,19,62,7.0,0.5,0
20,20,58,7.5,0.5,0
21,21,62,8.0,0.5,0
22,22,79,8.0,1.0,0
23,23,58,8.5,0.5,0
24,24,53,9.0,0.5,0
25,25,77,9.0,0.5,0
26,26,55,9.5,0.5,0
27,27,76,9.5,0.5,0
28,28,58,10.0,0.5,0
29,29,76,10.0,1.0,0
30,30,55,10.5,0.5,0
31,31,58,11.0,0.5,0
32,32,55,11.5,0.5,0
33,33,53,12.0,1.0,0
34,34,57,12.0,1.0,0
35,35,77,12.0,1.0,0
36,36,69,13.0,1.0,0
37,37,74,14.0,1.0,0
38,38,67,15.0,1.0,0
39,39,72,16.0,1.5,0
40,40,69,17.5,0.5,0
41,41,53,18.0,1.0,0
42,42,65,18.0,4.0,0
43,43,45,19.0,1.0,0
44,44,50,20.0,1.0,0
45,45,43,21.0,1.0,0
46,46,67,21.0,3.0,0
47,47,48,22.0,1.5,0
48,48,64,22.0,0.5,0
49,49,62,22.5,0.5,0
50,50,64,23.0,1.0,0
51,51,45,23.5,0.5,0
52,52,41,24.0,1.0,0
53,53,65,24.0,4.0,0
54,54,69,24.0,1.0,0
55,55,50,25.0,1.0,0
56,56,70,25.0,1.0,0
57,57,46,26.0,1.0,0
58,58,74,26.0,1.0,0
59,59,45,27.0,1.0,0
60,60,74,27.0,0.5,0
61,61,72,27.5,0.5,0
62,62,70,28.0,0.5,0
63,63,69,28.5,0.5,0
64,64,50,29.0,1.0,0
65,65,67,29.0,0.5,0
66,66,65,29.5,0.5,0
67,67,46,30.0,1.0,0
68,68,67,30.0,1.0,0
69,69,70,31.0,1.0,0
70,70,48,32.0,1.0,0
71,71,58,32.0,1.0,0
72,72,64,32.0,1.0,0
73,73,41,33.0,1.0,1
74,74,57,33.0,1.0,1
75,75,65,33.0,1.0,1
76,76,69,35.0,0.75,0
77,77,72,35.0,0.75,0
78,78,84,35.0,0.75,0
79,79,67,35.75,0.25,0
80,80,70,35.75,0.25,0
81,81,82,35.75,0.25,0
82,82,65,36.0,1.0,0
83,83,69,36.0,1.0,0
84,84,81,36.0,1.0,0
85,85,65,37.0,1.0,0
86,86,69,37.0,1.0,0
87,87,81,37.0,1.0,0
88,88,65,38.0,0.75,0
89,89,69,38.0,0.75,0
90,90,81,38.0,0.75,0
91,91,60,38.75,0.25,0
92,92,67,38.75,0.25,0
93,93,79,38.75,0.25,0
94,94,57,39.0,1.0,0
95,95,65,39.0,1.0,0
96,96,77,39.0,1.0,0
97,97,57,40.0,1.0,0
98,98,65,40.0,1.0,0
99,99,77,40.0,1.0,0
100,100,57,41.0,1.0,0
101,101,65,41.0,1.0,0
102,102,77,41.0,1.0,0
103,103,60,42.0,1.0,0
104,104,67,42.0,1.0,0
105,105,76,42.0,1.0,0
106,106,79,42.0,1.0,0
107,107,60,43.0,1.0,0
108,108,67,43.0,1.0,0
109,109,76,43.0,1.0,0
110,110,79,43.0,1.0,0
111,111,60,44.0,1.0,0
112,112,67,44.0,1.0,0
113,113,76,44.0,1.0,0
114,114,79,44.0,1.0,0
115,115,60,45.0,1.0,0
116,116,67,45.0,1.0,0
117,117,76,45.0,1.0,0
118,118,79,45.0,1.0,0
119,119,65,46.0,1.0,0
120,120,69,46.0,1.0,0
121,121,77,46.0,1.0,0
122,122,81,46.0,1.0,0
123,123,69,47.0,0.75,0
124,124,72,47.0,0.75,0
125,125,84,47.0,0.25,0
126,126,86,47.25,0.25,0
127,127,84,47.5,0.25,0
128,128,67,47.75,0.25,0
129,129,70,47.75,0.25,0
130,130,82,47.75,0.25,0
131,131,65,48.0,1.0,0
132,132,69,48.0,1.0,0
133,133,81,48.0,1.0,0
134,134,65,49.0,1.0,0
135,135,69,49.0,1.0,0
136,136,81,49.0,1.0,0
137,137,65,50.0,0.75,0
138,138,69,50.0,0.75,0
139,139,81,50.0,0.25,0
140,140,82,50.25,0.25,0
141,141,81,50.5,0.25,0
142,142,60,50.75,0.25,0
143,143,67,50.75,0.25,0
144,144,79,50.75,0.25,0
145,145,57,51.0,1.0,0
146,146,65,51.0,1.0,0
147,147,77,51.0,1.0,0
148,148,57,52.0,1.0,0
149,149,65,52.0,1.0,0
150,150,77,52.0,1.0,0
151,151,57,53.0,1.0,0
152,152,65,53.0,1.0,0
153,153,77,53.0,1.0,0
154,154,60,54.0,1.0,0
155,155,67,54.0,1.0,0
156,156,79,54.0,1.0,0
157,157,82,55.0,1.0,0
158,158,60,56.0,1.0,0
159,159,67,56.0,1.0,0
160,160,70,56.0,1.0,0
161,161,76,56.0,1.0,0
162,162,65,57.0,1.0,1
163,163,69,57.0,1.0,1
164,164,77,57.0,1.0,1
165,165,60,59.0,1.0,0
166,166,64,59.0,1.0,0
167,167,70,59.0,1.0,0
168,168,84,59.0,1.0,0
169,169,65,60.0,1.0,0
170,170,69,60.0,1.0,0
171,171,77,60.0,1.0,0
172,172,48,62.0,1.0,0
173,173,52,62.0,1.0,0
174,174,58,62.0,1.0,0
175,175,72,62.0,1.0,0
176,176,53,63.0,1.0,0
177,177,57,63.0,1.0,0
178,178,65,63.0,1.0,0
179,179,37,65.0,1.0,0
180,180,49,65.0,1.0,0
181,181,61,65.0,1.0,0
182,182,38,66.0,0.5,0
183,183,50,66.0,0.5,0
184,184,62,66.0,1.5,0
185,185,53,66.5,0.5,0
186,186,57,67.0,0.5,0
187,187,53,67.5,0.5,0
188,188,65,67.5,0.25,0
189,189,69,67.75,0.25,0
190,190,57,68.0,0.5,0
191,191,74,68.0,0.5,0
192,192,53,68.5,0.5,0
193,193,69,68.5,0.25,0
194,194,74,68.75,0.25,0
195,195,50,69.0,0.5,0
196,196,77,69.0,0.5,0
197,197,53,69.5,0.5,0
198,198,74,69.5,0.25,0
199,199,77,69.75,0.25,0
200,200,57,70.0,0.5,0
201,201,81,70.0,0.5,0
202,202,53,70.5,0.5,0
203,203,81,70.5,0.5,0
204,204,57,71.0,0.5,0
205,205,77,71.0,0.5,0
206,206,53,71.5,0.5,0
207,207,74,71.5,0.5,0
208,208,40,72.0,1.0,0
209,209,52,72.0,1.0,0
210,210,73,72.0,0.0,0
211,211,76,72.0,0.0,0
212,212,79,72.0,0.0,0
213,213,82,72.0,1.5,0
214,214,52,73.0,1.0,0
215,215,55,73.0,1.0,0
216,216,58,73.0,1.0,0
217,217,61,73.0,1.0,0
218,218,81,73.5,0.25,0
219,219,79,73.75,0.25,0
220,220,77,74.0,0.25,0
221,221,76,74.25,0.25,0
222,222,74,74.5,0.25,0
223,223,73,74.75,0.25,0
224,224,40,75.0,1.0,0
225,225,52,75.0,1.0,0
226,226,82,75.0,1.5,0
227,227,52,76.0,1.0,0
228,228,55,76.0,1.0,0
229,229,58,76.0,1.0,0
230,230,61,76.0,1.0,0
231,231,81,76.5,0.25,0
232,232,79,76.75,0.25,0
233,233,77,77.0,0.25,0
234,234,76,77.25,0.25,0
235,235,74,77.5,0.25,0
236,236,73,77.75,0.25,0
237,237,53,78.0,0.5,0
238,238,74,78.0,1.5,0
239,239,57,78.5,0.5,0
240,240,62,79.0,0.5,0
241,241,57,79.5,0.5,0
242,242,65,79.5,0.25,0
243,243,69,79.75,0.25,0
244,244,62,80.0,0.5,0
245,245,74,80.0,0.5,0
246,246,57,80.5,0.5,0
247,247,69,80.5,0.25,0
248,248,74,80.75,0.25,0
249,249,53,81.0,0.5,0
250,250,77,81.0,0.5,0
251,251,57,81.5,0.5,0
252,252,74,81.5,0.25,0
253,253,77,81.75,0.25,0
254,254,62,82.0,0.5,0
255,255,81,82.0,0.5,0
256,256,57,82.5,0.5,0
257,257,81,82.5,0.5,0
258,258,62,83.0,0.5,0
259,259,77,83.0,0.5,0
260,260,57,83.5,0.5,0
261,261,74,83.5,0.5,0
262,262,38,84.0,1.0,0
263,263,50,84.0,1.0,0
264,264,71,84.0,1.5,0
265,265,74,84.0,1.5,0
266,266,77,84.0,1.5,0
267,267,80,84.0,1.5,0
268,268,50,85.0,1.0,0
269,269,53,85.0,1.0,0
270,270,56,85.0,1.0,0
271,271,59,85.0,1.0,0
272,272,79,85.5,0.25,0
273,273,77,85.75,0.25,0
274,274,75,86.0,0.25,0
275,275,74,86.25,0.25,0
276,276,72,86.5,0.25,0
277,277,71,86.75,0.25,0
278,278,38,87.0,1.0,0
279,279,50,87.0,1.0,0
280,280,80,87.0,1.5,0
281,281,50,88.0,1.0,0
282,282,53,88.0,1.0,0
283,283,56,88.0,1.0,0
284,284,59,88.0,1.0,0
285,285,79,88.5,0.25,0
286,286,77,88.75,0.25,0
287,287,75,89.0,0.25,0
288,288,74,89.25,0.25,0
289,289,72,89.5,0.25,0
290,290,71,89.75,0.25,0
291,291,51,90.0,0.5,0
292,292,72,90.0,1.25,0
293,293,55,90.5,0.5,0
294,294,60,91.0,0.5,0
295,295,67,91.25,0.25,0
296,296,55,91.5,0.5,0
297,297,72,91.5,0.25,0
298,298,67,91.75,0.25,0
299,299,60,92.0,0.5,0
300,300,75,92.0,0.25,0
301,301,72,92.25,0.25,0
302,302,55,92.5,0.5,0
303,303,75,92.5,0.25,0
304,304,72,92.75,0.25,0
305,305,51,93.0,0.5,0
306,306,79,93.0,0.25,0
307,307,75,93.25,0.25,0
308,308,55,93.5,0.5,0
309,309,79,93.5,0.25,0
310,310,75,93.75,0.25,0
311,311,60,94.0,0.5,0
312,312,84,94.0,1.0,0
313,313,55,94.5,0.5,0
314,314,60,95.0,0.5,0
315,315,55,95.5,0.5,0
316,316,48,96.0,0.5,0
317,317,72,96.0,1.25,0
318,318,51,96.5,0.5,0
319,319,56,97.0,0.5,0
320,320,68,97.25,0.25,0
321,321,51,97.5,0.5,0
322,322,72,97.5,0.25,0
323,323,68,97.75,0.25,0
324,324,56,98.0,0.5,0
325,325,75,98.0,0.25,0
326,326,72,98.25,0.25,0
327,327,51,98.5,0.5,0
328,328,75,98.5,0.25,0
329,329,72,98.75,0.25,0
330,330,48,99.0,0.5,0
331,331,80,99.0,0.25,0
332,332,75,99.25,0.25,0
333,333,51,99.5,0.5,0
