,src,des
0,0,0
1,1,36
2,2,67
3,2,68
4,4,76
5,4,77
6,5,138
7,5,139
8,5,140
9,6,145
10,6,146
11,6,147
12,7,152
13,7,153
14,8,154
15,8,155
16,8,156
17,9,157
18,9,158
19,9,159
20,14,190
21,14,191
22,15,252
23,15,253
24,15,254
25,16,255
26,16,256
27,17,257
28,17,258
29,18,259
30,18,260
31,18,261
32,19,262
33,19,263
34,20,264
35,20,265
36,21,266
37,21,267
38,22,268
39,22,269
40,22,270
41,23,271
42,23,272
43,23,273
44,28,316
45,29,349
46,30,389
47,32,422
48,33,424
49,34,426
50,36,437
51,37,439
52,38,441
53,40,452
54,41,454
55,43,457
56,44,459
57,46,462
58,47,464
59,49,467
60,50,498
61,51,509
62,52,519
63,52,520
64,53,530
65,53,531
66,54,541
67,54,542
68,55,553
69,56,555
70,57,556
71,58,560
72,59,562
73,60,563
74,61,567
75,62,569
76,63,570
77,64,574
78,65,576
79,66,582
80,67,592
81,67,593
82,68,603
83,68,604
84,69,614
85,69,615
86,70,626
87,71,628
88,72,629
89,73,633
90,74,635
91,75,636
92,76,640
93,77,642
94,78,643
95,79,647
96,80,649
97,81,654
98,82,656
99,83,670
100,84,672
101,85,686
102,86,688
103,87,702
104,91,751
105,93,787
106,94,818
107,94,819
108,96,827
109,96,828
110,97,889
111,97,890
112,97,891
113,98,896
114,98,897
115,98,898
116,99,903
117,99,904
118,100,905
119,100,906
120,100,907
121,101,908
122,101,909
123,101,910
124,106,941
125,106,942
126,107,1003
127,107,1004
128,107,1005
129,108,1006
130,108,1007
131,109,1008
132,109,1009
133,110,1010
134,110,1011
135,110,1012
136,111,1013
137,111,1014
138,112,1015
139,112,1016
140,113,1017
141,113,1018
142,114,1019
143,114,1020
144,114,1021
145,115,1022
146,115,1023
147,115,1024
148,119,1030
149,119,1031
150,123,1055
151,124,1056
152,125,1059
153,127,1067
154,128,1068
155,133,1104
156,134,1105
157,135,1108
158,137,1116
159,138,1117
160,140,1125
161,141,1126
162,145,1143
163,146,1176
164,147,1216
165,149,1249
166,150,1251
167,151,1253
168,153,1264
169,154,1266
170,155,1268
171,157,1279
172,158,1281
173,160,1284
174,161,1286
175,163,1289
176,164,1291
177,166,1294
178,167,1320
179,167,1321
180,168,1362
181,169,1372
182,169,1373
183,170,1383
184,170,1384
185,171,1394
186,171,1395
187,172,1406
188,173,1408
189,174,1409
190,175,1413
191,176,1415
192,177,1416
193,178,1420
194,179,1422
195,180,1423
196,181,1427
197,182,1429
198,183,1435
199,184,1445
200,184,1446
201,185,1456
202,185,1457
203,186,1467
204,186,1468
205,187,1478
206,187,1479
207,188,1489
208,188,1490
209,189,1529
210,190,1531
211,191,1532
212,192,1533
213,193,1538
214,194,1541
215,195,1543
216,196,1587
217,200,1597
218,205,1607
219,210,1616
220,215,1626
221,222,1645
222,222,1646
223,223,1707
224,223,1708
225,223,1709
226,224,1710
227,224,1711
228,225,1712
229,225,1713
230,226,1714
231,226,1715
232,226,1716
233,227,1717
234,227,1718
235,228,1719
236,228,1720
237,229,1721
238,229,1722
239,230,1723
240,230,1724
241,230,1725
242,231,1726
243,231,1727
244,231,1728
245,236,1759
246,236,1760
247,237,1821
248,237,1822
249,237,1823
250,238,1824
251,238,1825
252,239,1826
253,239,1827
254,240,1828
255,240,1829
256,240,1830
257,241,1831
258,241,1832
259,242,1833
260,242,1834
261,243,1835
262,243,1836
263,244,1837
264,244,1838
265,244,1839
266,245,1840
267,245,1841
268,245,1842
269,249,1848
270,249,1849
271,253,1873
272,254,1874
273,255,1877
274,259,1903
275,260,1904
276,262,1921
277,263,1923
278,264,1937
279,265,1939
280,266,1953
281,267,1955
282,268,2081
283,269,2083
284,270,2085
285,271,2120
286,272,2122
287,273,2124
