,rid,onset,duration,label
0,0,23.5,0.5,0.0
1,1,99.5,0.5,0.0
2,2,102.25,0.25,0.0
3,3,102.75,0.25,0.0
4,4,103.25,0.25,0.0
5,5,103.5,0.5,0.0
6,6,106.25,0.25,0.0
7,7,106.75,0.25,0.0
8,8,107.25,0.25,0.0
9,9,107.5,0.5,0.0
10,10,118.25,0.25,0.0
11,11,118.75,0.25,0.0
12,12,119.25,0.25,0.0
13,13,119.5,0.5,0.0
14,14,122.25,0.25,0.0
15,15,122.75,0.25,0.0
16,16,123.25,0.25,0.0
17,17,123.5,0.5,0.0
18,18,187.5,0.5,0.0
19,19,203.5,0.5,0.0
20,20,231.5,0.5,0.0
21,21,337.75,0.125,0.0
22,22,368.5,0.25,0.0
23,23,370.5,0.25,0.0
24,24,375.5,0.5,0.0
