,nid,pitch,onset,duration,ts,label
0,0,69.0,0.0,0.375,3,1.0
1,1,65.0,0.375,0.125,3,0.0
2,2,70.0,0.5,0.375,3,0.0
3,3,67.0,0.875,0.125,3,0.0
4,4,72.0,1.0,0.75,3,0.0
5,5,57.0,1.0,0.75,3,0.0
6,6,53.0,1.0,1.5,3,0.0
7,7,69.0,1.75,0.25,3,0.0
8,8,60.0,1.75,0.25,3,0.0
9,9,65.0,2.0,0.5,3,0.0
10,10,57.0,2.0,0.5,3,0.0
11,11,74.0,3.0,0.375,3,1.0
12,12,70.0,3.375,0.125,3,0.0
13,13,76.0,3.5,0.375,3,0.0
14,14,72.0,3.875,0.125,3,0.0
15,15,77.0,4.0,0.75,3,0.0
16,16,60.0,4.0,0.75,3,0.0
17,17,57.0,4.0,1.5,3,0.0
18,18,72.0,4.75,0.25,3,0.0
19,19,65.0,4.75,0.25,3,0.0
20,20,69.0,5.0,0.5,3,0.0
21,21,60.0,5.0,0.5,3,0.0
22,22,77.0,6.0,0.375,3,1.0
23,23,72.0,6.375,0.125,3,0.0
24,24,79.0,6.5,0.375,3,0.0
25,25,76.0,6.875,0.125,3,0.0
26,26,81.0,7.0,0.375,3,0.0
27,27,79.0,7.375,0.125,3,0.0
28,28,77.0,7.5,0.375,3,0.0
29,29,76.0,7.875,0.125,3,0.0
30,30,77.0,8.0,0.375,3,0.0
31,31,72.0,8.375,0.125,3,0.0
32,32,74.0,8.5,0.375,3,0.0
33,33,53.0,8.5,0.5,3,0.0
34,34,57.0,8.5,0.5,3,0.0
35,35,69.0,8.875,0.125,3,0.0
36,36,62.0,9.0,0.5,3,1.0
37,37,72.0,9.0,0.5,3,1.0
38,38,55.0,9.0,0.5,3,1.0
39,39,64.0,9.5,0.5,3,0.0
40,40,70.0,9.5,0.5,3,0.0
41,41,48.0,9.5,0.5,3,0.0
42,42,65.0,10.0,0.5,3,0.0
43,43,69.0,10.0,0.5,3,0.0
44,44,53.0,10.0,0.5,3,0.0
45,45,69.0,11.0,0.25,3,0.0
46,46,70.0,11.25,0.25,3,0.0
47,47,71.0,11.5,0.25,3,0.0
48,48,72.0,11.75,0.25,3,0.0
49,49,65.0,12.0,0.75,3,1.0
50,50,57.0,12.0,1.0,3,1.0
51,51,48.0,12.0,1.5,3,1.0
52,52,67.0,12.75,0.125,3,0.0
53,53,65.0,12.875,0.125,3,0.0
54,54,64.0,13.0,0.5,3,0.0
55,55,55.0,13.0,0.5,3,0.0
56,56,58.0,13.5,0.5,3,0.0
57,57,76.0,13.75,0.25,3,0.0
58,58,79.0,14.0,0.25,3,0.0
59,59,57.0,14.0,0.5,3,0.0
60,60,77.0,14.25,0.25,3,0.0
61,61,76.0,14.5,0.25,3,0.0
62,62,57.0,14.5,0.5,3,0.0
63,63,53.0,14.5,0.5,3,0.0
64,64,74.0,14.75,0.25,3,0.0
65,65,72.0,15.0,0.75,3,1.0
66,66,62.0,15.0,1.5,3,1.0
67,67,55.0,15.0,1.5,3,1.0
68,68,74.0,15.75,0.125,3,0.0
69,69,72.0,15.875,0.125,3,0.0
70,70,71.0,16.0,0.5,3,0.0
71,71,61.0,16.5,0.5,3,0.0
72,72,53.0,16.5,0.5,3,0.0
73,73,70.0,16.75,0.25,3,0.0
74,74,82.0,17.0,0.25,3,0.0
75,75,60.0,17.0,2.0,3,0.0
76,76,52.0,17.0,0.5,3,0.0
77,77,79.0,17.25,0.25,3,0.0
78,78,77.0,17.5,0.25,3,0.0
79,79,58.0,17.5,0.5,3,0.0
80,80,76.0,17.75,0.25,3,0.0
81,81,77.0,18.0,0.125,3,1.0
82,82,57.0,18.0,1.0,3,1.0
83,83,79.0,18.125,0.125,3,0.0
84,84,77.0,18.25,0.125,3,0.0
85,85,79.0,18.375,0.125,3,0.0
86,86,81.0,18.5,0.125,3,0.0
87,87,82.0,18.625,0.125,3,0.0
88,88,81.0,18.75,0.125,3,0.0
89,89,82.0,18.875,0.125,3,0.0
90,90,84.0,19.0,0.5,3,0.0
91,91,45.0,19.5,0.5,3,0.0
92,92,65.0,19.75,0.25,3,0.0
93,93,72.0,19.75,0.25,3,0.0
94,94,74.0,20.0,0.5,3,0.0
95,95,65.0,20.0,0.5,3,0.0
96,96,46.0,20.0,0.5,3,0.0
97,97,76.0,20.0,0.0,3,0.0
98,98,70.0,20.5,0.5,3,0.0
99,99,65.0,20.5,0.5,3,0.0
100,100,50.0,20.5,0.5,3,0.0
101,101,72.0,20.5,0.0,3,0.0
102,102,69.0,21.0,0.75,3,1.0
103,103,65.0,21.0,1.0,3,1.0
104,104,48.0,21.0,1.5,3,1.0
105,105,70.0,21.75,0.125,3,0.0
106,106,69.0,21.875,0.125,3,0.0
107,107,67.0,22.0,1.0,3,0.0
108,108,64.0,22.0,1.0,3,0.0
109,109,46.0,22.5,0.5,3,0.0
110,110,45.0,23.0,0.5,3,0.0
111,111,43.0,23.5,0.5,3,0.0
112,112,69.0,24.0,0.375,3,1.0
113,113,41.0,24.0,0.5,3,1.0
114,114,65.0,24.375,0.125,3,0.0
115,115,70.0,24.5,0.375,3,0.0
116,116,67.0,24.875,0.125,3,0.0
117,117,72.0,25.0,0.75,3,0.0
118,118,57.0,25.0,0.75,3,0.0
119,119,53.0,25.0,1.5,3,0.0
120,120,69.0,25.75,0.25,3,0.0
121,121,60.0,25.75,0.25,3,0.0
122,122,65.0,26.0,0.5,3,0.0
123,123,57.0,26.0,0.5,3,0.0
124,124,74.0,27.0,0.375,3,1.0
125,125,70.0,27.375,0.125,3,0.0
126,126,76.0,27.5,0.375,3,0.0
127,127,72.0,27.875,0.125,3,0.0
128,128,77.0,28.0,0.75,3,0.0
129,129,60.0,28.0,0.75,3,0.0
130,130,57.0,28.0,1.5,3,0.0
131,131,72.0,28.75,0.25,3,0.0
132,132,65.0,28.75,0.25,3,0.0
133,133,69.0,29.0,0.5,3,0.0
134,134,60.0,29.0,0.5,3,0.0
135,135,84.0,30.0,0.375,3,1.0
136,136,81.0,30.375,0.125,3,0.0
137,137,82.0,30.5,0.375,3,0.0
138,138,79.0,30.875,0.125,3,0.0
139,139,81.0,31.0,0.375,3,0.0
140,140,72.0,31.0,0.375,3,0.0
141,141,77.0,31.375,0.125,3,0.0
142,142,69.0,31.375,0.125,3,0.0
143,143,79.0,31.5,0.375,3,0.0
144,144,70.0,31.5,0.375,3,0.0
145,145,76.0,31.875,0.125,3,0.0
146,146,67.0,31.875,0.125,3,0.0
147,147,77.0,32.0,0.375,3,0.0
148,148,69.0,32.0,0.5,3,0.0
149,149,72.0,32.375,0.125,3,0.0
150,150,74.0,32.5,0.375,3,0.0
151,151,66.0,32.5,0.5,3,0.0
152,152,69.0,32.875,0.125,3,0.0
153,153,72.0,33.0,0.5,3,1.0
154,154,67.0,33.0,0.5,3,1.0
155,155,70.0,33.5,0.5,3,0.0
156,156,64.0,33.5,0.5,3,0.0
157,157,69.0,34.0,0.5,3,0.0
158,158,65.0,34.0,0.5,3,0.0
159,159,69.0,35.0,0.25,3,0.0
160,160,70.0,35.25,0.25,3,0.0
161,161,71.0,35.5,0.25,3,0.0
162,162,72.0,35.75,0.25,3,0.0
163,163,65.0,36.0,0.75,3,1.0
164,164,48.0,36.0,1.0,3,1.0
165,165,57.0,36.0,1.0,3,1.0
166,166,67.0,36.75,0.125,3,0.0
167,167,65.0,36.875,0.125,3,0.0
168,168,64.0,37.0,0.5,3,0.0
169,169,48.0,37.0,0.5,3,0.0
170,170,58.0,37.0,0.5,3,0.0
171,171,76.0,37.75,0.25,3,0.0
172,172,79.0,38.0,0.25,3,0.0
173,173,77.0,38.25,0.25,3,0.0
174,174,76.0,38.5,0.25,3,0.0
175,175,74.0,38.75,0.25,3,0.0
176,176,72.0,39.0,0.25,3,1.0
177,177,55.0,39.0,0.5,3,1.0
178,178,62.0,39.0,0.5,3,1.0
179,179,71.0,39.25,0.25,3,0.0
180,180,70.0,39.5,0.5,3,0.0
181,181,52.0,39.5,0.5,3,0.0
182,182,60.0,39.5,0.5,3,0.0
183,183,67.0,40.75,0.25,3,0.0
