,nid,pitch,onset,duration,ts,label,rid
0,0.0,76.0,0.0,1.0,4,1.0,
1,1.0,57.0,0.0,0.5,4,1.0,
2,2.0,60.0,0.0,0.5,4,1.0,
3,3.0,64.0,0.0,0.5,4,1.0,
4,4.0,75.0,0.0,0.0,4,1.0,
5,5.0,57.0,0.5,0.5,4,0.0,
6,6.0,60.0,0.5,0.5,4,0.0,
7,7.0,64.0,0.5,0.5,4,0.0,
8,8.0,76.0,1.0,0.75,4,0.0,
9,9.0,57.0,1.0,0.5,4,0.0,
10,10.0,60.0,1.0,0.5,4,0.0,
11,11.0,64.0,1.0,0.5,4,0.0,
12,12.0,57.0,1.5,0.5,4,0.0,
13,13.0,60.0,1.5,0.5,4,0.0,
14,14.0,64.0,1.5,0.5,4,0.0,
15,15.0,76.0,1.75,0.25,4,0.0,
16,16.0,76.0,2.0,1.0,4,0.0,
17,17.0,57.0,2.0,0.5,4,0.0,
18,18.0,60.0,2.0,0.5,4,0.0,
19,19.0,64.0,2.0,0.5,4,0.0,
20,20.0,57.0,2.5,0.5,4,0.0,
21,21.0,60.0,2.5,0.5,4,0.0,
22,22.0,64.0,2.5,0.5,4,0.0,
23,23.0,72.0,3.0,0.75,4,0.0,
24,24.0,57.0,3.0,0.5,4,0.0,
25,25.0,60.0,3.0,0.5,4,0.0,
26,26.0,64.0,3.0,0.5,4,0.0,
27,27.0,57.0,3.5,0.5,4,0.0,
28,28.0,60.0,3.5,0.5,4,0.0,
29,29.0,64.0,3.5,0.5,4,0.0,
30,30.0,69.0,3.75,0.25,4,0.0,
31,31.0,68.0,4.0,1.0,4,1.0,
32,32.0,57.0,4.0,0.5,4,1.0,
33,33.0,59.0,4.0,0.5,4,1.0,
34,34.0,62.0,4.0,0.5,4,1.0,
35,35.0,64.0,4.0,0.5,4,1.0,
36,36.0,69.0,4.0,0.0,4,1.0,
37,37.0,57.0,4.5,0.5,4,0.0,
38,38.0,59.0,4.5,0.5,4,0.0,
