,src,dst
0,0,1
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
10,10,11
11,11,12
12,12,13
13,13,14
14,14,15
15,15,16
16,16,17
17,17,18
18,18,19
19,19,20
20,19,21
21,19,22
22,20,21
23,20,22
24,20,30
25,20,31
26,20,32
27,20,23
28,20,24
29,20,25
30,20,26
31,20,27
32,20,28
33,20,29
34,21,20
35,21,22
36,21,23
37,22,20
38,22,21
39,22,30
40,22,31
41,22,32
42,22,23
43,22,24
44,22,25
45,22,26
46,22,27
47,22,28
48,22,29
49,23,24
50,24,25
51,25,26
52,26,27
53,27,28
54,28,29
55,29,30
56,29,31
57,29,32
58,30,31
59,30,32
60,30,33
61,30,34
62,31,30
63,31,32
64,31,33
65,31,34
66,32,30
67,32,31
68,32,47
69,32,48
70,32,49
71,32,33
72,32,34
73,32,35
74,32,36
75,32,37
76,32,38
77,32,39
78,32,40
79,32,41
80,32,42
81,32,43
82,32,44
83,32,45
84,32,46
85,33,34
86,33,35
87,33,36
88,34,33
89,34,35
90,34,36
91,35,36
92,35,37
93,35,38
94,36,35
95,36,37
96,36,38
97,37,38
98,37,39
99,37,40
100,38,37
101,38,39
102,38,40
103,39,40
104,39,41
105,39,42
106,40,39
107,40,41
108,40,42
109,41,42
110,41,43
111,41,44
112,42,41
113,42,43
114,42,44
115,43,44
116,43,45
117,43,46
118,44,43
119,44,45
120,44,46
121,45,46
122,45,47
123,45,48
124,45,49
125,46,45
126,46,47
127,46,48
128,46,49
129,47,48
130,47,49
131,47,50
132,47,51
133,48,47
134,48,49
135,48,50
136,48,51
137,49,47
138,49,48
139,49,64
140,49,65
141,49,66
142,49,67
143,49,50
144,49,51
145,49,52
146,49,53
147,49,54
148,49,55
149,49,56
150,49,57
151,49,58
152,49,59
153,49,60
154,49,61
155,49,62
156,49,63
157,50,51
158,50,52
159,50,53
160,51,50
161,51,52
162,51,53
163,52,53
164,52,54
165,52,55
166,53,52
167,53,54
168,53,55
169,54,55
170,54,56
171,54,57
172,55,54
173,55,56
174,55,57
175,56,57
176,56,58
177,56,59
178,57,56
179,57,58
180,57,59
181,58,59
182,58,60
183,58,61
184,59,58
185,59,60
186,59,61
187,60,61
188,60,62
189,60,63
190,61,60
191,61,62
192,61,63
193,62,63
194,62,64
195,62,65
196,62,66
197,62,67
198,63,62
199,63,64
200,63,65
201,63,66
202,63,67
203,64,65
204,64,66
205,64,67
206,64,69
207,64,70
208,64,71
209,64,68
210,65,64
211,65,66
212,65,67
213,65,80
214,65,81
215,65,82
216,65,68
217,65,69
218,65,70
219,65,71
220,65,72
221,65,73
222,65,74
223,65,75
224,65,76
225,65,77
226,65,78
227,65,79
228,66,64
229,66,65
230,66,67
231,66,68
232,67,64
233,67,65
234,67,66
235,67,80
236,67,81
237,67,82
238,67,68
239,67,69
240,67,70
241,67,71
242,67,72
243,67,73
244,67,74
245,67,75
246,67,76
247,67,77
248,67,78
249,67,79
250,68,69
251,68,70
252,68,71
253,69,70
254,69,71
255,69,72
256,69,73
257,70,69
258,70,71
259,70,72
260,70,73
261,71,69
262,71,70
263,71,69
264,71,70
265,71,71
266,72,73
267,72,74
268,72,75
269,73,72
270,73,74
271,73,75
272,74,75
273,74,77
274,74,78
275,74,76
276,75,74
277,75,76
278,76,77
279,76,78
280,77,78
281,77,80
282,77,81
283,77,82
284,77,79
285,78,77
286,78,79
287,79,80
288,79,81
289,79,82
290,80,81
291,80,82
292,80,3091
293,80,3092
294,81,80
295,81,82
296,81,3091
297,81,3092
298,82,80
299,82,81
300,82,3091
301,82,3092
302,83,84
303,84,85
304,85,86
305,86,87
306,87,88
307,88,89
308,89,90
309,90,91
310,91,92
311,92,93
312,93,94
313,94,95
314,95,96
315,96,97
316,97,98
317,98,99
318,99,100
319,100,101
320,101,102
321,102,103
322,102,104
323,103,104
324,103,105
325,104,103
326,104,112
327,104,113
328,104,105
329,104,106
330,104,107
331,104,108
332,104,109
333,104,110
334,104,111
335,105,106
336,106,107
337,107,108
338,108,109
339,109,110
340,110,111
341,111,112
342,111,113
343,112,113
344,112,114
345,112,115
346,113,112
347,113,114
348,113,115
349,114,115
350,114,116
351,114,117
352,115,114
353,115,116
354,115,117
355,116,117
356,116,118
357,116,119
358,117,116
359,117,118
360,117,119
361,118,119
362,118,120
363,118,121
364,119,118
365,119,120
366,119,121
367,120,121
368,120,122
369,120,123
370,121,120
371,121,122
372,121,123
373,122,123
374,122,124
375,122,125
376,123,122
377,123,124
378,123,125
379,124,125
380,124,126
381,124,127
382,125,124
383,125,126
384,125,127
385,126,127
386,126,128
387,126,129
388,127,126
389,127,128
390,127,129
391,128,129
392,128,130
393,128,131
394,129,128
395,129,130
396,129,131
397,130,131
398,130,132
399,130,133
400,131,130
401,131,132
402,131,133
403,132,133
404,132,134
405,132,135
406,133,132
407,133,134
408,133,135
409,134,135
410,134,136
411,134,137
412,135,134
413,135,136
414,135,137
415,136,137
416,136,138
417,136,139
418,137,136
419,137,138
420,137,139
421,138,139
422,138,140
423,138,141
424,139,138
425,139,140
426,139,141
427,140,141
428,140,142
429,140,143
430,141,140
431,141,142
432,141,143
433,142,143
434,142,144
435,142,145
436,143,142
437,143,144
438,143,145
439,144,145
440,144,146
441,144,147
442,145,144
443,145,146
444,145,147
445,146,147
446,146,148
447,146,149
448,147,146
449,147,148
450,147,149
451,148,149
452,148,150
453,148,151
454,149,148
455,149,150
456,149,151
457,150,151
458,150,152
459,150,153
460,151,150
461,151,152
462,151,153
463,152,153
464,152,154
465,152,155
466,153,152
467,153,154
468,153,155
469,154,155
470,154,156
471,154,157
472,155,154
473,155,156
474,155,157
475,156,157
476,156,158
477,156,159
478,157,156
479,157,158
480,157,159
481,158,159
482,158,160
483,158,161
484,159,158
485,159,160
486,159,161
487,160,161
488,160,162
489,160,3093
490,161,160
491,161,162
492,161,3093
493,162,163
494,162,164
495,162,165
496,163,164
497,163,165
498,163,166
499,163,167
500,163,168
501,164,163
502,164,165
503,164,166
504,164,167
505,164,168
506,165,163
507,165,164
508,165,166
509,165,167
510,165,168
511,166,167
512,166,168
513,166,169
514,166,170
515,166,171
516,167,166
517,167,168
518,167,169
519,167,170
520,167,171
521,168,166
522,168,167
523,168,169
524,168,170
525,168,171
526,169,170
527,169,171
528,169,172
529,169,3094
530,170,169
531,170,171
532,170,172
533,170,3094
534,171,169
535,171,170
536,171,172
537,171,3094
538,172,173
539,172,174
540,172,175
541,173,174
542,173,175
543,173,176
544,173,177
545,173,178
546,174,173
547,174,175
548,174,176
549,174,177
550,174,178
551,175,173
552,175,174
553,175,176
554,175,177
555,175,178
556,176,177
557,176,178
558,176,179
559,176,180
560,176,181
561,177,176
562,177,178
563,177,179
564,177,180
565,177,181
566,178,176
567,178,177
568,178,179
569,178,180
570,178,181
571,179,180
572,179,181
573,179,182
574,179,3095
575,180,179
576,180,181
577,180,182
578,180,3095
579,181,179
580,181,180
581,181,182
582,181,3095
583,182,183
584,182,184
585,182,185
586,183,184
587,183,185
588,183,186
589,183,187
590,183,188
591,184,183
592,184,185
593,184,186
594,184,187
595,184,188
596,185,183
597,185,184
598,185,186
599,185,187
600,185,188
601,186,187
602,186,188
603,186,189
604,186,190
605,186,191
606,187,186
607,187,188
608,187,189
609,187,190
610,187,191
611,188,186
612,188,187
613,188,189
614,188,190
615,188,191
616,189,190
617,189,191
618,189,192
619,189,3096
620,190,189
621,190,191
622,190,192
623,190,3096
624,191,189
625,191,190
626,191,192
627,191,3096
628,192,193
629,192,194
630,192,195
631,193,194
632,193,195
633,193,196
634,193,197
635,193,198
636,194,193
637,194,195
638,194,196
639,194,197
640,194,198
641,195,193
642,195,194
643,195,196
644,195,197
645,195,198
646,196,197
647,196,198
648,196,199
649,196,200
650,196,201
651,197,196
652,197,198
653,197,199
654,197,200
655,197,201
656,198,196
657,198,197
658,198,199
659,198,200
660,198,201
661,199,200
662,199,201
663,199,202
664,200,199
665,200,201
666,200,3097
667,200,202
668,201,199
669,201,200
670,201,3097
671,201,202
672,202,3097
673,203,204
674,203,211
675,203,212
676,203,213
677,203,205
678,203,206
679,203,207
680,203,208
681,203,209
682,203,210
683,204,203
684,204,211
685,204,212
686,204,213
687,204,205
688,204,206
689,204,207
690,204,208
691,204,209
692,204,210
693,205,206
694,206,207
695,207,208
696,208,209
697,209,210
698,210,211
699,210,212
700,210,213
701,211,212
702,211,213
703,211,214
704,212,211
705,212,213
706,212,217
707,212,218
708,212,219
709,212,214
710,212,215
711,212,216
712,213,211
713,213,212
714,213,217
715,213,218
716,213,219
717,213,214
718,213,215
719,213,216
720,214,215
721,215,216
722,216,217
723,216,218
724,216,219
725,217,218
726,217,219
727,217,220
728,218,217
729,218,219
730,218,223
731,218,224
732,218,3099
733,218,220
734,218,221
735,218,222
736,219,217
737,219,218
738,219,223
739,219,224
740,219,3099
741,219,220
742,219,221
743,219,222
744,220,221
745,221,222
746,222,223
747,222,224
748,222,3099
749,223,228
750,223,229
751,223,225
752,223,226
753,223,227
754,224,228
755,224,229
756,224,225
757,224,226
758,224,227
759,225,226
760,225,227
761,226,225
762,226,231
763,226,232
764,226,233
765,226,234
766,226,227
767,226,228
768,226,229
769,226,230
770,227,231
771,227,232
772,227,233
773,227,234
