,nid,pitch,onset,duration,label
0,0,74,-1.0,0.75,0
1,1,75,-0.25,0.25,0
2,2,72,0.0,0.5,0
3,3,70,0.5,0.5,0
4,4,70,1.0,1.0,0
5,5,62,1.0,1.0,0
6,6,65,1.0,1.0,0
7,7,70,2.0,1.0,0
8,8,62,2.0,1.0,0
9,9,65,2.0,1.0,0
10,10,69,3.0,1.0,0
11,11,63,3.0,1.0,0
12,12,65,3.0,1.0,0
13,13,75,5.0,0.75,0
14,14,77,5.75,0.25,0
15,15,74,6.0,0.5,0
16,16,72,6.5,0.5,0
17,17,72,7.0,1.0,0
18,18,65,7.0,1.0,0
19,19,63,7.0,1.0,0
20,20,72,8.0,1.0,0
21,21,65,8.0,1.0,0
22,22,63,8.0,1.0,0
23,23,70,9.0,1.0,0
24,24,65,9.0,1.0,0
25,25,62,9.0,1.0,0
26,26,74,11.0,0.75,0
27,27,58,11.0,0.75,0
28,28,75,11.75,0.25,0
29,29,60,11.75,0.25,0
30,30,77,12.0,0.5,0
31,31,62,12.0,0.5,0
32,32,53,12.0,7.0,0
33,33,79,12.5,0.5,0
34,34,63,12.5,0.5,0
35,35,75,13.0,0.5,0
36,36,60,13.0,0.5,0
37,37,72,13.5,0.5,0
38,38,57,13.5,0.5,0
39,39,74,14.0,0.5,0
40,40,58,14.0,0.5,0
41,41,75,14.5,0.5,0
42,42,60,14.5,0.5,0
43,43,77,15.0,0.5,0
44,44,62,15.0,0.5,0
45,45,79,15.5,0.5,0
46,46,63,15.5,0.5,0
47,47,75,16.0,0.5,0
48,48,60,16.0,0.5,0
49,49,72,16.5,0.5,0
50,50,57,16.5,0.5,0
51,51,74,17.0,0.5,0
52,52,58,17.0,0.5,0
53,53,75,17.5,0.5,0
54,54,60,17.5,0.5,0
55,55,77,18.0,0.5,0
56,56,62,18.0,1.0,0
57,57,82,18.5,0.5,0
58,58,81,19.0,0.5,0
59,59,79,19.5,0.5,0
60,60,77,20.0,0.5,0
61,61,76,20.5,0.5,0
62,62,74,21.0,0.5,0
63,63,72,21.5,0.5,0
64,64,71,22.0,0.5,0
65,65,70,22.5,0.5,0
66,66,69,23.0,0.5,0
67,67,67,23.5,0.5,0
68,68,72,24.0,0.75,0
69,69,74,24.75,0.25,0
70,70,60,25.0,1.0,0
71,71,65,25.0,1.0,0
72,72,48,25.0,1.0,0
73,73,57,25.0,1.0,0
74,74,58,26.0,1.0,0
75,75,64,26.0,1.0,0
76,76,48,26.0,1.0,0
77,77,55,26.0,1.0,0
78,78,57,27.0,1.0,0
79,79,65,27.0,1.0,0
80,80,53,27.0,1.0,0
81,81,41,28.0,1.0,0
82,82,70,29.0,0.75,0
83,83,74,29.0,0.75,0
84,84,69,29.75,0.25,0
85,85,72,29.75,0.25,0
86,86,69,30.0,1.0,1
87,87,72,30.0,1.0,1
88,88,65,31.0,1.0,0
89,89,70,32.0,0.75,0
90,90,76,32.0,0.75,0
91,91,69,32.75,0.25,0
92,92,77,32.75,0.25,0
93,93,69,33.0,1.0,0
94,94,77,33.0,1.0,0
95,95,53,34.0,1.0,0
96,96,71,35.0,1.0,0
97,97,74,35.0,1.0,0
98,98,80,35.0,1.0,0
99,99,53,35.0,1.0,0
100,100,65,35.0,1.0,0
101,101,72,36.0,1.0,0
102,102,76,36.0,1.0,0
103,103,79,36.0,1.0,0
104,104,52,36.0,1.0,0
