,src,des
0,2,3
1,3,2
2,4,5
3,5,4
4,8,9
5,9,8
6,10,11
7,11,10
8,13,14
9,13,15
10,14,13
11,14,15
12,15,13
13,15,14
14,16,17
15,17,16
16,19,20
17,20,19
18,22,23
19,23,22
20,25,26
21,26,25
22,28,29
23,29,28
24,31,32
25,32,31
26,35,36
27,36,35
28,37,38
29,38,37
30,41,42
31,42,41
32,43,44
33,44,43
34,46,47
35,46,48
36,47,46
37,47,48
38,48,46
39,48,47
40,49,50
41,49,51
42,50,49
43,50,51
44,51,49
45,51,50
46,53,54
47,53,55
48,53,56
49,54,53
50,54,55
51,54,56
52,55,53
53,55,54
54,55,56
55,56,53
56,56,54
57,56,55
58,57,58
59,57,59
60,57,60
61,58,57
62,58,59
63,58,60
64,59,57
65,59,58
66,59,60
67,60,57
68,60,58
69,60,59
70,61,62
71,61,63
72,62,61
73,62,63
74,63,61
75,63,62
76,64,65
77,64,66
78,65,64
79,65,66
80,66,64
81,66,65
82,69,70
83,70,69
84,71,72
85,72,71
86,77,78
87,78,77
88,80,81
89,81,80
90,84,85
91,85,84
92,86,87
93,87,86
94,89,90
95,90,89
96,92,93
97,93,92
98,94,95
99,95,94
100,100,101
101,101,100
102,103,104
103,104,103
104,107,108
105,108,107
106,109,110
107,110,109
108,112,113
109,113,112
110,115,116
111,116,115
112,120,121
113,121,120
114,125,126
115,126,125
116,132,133
117,132,134
118,133,132
119,133,134
120,134,132
121,134,133
122,136,137
123,136,138
124,137,136
125,137,138
126,138,136
127,138,137
128,139,140
129,140,139
130,148,149
131,148,150
132,149,148
133,149,150
134,150,148
135,150,149
136,151,152
137,152,151
138,155,156
139,155,157
140,156,155
141,156,157
142,157,155
143,157,156
144,158,159
145,159,158
146,162,163
147,162,164
148,163,162
149,163,164
150,164,162
151,164,163
152,165,166
153,166,165
154,169,170
155,169,171
156,170,169
157,170,171
158,171,169
159,171,170
160,172,173
161,172,174
162,172,175
163,172,176
164,173,172
165,173,174
166,173,175
167,173,176
168,174,172
169,174,173
170,174,175
171,174,176
172,175,172
173,175,173
174,175,174
175,175,176
176,176,172
177,176,173
178,176,174
179,176,175
180,184,185
181,184,186
182,184,187
183,184,188
184,185,184
185,185,186
186,185,187
187,185,188
188,186,184
189,186,185
190,186,187
191,186,188
192,187,184
193,187,185
194,187,186
195,187,188
196,188,184
197,188,185
198,188,186
199,188,187
200,196,197
201,196,198
202,197,196
203,197,198
204,198,196
205,198,197
206,200,201
207,201,200
208,202,203
209,203,202
210,204,205
211,204,206
212,205,204
213,205,206
214,206,204
215,206,205
216,208,209
217,209,208
218,210,211
219,211,210
220,212,213
221,212,214
222,213,212
223,213,214
224,214,212
225,214,213
226,224,225
227,225,224
228,229,230
229,230,229
230,234,235
231,235,234
232,239,240
233,240,239
234,242,243
235,242,244
236,242,245
237,242,246
238,243,242
239,243,244
240,243,245
241,243,246
242,244,242
243,244,243
244,244,245
245,244,246
246,245,242
247,245,243
248,245,244
249,245,246
250,246,242
251,246,243
252,246,244
253,246,245
254,254,255
255,254,256
256,254,257
257,254,258
258,255,254
259,255,256
260,255,257
261,255,258
262,256,254
263,256,255
264,256,257
265,256,258
266,257,254
267,257,255
268,257,256
269,257,258
270,258,254
271,258,255
272,258,256
273,258,257
274,266,267
275,266,268
276,267,266
277,267,268
278,268,266
279,268,267
280,270,271
281,271,270
282,272,273
283,273,272
284,274,275
285,274,276
286,275,274
287,275,276
288,276,274
289,276,275
290,278,279
291,279,278
292,280,281
293,281,280
294,282,283
295,282,284
296,282,285
297,283,282
298,283,284
299,283,285
300,284,282
301,284,283
302,284,285
303,285,282
304,285,283
305,285,284
306,292,293
307,293,292
308,294,295
309,295,294
310,296,297
311,297,296
312,298,299
