,src,des
0,1,88
1,1,89
2,1,90
3,1,91
4,3,167
5,3,168
6,5,170
7,5,171
8,7,173
9,10,341
10,10,342
11,12,376
12,12,377
13,12,378
14,12,379
15,14,382
16,14,383
17,14,384
18,16,435
19,16,436
20,17,435
21,17,436
22,18,1055
23,18,1056
24,18,1057
25,18,1058
26,18,1059
27,18,1060
28,18,1061
29,18,1062
30,19,1063
31,19,1064
32,19,1065
33,19,1066
34,19,1067
35,19,1068
36,19,1069
37,19,1070
38,22,1071
39,22,1072
40,22,1073
41,22,1074
42,24,1854
43,24,1855
44,24,1856
45,24,1857
46,26,1933
47,26,1934
48,27,1933
49,27,1934
50,29,1936
51,29,1937
52,30,1936
53,30,1937
54,32,1939
55,33,1939
56,35,2062
57,35,2063
58,35,2064
59,35,2065
60,35,2066
61,36,2757
62,36,2758
63,36,2759
64,36,2760
65,36,2761
66,37,2762
67,37,2763
68,37,2764
69,37,2765
70,37,2766
71,40,2767
72,40,2768
73,40,2769
74,40,2770
75,40,2771
76,43,2772
77,43,2773
78,43,2774
79,43,2775
80,43,2776
81,43,2777
82,46,2778
83,46,2779
84,46,2780
85,46,2781
86,47,2778
87,47,2779
88,47,2780
89,47,2781
90,48,2791
91,48,2792
92,51,2837
93,51,2838
94,53,2872
95,53,2873
96,53,2874
97,53,2875
98,54,2872
99,54,2873
100,54,2874
101,54,2875
102,56,2878
103,56,2879
104,56,2880
105,56,2881
106,57,2878
107,57,2879
108,57,2880
109,57,2881
