,src,des
0,0,1
1,0,2
2,1,3
3,1,4
4,2,3
5,2,4
6,4,5
7,4,6
8,5,7
9,5,8
10,6,7
11,6,8
12,8,9
13,8,10
14,9,11
15,9,12
16,10,11
17,10,12
18,12,13
19,12,14
20,13,15
21,13,16
22,14,15
23,14,16
24,16,17
25,16,18
26,17,19
27,17,20
28,17,21
29,18,19
30,20,22
31,20,23
32,22,24
33,23,24
34,25,28
35,25,29
36,28,30
37,28,31
38,28,32
39,28,33
40,29,30
41,31,33
42,33,34
43,33,35
44,36,37
45,36,38
46,37,39
47,37,40
48,38,39
49,38,40
50,40,41
51,40,42
52,41,43
53,41,44
54,42,43
55,42,44
56,44,45
57,44,46
58,45,47
59,45,48
60,46,47
61,46,48
62,48,49
63,48,50
64,49,51
65,49,52
66,50,51
67,50,52
68,52,53
69,52,54
70,53,55
71,54,55
72,54,56
73,54,57
74,57,58
75,57,59
76,57,60
77,57,61
78,57,62
79,57,63
80,80,83
81,81,83
82,84,88
83,85,88
84,86,88
85,89,93
86,90,93
87,91,93
88,94,98
89,94,99
90,94,100
91,94,101
92,95,98
93,95,99
94,95,100
95,95,101
96,96,98
97,99,101
98,103,106
99,103,107
100,103,108
101,107,108
102,109,112
103,110,112
104,113,117
105,114,117
106,115,117
107,118,122
108,119,122
109,120,122
110,123,127
111,123,128
112,123,129
113,123,130
114,124,127
115,124,128
116,124,129
117,124,130
118,125,127
119,128,130
120,132,135
121,132,136
122,132,137
123,136,137
124,170,173
125,171,173
126,172,173
127,194,197
128,195,197
129,198,202
130,199,202
131,200,202
132,203,207
133,204,207
134,205,207
135,208,212
136,208,213
137,208,214
138,208,215
139,209,212
140,209,213
141,209,214
142,209,215
143,210,212
144,213,215
145,217,220
146,217,221
147,217,222
148,221,222
149,223,226
150,224,226
151,227,231
152,228,231
153,229,231
154,232,236
155,233,236
156,234,236
157,237,241
158,237,242
159,237,243
160,237,244
161,238,241
162,238,242
163,238,243
164,238,244
165,239,241
166,242,244
167,246,249
168,246,250
169,246,251
170,250,251
171,284,287
172,285,287
173,286,287
174,318,320
175,321,323
176,324,326
177,324,327
178,330,332
179,333,335
180,333,336
181,333,337
182,338,340
183,341,343
184,341,344
185,341,345
186,346,348
187,351,353
188,354,356
189,381,383
190,381,384
191,381,385
192,386,388
193,391,393
194,394,396
195,397,399
196,397,400
197,402,403
198,402,404
199,403,404
200,409,411
201,409,412
202,409,413
203,414,416
204,420,421
205,429,431
206,430,431
207,435,436
208,444,446
209,445,446
210,450,451
211,455,456
212,460,461
213,465,466
214,482,485
215,483,485
216,485,486
217,485,487
218,485,488
219,485,489
220,492,494
221,492,495
222,492,496
223,492,497
224,493,494
225,493,495
226,493,496
227,493,497
228,498,499
229,498,500
230,498,501
231,498,502
232,502,503
233,502,504
234,502,505
235,502,506
236,504,506
237,505,506
238,507,509
239,551,552
240,557,559
241,558,559
242,564,566
243,565,566
244,571,573
245,572,573
246,578,582
247,579,582
248,580,582
249,624,625
250,630,632
