,src,des
0,62,0
1,63,0
2,64,0
3,65,1
4,66,1
5,67,1
6,68,2
7,69,2
8,70,2
9,71,3
10,72,3
11,73,3
12,104,5
13,135,6
14,136,6
15,137,6
16,142,8
17,143,8
18,148,9
19,149,9
20,348,10
21,349,10
22,350,10
23,351,10
24,782,11
25,783,11
26,784,11
27,785,11
28,788,12
29,789,12
30,790,12
31,791,12
32,1011,13
33,1012,13
34,1013,13
35,1014,13
36,1298,14
37,1299,14
38,1300,14
39,1301,15
40,1302,15
41,1303,15
42,1304,16
43,1305,16
44,1306,16
45,1307,17
46,1308,17
47,1309,17
48,1340,19
49,1371,20
50,1372,20
51,1373,20
52,1378,22
53,1379,22
54,1384,23
55,1385,23
56,1563,24
57,1564,24
58,1565,24
59,1566,24
60,1997,25
61,1998,25
62,1999,25
63,2000,25
