,src,des
0,0,1
1,1,2
2,6,2
3,7,2
4,33,3
5,36,3
6,37,4
7,42,4
8,43,4
9,87,5
10,89,5
11,170,6
12,172,6
13,221,7
14,221,8
15,222,7
16,222,8
17,223,7
18,223,8
19,228,9
20,239,10
21,250,11
22,255,12
23,256,12
24,257,12
25,258,13
26,259,13
27,262,14
28,264,14
29,265,15
30,266,15
31,267,15
32,268,16
33,269,16
34,270,16
35,271,17
36,272,17
37,273,17
38,274,18
39,275,18
40,288,19
41,289,19
42,323,20
43,324,20
44,338,21
45,341,21
46,344,22
47,347,22
48,350,23
49,353,23
50,356,24
51,359,24
52,383,25
53,386,25
54,410,26
55,413,26
56,453,27
57,454,27
58,455,27
59,497,28
60,498,28
61,499,28
62,548,29
63,549,29
64,550,29
65,555,31
66,567,32
67,581,33
68,582,33
69,583,33
70,594,34
71,606,35
72,618,36
73,624,37
74,625,37
75,626,37
76,627,38
77,628,38
78,630,38
79,632,39
80,633,39
81,634,39
82,635,40
83,636,40
84,638,40
85,640,41
86,641,41
87,642,41
88,643,42
89,644,42
90,646,42
91,666,43
92,669,43
93,670,43
94,698,44
95,698,45
96,699,44
97,699,45
98,700,44
99,700,45
100,701,46
101,702,47
102,707,47
103,708,47
104,734,48
105,741,48
106,742,48
107,768,49
108,775,49
109,776,49
110,777,50
111,782,50
112,783,50
113,784,50
114,785,51
115,786,50
116,791,51
117,792,51
118,818,52
119,821,52
120,822,53
121,823,53
122,828,53
123,829,53
124,874,54
125,876,54
126,955,55
127,957,55
128,980,56
129,981,56
130,983,56
131,1006,57
132,1006,58
133,1007,57
134,1007,58
135,1008,57
136,1008,58
137,1013,59
138,1024,60
139,1035,61
140,1040,62
141,1041,62
142,1042,62
143,1043,63
144,1044,63
145,1047,64
146,1049,64
147,1050,65
148,1051,65
149,1052,65
150,1053,66
151,1054,66
152,1055,66
153,1056,67
154,1057,67
155,1058,67
156,1059,68
157,1060,68
158,1065,69
159,1066,69
160,1067,70
161,1068,70
162,1069,71
163,1070,71
164,1071,72
165,1072,72
166,1073,73
167,1074,73
168,1108,74
169,1109,74
170,1123,75
171,1126,75
172,1129,76
173,1132,76
174,1135,77
175,1138,77
176,1141,78
177,1144,78
178,1168,79
179,1171,79
180,1195,80
181,1198,80
182,1215,81
183,1216,81
184,1219,81
185,1220,82
186,1221,82
187,1222,83
188,1223,83
189,1224,83
190,1225,84
191,1226,84
192,1227,84
193,1228,85
194,1229,85
195,1230,85
196,1234,86
197,1234,87
198,1239,89
199,1243,90
200,1244,90
201,1248,91
202,1249,91
203,1263,92
204,1264,92
205,1280,93
206,1281,93
207,1297,94
208,1298,94
209,1304,95
210,1305,95
211,1306,95
212,1307,95
213,1335,96
214,1336,96
215,1337,96
216,1380,97
217,1381,97
218,1382,97
219,1438,98
220,1439,98
221,1440,98
222,1441,98
223,1442,98
224,1443,98
