,nid,pitch,onset,duration,ts,label
0,0,69,0.0,1.5,2,0
1,1,72,0.0,1.5,2,0
2,2,57,0.5,0.5,2,0
3,3,57,0.5,1.5,2,0
4,4,64,1.0,0.5,2,0
5,5,68,1.5,0.5,2,0
6,6,71,1.5,0.5,2,0
7,7,62,1.5,0.5,2,0
8,8,69,2.0,1.5,2,0
9,9,64,2.0,2.0,2,0
10,10,57,2.5,0.5,2,0
11,11,57,2.5,1.5,2,0
12,12,60,3.0,0.5,2,0
13,13,68,3.5,0.5,2,0
14,14,59,3.5,0.5,2,0
15,15,69,4.0,1.5,2,0
16,16,64,4.0,2.0,2,0
17,17,57,4.5,0.5,2,0
18,18,60,5.0,0.5,2,0
19,19,71,5.5,0.5,2,0
20,20,56,5.5,0.5,2,0
21,21,72,6.0,1.0,2,0
22,22,69,6.0,1.0,2,0
23,23,74,6.0,0.0,2,0
24,24,57,6.5,0.5,2,1
25,25,71,7.0,1.0,2,0
26,26,68,7.0,1.0,2,0
27,27,64,7.0,0.5,2,0
28,28,52,7.5,0.5,2,0
29,29,74,8.0,1.5,2,0
30,30,69,8.0,2.0,2,0
31,31,53,8.5,0.5,2,0
32,32,65,9.0,0.5,2,0
33,33,72,9.5,0.5,2,0
34,34,64,9.5,0.5,2,0
35,35,77,10.0,1.5,2,0
36,36,69,10.0,2.0,2,0
37,37,50,10.5,0.5,2,0
38,38,62,11.0,0.5,2,0
39,39,76,11.5,0.5,2,0
40,40,60,11.5,0.5,2,0
41,41,74,12.0,1.5,2,0
42,42,68,12.0,1.5,2,0
43,43,47,12.5,0.5,2,0
44,44,59,13.0,0.5,2,0
45,45,72,13.5,0.5,2,0
46,46,69,13.5,0.5,2,0
47,47,57,13.5,0.5,2,0
48,48,71,14.0,1.0,2,1
49,49,68,14.0,1.0,2,1
50,50,52,14.0,1.0,2,1
51,51,64,14.0,1.0,2,1
52,52,72,14.0,0.0,2,1
53,53,68,15.0,0.5,2,0
54,54,52,15.0,1.0,2,0
55,55,64,15.5,0.5,2,0
56,56,72,16.0,1.5,2,0
57,57,69,16.0,1.5,2,0
58,58,57,16.5,0.5,2,0
59,59,57,16.5,1.5,2,0
60,60,64,17.0,0.5,2,0
61,61,71,17.5,0.5,2,0
62,62,68,17.5,0.5,2,0
63,63,62,17.5,0.5,2,0
64,64,69,18.0,1.5,2,0
65,65,64,18.0,2.0,2,0
66,66,57,18.5,0.5,2,0
67,67,57,18.5,1.5,2,0
68,68,60,19.0,0.5,2,0
69,69,68,19.5,0.5,2,0
