,src,des
0,0,874
1,0,875
2,0,876
3,1,890
4,1,891
5,1,892
6,2,908
7,3,933
8,3,934
9,4,1110
10,4,1111
11,4,1112
12,5,1114
13,5,1115
14,5,1116
15,7,1118
16,7,1119
17,7,1120
18,7,1121
19,7,1122
20,8,1124
21,8,1125
22,8,1126
23,8,1127
24,8,1128
25,9,1130
26,9,1131
27,9,1132
28,9,1133
29,9,1134
30,11,1136
31,12,2092
32,12,2093
33,12,2094
34,12,2095
35,12,2096
36,12,2097
37,13,2098
38,13,2099
39,13,2100
40,13,2101
41,13,2102
42,13,2103
43,14,2104
44,14,2105
45,14,2106
46,14,2107
47,14,2108
48,14,2109
49,14,2110
50,14,2111
