,src,des
0,0,2
1,1,3
2,1,4
3,2,3
4,2,4
5,3,5
6,3,6
7,4,5
8,4,6
9,5,7
10,5,8
11,6,7
12,6,8
13,7,9
14,7,10
15,8,9
16,8,10
17,9,11
18,9,12
19,10,11
20,10,12
21,11,13
22,12,13
23,13,14
24,13,15
25,14,16
26,15,17
27,15,18
28,16,17
29,16,18
30,17,19
31,18,20
32,18,21
33,19,20
34,19,21
35,20,22
36,21,23
37,21,24
38,21,25
39,22,23
40,22,24
41,22,25
42,23,26
43,24,27
44,24,28
45,24,29
46,25,27
47,25,28
48,25,29
49,26,27
50,26,28
51,26,29
52,27,30
53,28,32
54,28,33
55,28,34
56,29,32
57,29,33
58,29,34
59,30,31
60,31,32
61,31,33
62,31,34
63,32,35
64,33,36
65,34,36
66,35,36
67,36,37
68,37,38
69,38,40
70,39,43
71,39,44
72,40,41
73,41,42
74,42,43
75,42,44
76,43,45
77,43,46
78,44,45
79,44,46
80,45,47
81,45,48
82,46,47
83,46,48
84,47,49
85,47,50
86,48,49
87,48,50
88,49,51
89,49,52
90,50,51
91,50,52
92,51,53
93,52,53
94,53,55
95,53,56
96,54,55
97,54,56
98,55,57
99,56,58
100,56,59
101,56,60
102,57,58
103,57,59
104,57,60
105,58,61
106,59,62
107,59,63
108,59,64
109,60,62
110,60,63
111,60,64
112,61,62
113,61,63
114,61,64
115,62,65
116,62,66
117,63,65
118,63,66
119,64,67
120,64,68
121,65,67
122,65,68
123,66,67
124,66,68
125,67,69
126,68,70
127,69,70
128,70,71
129,71,72
130,72,73
131,73,74
132,74,75
133,75,76
134,75,77
135,76,80
136,76,81
137,77,78
138,78,79
139,79,80
140,79,81
141,80,82
142,80,83
143,81,82
144,81,83
145,82,85
146,82,86
147,83,84
148,84,85
149,84,86
150,85,88
151,85,89
152,86,87
153,87,88
154,87,89
155,88,91
156,88,92
157,88,93
158,88,94
159,88,95
160,88,96
161,89,90
162,90,91
163,90,92
164,90,93
165,90,94
166,90,95
167,90,96
168,91,98
169,91,99
170,92,97
171,93,91
172,93,92
173,93,93
174,93,94
175,93,95
176,93,96
177,94,91
178,94,92
179,94,93
180,94,94
181,94,95
