,rid,onset,duration,label
0,0,-0.5,0.0,0.0
1,1,0.5,0.0,0.0
2,2,1.5,0.0,0.0
3,3,16.5,0.0,0.0
4,4,17.5,0.0,0.0
5,5,31.0,0.0,0.0
6,6,31.0,0.5,0.0
7,7,32.5,0.0,0.0
8,8,33.5,0.0,0.0
9,9,40.5,0.0,0.0
10,10,41.5,0.0,0.0
11,11,44.0,0.0,0.0
12,12,48.0,0.0,0.0
13,13,52.0,-0.25,0.0
14,14,56.5,0.0,0.0
15,15,57.5,0.0,0.0
16,16,72.5,0.0,0.0
17,17,73.5,0.0,0.0
18,18,87.0,0.0,0.0
19,19,87.5,0.0,0.0
20,20,132.5,0.0,0.0
21,21,135.5,0.0,0.0
22,22,167.5,0.0,0.0
23,23,168.0,0.0,0.0
24,24,169.0,0.0,0.0
25,25,169.5,0.0,0.0
26,26,170.0,0.0,0.0
27,27,171.0,0.0,0.0
28,28,171.5,0.0,0.0
29,29,182.5,0.0,0.0
30,30,184.0,0.0,0.0
31,31,192.0,0.0,0.0
32,32,214.5,0.0,0.0
33,33,216.0,0.0,0.0
34,34,225.0,0.0,0.0
35,35,229.0,0.0,0.0
36,36,236.0,0.0,0.0
37,37,240.0,0.0,0.0
38,38,244.0,-0.25,0.0
39,39,248.5,0.0,0.0
40,40,249.5,0.0,0.0
41,41,264.5,0.0,0.0
42,42,265.5,0.0,0.0
43,43,279.0,0.0,0.0
44,44,279.0,0.5,0.0
45,45,295.5,0.0,0.0
46,46,301.0,0.0,0.0
47,47,311.5,0.0,0.0
48,48,312.0,0.0,0.0
49,49,326.0,0.0,0.0
50,50,338.0,0.0,0.0
51,51,342.0,0.0,0.0
52,52,346.0,0.0,0.0
53,53,350.0,0.0,0.0
54,54,352.5,0.0,0.0
55,55,353.5,0.0,0.0
56,56,354.5,0.0,0.0
57,57,355.0,0.0,0.0
58,58,355.5,0.0,0.0
