,nid,pitch,onset,duration,ts,label
0,0,72,0.0,1.5,6,1
1,1,53,0.0,2.0,6,1
2,2,56,0.0,2.0,6,1
3,3,73,1.5,0.5,6,0
4,4,72,2.0,1.0,6,0
5,5,72,3.0,2.0,6,0
6,6,77,5.0,1.0,6,0
7,7,77,6.0,4.0,6,1
8,8,67,6.0,1.5,6,1
9,9,58,6.0,4.0,6,1
10,10,61,6.0,4.0,6,1
11,11,68,7.5,0.5,6,0
12,12,67,8.0,1.0,6,0
13,13,67,9.0,1.0,6,0
14,14,75,10.0,1.0,6,0
15,15,73,11.0,1.0,6,0
16,16,72,12.0,6.0,6,1
17,17,64,12.0,4.0,6,1
18,18,67,12.0,4.0,6,1
19,19,60,12.0,1.5,6,1
20,20,61,13.5,0.5,6,0
21,21,60,14.0,1.0,6,0
22,22,60,15.0,3.0,6,0
23,23,65,16.0,1.0,6,0
24,24,68,16.0,1.0,6,0
25,25,67,17.0,1.0,6,0
26,26,70,17.0,1.0,6,0
27,27,70,18.0,1.5,6,1
28,28,67,18.0,1.5,6,1
29,29,61,18.0,4.5,6,1
30,30,49,18.0,6.0,6,1
31,31,68,19.5,0.5,6,0
32,32,65,19.5,0.5,6,0
33,33,67,20.0,1.0,6,0
34,34,64,20.0,1.0,6,0
35,35,68,21.0,4.5,6,0
36,36,65,21.0,4.5,6,0
37,37,60,22.5,0.5,6,0
38,38,59,23.0,1.0,6,0
39,39,60,24.0,6.0,6,1
40,40,48,24.0,6.0,6,1
41,41,70,25.5,0.5,6,0
42,42,67,25.5,0.5,6,0
43,43,68,26.0,1.0,6,0
44,44,65,26.0,1.0,6,0
45,45,67,27.0,1.0,6,0
46,46,64,27.0,1.0,6,0
47,47,68,28.0,1.0,6,0
48,48,65,28.0,1.0,6,0
49,49,70,29.0,1.0,6,0
50,50,67,29.0,1.0,6,0
51,51,70,30.0,1.5,6,1
52,52,67,30.0,1.5,6,1
53,53,61,30.0,4.5,6,1
54,54,49,30.0,6.0,6,1
55,55,68,31.5,0.5,6,0
56,56,65,31.5,0.5,6,0
57,57,67,32.0,1.0,6,0
58,58,64,32.0,1.0,6,0
59,59,68,33.0,4.5,6,0
60,60,65,33.0,4.5,6,0
61,61,60,34.5,0.5,6,0
62,62,59,35.0,1.0,6,0
63,63,60,36.0,5.0,6,1
64,64,48,36.0,6.0,6,1
65,65,67,37.5,0.5,6,0
66,66,64,37.5,0.5,6,0
67,67,68,38.0,1.0,6,0
68,68,65,38.0,1.0,6,0
69,69,70,39.0,1.0,6,0
70,70,67,39.0,1.0,6,0
71,71,68,40.0,1.0,6,0
72,72,65,40.0,1.0,6,0
73,73,67,41.0,1.0,6,0
74,74,64,41.0,1.0,6,0
75,75,58,41.0,1.0,6,0
76,76,67,42.0,3.0,6,1
77,77,64,42.0,3.0,6,1
78,78,58,42.0,3.0,6,1
79,79,53,42.0,4.0,6,1
80,80,65,45.0,1.0,6,0
81,81,65,45.0,1.0,6,0
82,82,56,45.0,1.0,6,0
83,83,68,48.0,1.0,6,1
84,84,51,48.0,0.5,6,1
85,85,56,48.5,0.5,6,0
86,86,60,49.0,0.5,6,0
87,87,56,49.5,0.5,6,0
88,88,68,50.0,1.0,6,0
89,89,51,50.0,0.5,6,0
90,90,56,50.5,0.5,6,0
91,91,70,51.0,1.0,6,0
92,92,51,51.0,0.5,6,0
93,93,55,51.5,0.5,6,0
94,94,58,52.0,0.5,6,0
95,95,55,52.5,0.5,6,0
96,96,70,53.0,1.0,6,0
97,97,51,53.0,0.5,6,0
98,98,55,53.5,0.5,6,0
99,99,70,54.0,3.0,6,1
100,100,51,54.0,0.5,6,1
101,101,55,54.5,0.5,6,0
102,102,58,55.0,0.5,6,0
103,103,55,55.5,0.5,6,0
104,104,51,56.0,0.5,6,0
105,105,55,56.5,0.5,6,0
106,106,72,57.0,1.0,6,0
107,107,51,57.0,0.5,6,0
108,108,56,57.5,0.5,6,0
109,109,60,58.0,0.5,6,0
110,110,56,58.5,0.5,6,0
111,111,68,59.0,1.0,6,0
112,112,51,59.0,0.5,6,0
113,113,56,59.5,0.5,6,0
114,114,73,60.0,1.0,6,1
115,115,53,60.0,0.5,6,1
116,116,56,60.5,0.5,6,0
117,117,61,61.0,0.5,6,0
118,118,56,61.5,0.5,6,0
119,119,72,62.0,1.0,6,0
120,120,51,62.0,0.5,6,0
121,121,56,62.5,0.5,6,0
122,122,77,63.0,1.0,6,0
123,123,50,63.0,0.5,6,0
124,124,53,63.5,0.5,6,0
125,125,58,64.0,0.5,6,0
126,126,53,64.5,0.5,6,0
127,127,65,65.0,1.0,6,0
128,128,50,65.0,0.5,6,0
129,129,53,65.5,0.5,6,0
130,130,68,66.0,3.0,6,1
131,131,51,66.0,0.5,6,1
132,132,56,66.5,0.5,6,0
133,133,60,67.0,0.5,6,0
134,134,56,67.5,0.5,6,0
135,135,51,68.0,0.5,6,0
136,136,56,68.5,0.5,6,0
137,137,67,69.0,1.0,6,0
138,138,51,69.0,0.5,6,0
139,139,55,69.5,0.5,6,0
140,140,58,70.0,0.5,6,0
141,141,55,70.5,0.5,6,0
142,142,75,71.0,1.0,6,0
143,143,51,71.0,0.5,6,0
144,144,55,71.5,0.5,6,0
145,145,74,72.0,3.0,6,1
146,146,52,72.0,0.5,6,1
147,147,56,72.5,0.5,6,0
148,148,59,73.0,0.5,6,0
149,149,56,73.5,0.5,6,0
150,150,52,74.0,0.5,6,0
151,151,56,74.5,0.5,6,0
152,152,80,75.0,1.0,6,0
153,153,52,75.0,0.5,6,0
154,154,56,75.5,0.5,6,0
155,155,59,76.0,0.5,6,0
156,156,56,76.5,0.5,6,0
157,157,52,77.0,0.5,6,0
158,158,56,77.5,0.5,6,0
159,159,79,78.0,3.0,6,1
160,160,51,78.0,0.5,6,1
161,161,55,78.5,0.5,6,0
162,162,58,79.0,0.5,6,0
163,163,55,79.5,0.5,6,0
164,164,51,80.0,0.5,6,0
165,165,55,80.5,0.5,6,0
166,166,82,81.0,1.0,6,0
167,167,51,81.0,0.5,6,0
168,168,55,81.5,0.5,6,0
169,169,58,82.0,0.5,6,0
170,170,55,82.5,0.5,6,0
171,171,63,83.0,0.5,6,0
172,172,58,83.5,0.5,6,0
173,173,83,84.0,3.0,6,1
174,174,62,84.0,0.5,6,1
175,175,65,84.5,0.5,6,0
176,176,68,85.0,0.5,6,0
177,177,65,85.5,0.5,6,0
178,178,62,86.0,0.5,6,0
179,179,65,86.5,0.5,6,0
180,180,80,87.0,1.0,6,0
181,181,62,87.0,0.5,6,0
182,182,65,87.5,0.5,6,0
183,183,71,88.0,0.5,6,0
184,184,65,88.5,0.5,6,0
185,185,62,89.0,0.5,6,0
186,186,65,89.5,0.5,6,0
187,187,87,90.0,3.0,6,1
188,188,61,90.0,0.5,6,1
189,189,67,90.5,0.5,6,0
190,190,70,91.0,0.5,6,0
191,191,67,91.5,0.5,6,0
192,192,61,92.0,0.5,6,0
193,193,67,92.5,0.5,6,0
194,194,79,93.0,1.0,6,0
195,195,61,93.0,0.5,6,0
196,196,63,93.5,0.5,6,0
197,197,70,94.0,0.5,6,0
198,198,63,94.5,0.5,6,0
199,199,61,95.0,0.5,6,0
200,200,63,95.5,0.5,6,0
201,201,60,96.0,0.5,6,1
202,202,63,96.5,0.5,6,0
203,203,80,97.0,1.0,6,0
204,204,68,97.0,0.5,6,0
205,205,63,97.5,0.5,6,0
206,206,80,98.0,1.0,6,0
207,207,60,98.0,0.5,6,0
208,208,63,98.5,0.5,6,0
209,209,61,99.0,0.5,6,0
210,210,65,99.5,0.5,6,0
211,211,77,100.0,1.0,6,0
212,212,68,100.0,0.5,6,0
213,213,65,100.5,0.5,6,0
214,214,77,101.0,1.0,6,0
215,215,61,101.0,0.5,6,0
216,216,65,101.5,0.5,6,0
217,217,63,102.0,0.5,6,1
218,218,68,102.5,0.5,6,0
219,219,75,103.0,1.0,6,0
220,220,72,103.0,0.5,6,0
221,221,68,103.5,0.5,6,0
222,222,75,104.0,1.0,6,0
223,223,63,104.0,0.5,6,0
224,224,68,104.5,0.5,6,0
225,225,63,105.0,0.5,6,0
226,226,70,105.5,0.5,6,0
227,227,79,106.0,1.0,6,0
228,228,73,106.0,0.5,6,0
229,229,70,106.5,0.5,6,0
230,230,79,107.0,1.0,6,0
231,231,73,107.0,0.5,6,0
232,232,70,107.5,0.5,6,0
233,233,80,108.0,2.0,6,1
234,234,65,108.0,0.5,6,1
235,235,68,108.5,0.5,6,0
236,236,72,109.0,0.5,6,0
237,237,68,109.5,0.5,6,0
238,238,84,110.0,0.5,6,0
239,239,65,110.0,0.5,6,0
240,240,80,110.5,0.5,6,0
241,241,68,110.5,0.5,6,0
242,242,77,111.0,1.5,6,0
243,243,61,111.0,0.5,6,0
244,244,79,111.0,0.0,6,0
245,245,65,111.5,0.5,6,0
246,246,68,112.0,0.5,6,0
247,247,80,112.5,0.5,6,0
248,248,65,112.5,0.5,6,0
249,249,79,113.0,0.5,6,0
250,250,61,113.0,0.5,6,0
251,251,77,113.5,0.5,6,0
252,252,65,113.5,0.5,6,0
253,253,75,114.0,1.5,6,1
254,254,51,114.0,0.5,6,1
255,255,77,114.0,0.0,6,1
256,256,56,114.5,0.5,6,0
257,257,60,115.0,0.5,6,0
258,258,77,115.5,0.25,6,0
259,259,56,115.5,0.5,6,0
260,260,75,115.75,0.25,6,0
261,261,73,116.0,0.25,6,0
262,262,51,116.0,0.5,6,0
263,263,72,116.25,0.25,6,0
264,264,70,116.5,0.25,6,0
265,265,56,116.5,0.5,6,0
266,266,68,116.75,0.25,6,0
267,267,70,117.0,3.0,6,0
268,268,51,117.0,0.5,6,0
269,269,55,117.5,0.5,6,0
270,270,61,118.0,0.5,6,0
271,271,55,118.5,0.5,6,0
272,272,51,119.0,0.5,6,0
273,273,55,119.5,0.5,6,0
274,274,68,120.0,1.0,6,1
275,275,56,120.0,1.0,6,1
276,276,67,122.0,1.0,6,0
277,277,70,122.0,1.0,6,0
278,278,72,122.0,1.0,6,0
279,279,52,122.0,1.0,6,0
280,280,65,123.0,1.0,6,0
