,src,des
0,0,0
1,1,1
2,2,7
3,3,33
4,4,34
5,5,40
6,6,67
7,7,68
8,8,75
9,9,98
10,10,130
11,11,145
12,12,147
13,13,151
14,13,152
15,14,154
16,15,158
17,15,159
18,16,161
19,17,165
20,17,166
21,18,168
22,19,344
23,20,364
24,21,378
25,22,379
26,23,380
27,24,386
28,25,392
29,26,411
30,27,412
31,28,418
32,29,424
33,30,443
34,31,444
35,32,538
36,32,539
37,34,571
38,35,597
39,36,598
40,37,604
41,38,628
42,39,629
43,40,636
44,41,659
45,42,691
46,43,706
47,44,708
48,45,712
49,45,713
50,46,715
51,47,719
52,47,720
53,48,722
54,49,726
55,49,727
56,50,729
57,51,905
58,52,925
59,53,941
60,54,954
