,src,des
0,93,1
1,94,1
2,95,1
3,239,2
4,240,2
5,264,3
6,265,3
7,266,3
8,296,4
9,297,4
10,298,4
11,324,5
12,325,5
13,328,5
14,358,6
15,359,6
16,360,6
17,386,7
18,387,7
19,388,7
20,393,8
21,445,9
22,445,10
23,463,9
24,463,10
25,464,9
26,464,10
27,465,11
28,479,12
29,480,12
30,481,12
31,482,13
32,483,13
33,490,14
34,491,14
35,493,14
36,514,15
37,521,16
38,522,16
39,523,16
40,524,16
41,525,17
42,526,17
43,527,17
44,528,17
45,535,18
46,536,18
47,537,18
48,538,18
49,544,19
50,545,19
51,546,19
52,548,19
53,569,20
54,575,21
55,576,21
56,577,21
57,578,22
58,579,22
59,580,22
60,586,23
61,587,23
62,588,23
63,668,24
64,669,24
65,697,25
66,699,25
67,700,25
68,702,26
69,703,26
70,731,27
71,733,27
72,734,27
73,748,28
74,750,28
75,751,28
76,756,29
77,757,29
78,760,29
79,778,30
80,779,30
81,782,30
82,800,31
83,801,31
84,804,31
85,826,32
86,827,32
87,830,32
88,853,33
89,854,33
90,855,33
91,863,34
92,864,34
93,865,34
94,868,34
95,875,35
96,876,35
97,877,35
98,878,36
99,879,36
100,880,36
101,881,36
102,882,36
103,883,37
104,884,37
105,885,37
106,886,37
107,887,37
108,889,39
109,898,40
110,899,40
111,900,40
112,901,40
113,911,41
114,912,41
115,913,41
116,914,41
117,916,41
118,949,42
119,950,42
120,953,42
121,971,43
122,972,43
123,975,43
124,997,44
125,998,44
126,1001,44
127,1065,45
128,1066,45
129,1068,45
130,1071,46
131,1083,47
132,1084,47
133,1085,48
134,1086,48
135,1087,48
136,1088,48
137,1089,48
138,1090,48
139,1091,49
140,1092,49
141,1093,49
142,1094,49
143,1095,49
144,1096,49
145,1104,50
146,1105,51
147,1106,52
148,1107,52
149,1108,53
150,1109,54
151,1110,54
152,1111,55
153,1112,55
154,1113,55
155,1118,56
156,1119,56
157,1120,56
158,1129,57
159,1130,58
160,1131,59
161,1132,59
162,1133,60
163,1134,61
164,1135,61
165,1136,62
166,1137,62
167,1138,62
168,1143,63
169,1146,63
170,1147,63
171,1150,64
172,1151,64
173,1152,64
174,1153,64
175,1154,64
176,1155,65
177,1156,65
178,1157,65
179,1158,65
180,1159,65
181,1162,66
182,1163,66
183,1164,66
184,1165,66
185,1166,66
186,1167,67
187,1168,67
188,1169,67
189,1170,67
190,1171,67
191,1174,68
192,1175,68
193,1176,68
194,1177,68
195,1178,68
196,1179,69
197,1180,69
198,1181,69
199,1182,69
200,1183,69
201,1184,69
202,1197,70
203,1198,70
204,1199,70
205,1201,71
206,1202,71
207,1203,71
208,1204,71
209,1205,72
210,1206,72
211,1207,72
212,1208,72
213,1210,73
214,1211,73
215,1212,73
216,1213,73
217,1214,74
218,1215,74
219,1216,74
220,1217,74
221,1219,75
222,1220,75
223,1221,75
224,1222,75
225,1324,76
226,1325,76
227,1326,76
228,1479,77
229,1482,77
230,1500,78
231,1501,78
232,1504,78
233,1522,79
234,1523,79
235,1526,79
236,1548,80
237,1549,80
238,1552,80
239,1574,81
240,1575,81
241,1576,81
242,1694,82
243,1695,82
244,1696,82
245,1770,83
246,1771,83
247,1774,83
248,1805,84
249,1806,84
250,1828,85
251,1841,86
252,1842,86
253,1843,86
254,1844,86
255,1847,87
256,1961,88
257,1962,88
258,1963,89
259,1964,89
260,1965,90
261,1966,90
262,1993,91
263,1994,91
264,1995,92
265,1996,92
266,2027,93
267,2034,94
268,2035,94
269,2036,94
270,2037,94
271,2038,95
272,2039,95
273,2040,95
274,2041,95
275,2048,96
276,2049,96
277,2050,96
278,2051,96
279,2082,97
280,2088,98
281,2089,98
282,2090,98
283,2091,99
284,2092,99
285,2093,99
286,2099,100
287,2100,100
288,2101,100
289,2131,101
290,2138,102
291,2139,102
292,2140,102
293,2141,102
294,2142,103
295,2143,103
296,2144,103
297,2145,103
298,2152,104
299,2153,104
300,2154,104
301,2155,104
302,2211,105
303,2213,105
304,2214,105
305,2216,106
306,2217,106
307,2245,107
308,2247,107
309,2248,107
310,2262,108
311,2264,108
312,2265,108
313,2270,109
314,2271,109
315,2274,109
316,2292,110
317,2293,110
318,2296,110
319,2314,111
320,2315,111
321,2318,111
322,2340,112
323,2341,112
324,2344,112
325,2367,113
326,2368,113
327,2369,113
328,2377,114
329,2378,114
330,2379,114
331,2382,114
332,2389,115
333,2390,115
334,2391,115
335,2392,116
336,2393,116
337,2394,116
338,2395,116
339,2396,116
340,2397,117
341,2398,117
342,2399,117
343,2400,117
344,2401,117
345,2403,119
346,2412,120
347,2413,120
348,2414,120
349,2415,120
350,2425,121
351,2426,121
352,2427,121
353,2429,121
354,2462,122
355,2463,122
356,2466,122
357,2484,123
358,2485,123
359,2488,123
360,2510,124
361,2511,124
362,2514,124
363,2578,125
364,2579,125
365,2580,125
366,2582,125
367,2597,126
368,2608,127
369,2609,127
370,2610,127
371,2612,127
372,2627,128
373,2666,129
374,2667,129
375,2668,129
376,2670,129
377,2679,130
378,2685,131
379,2686,131
380,2687,131
381,2688,131
382,2689,131
383,2769,132
384,2770,132
385,2783,133
386,2784,133
387,2802,134
388,2807,134
389,2808,134
390,2911,135
391,2912,135
392,2914,135
393,2917,136
394,2928,137
395,2929,137
396,2930,137
397,2932,137
398,2937,138
399,2938,138
400,2939,138
401,2941,138
402,2944,139
403,3027,140
404,3028,140
405,3032,141
406,3033,142
407,3040,143
408,3041,144
409,3048,145
410,3049,146
411,3060,147
412,3061,148
413,3062,149
414,3063,149
415,3064,150
416,3065,151
417,3066,151
418,3067,152
419,3068,152
420,3069,152
421,3074,153
422,3075,153
423,3076,153
424,3092,154
425,3093,154
426,3094,155
427,3095,155
428,3096,156
429,3097,156
430,3098,156
431,3099,157
432,3100,157
433,3101,158
434,3101,159
435,3102,158
436,3102,159
437,3103,158
438,3103,159
439,3138,160
440,3139,160
441,3142,160
442,3160,161
443,3161,161
444,3164,161
445,3186,162
446,3187,162
447,3190,162
448,3261,163
449,3262,163
450,3263,163
451,3274,163
452,3275,164
453,3276,164
454,3278,164
455,3281,165
456,3282,166
457,3283,166
458,3284,166
459,3286,166
460,3289,167
461,3290,168
462,3291,168
463,3292,168
464,3294,168
465,3297,169
466,3298,170
467,3299,170
468,3300,170
469,3302,170
470,3305,171
471,3306,172
472,3307,172
473,3308,172
474,3309,172
475,3311,172
476,3314,173
477,3315,174
478,3316,174
479,3317,174
480,3318,174
481,3320,174
482,3323,175
483,3324,176
484,3325,176
485,3326,176
486,3327,176
487,3329,176
488,3332,177
489,3333,178
490,3334,178
491,3335,178
492,3336,178
493,3338,178
494,3375,179
495,3376,179
496,3400,180
497,3401,180
498,3402,180
499,3432,181
500,3433,181
501,3434,181
502,3465,182
503,3468,182
504,3479,183
505,3480,183
506,3485,183
507,3495,184
508,3496,184
509,3497,184
510,3498,184
511,3499,184
512,3502,185
513,3512,186
514,3513,186
515,3514,186
516,3517,186
517,3520,187
518,3530,188
519,3530,189
520,3531,188
521,3531,189
522,3532,188
523,3532,189
524,3533,188
525,3533,189
526,3534,188
527,3534,189
528,3631,190
529,3632,190
530,3633,190
531,3634,190
532,3635,190
