,src,des
0,0,2
1,1,0
2,1,1
3,2,3
4,3,4
5,4,5
6,4,6
7,5,7
8,5,8
9,6,7
10,6,8
11,7,11
12,7,12
13,8,9
14,9,10
15,10,11
16,10,12
17,11,13
18,11,14
19,12,13
20,12,14
21,13,15
22,13,16
23,14,15
24,14,16
25,15,17
26,16,17
27,17,19
28,17,20
29,18,19
30,18,20
31,19,23
32,19,24
33,20,21
34,21,22
35,22,23
36,22,24
37,23,25
38,24,26
39,24,27
40,25,26
41,25,27
42,26,28
43,27,29
44,27,30
45,28,29
46,28,30
47,29,31
48,30,32
49,31,32
50,32,34
51,32,35
52,33,34
53,33,35
54,34,38
55,34,39
56,35,36
57,36,37
58,37,38
59,37,39
60,38,40
61,38,41
62,39,40
63,39,41
64,40,42
65,40,43
66,41,42
67,41,43
68,42,44
69,42,45
70,43,44
71,43,45
72,44,47
73,44,48
74,44,49
75,45,47
76,45,48
77,45,49
78,46,47
79,46,48
80,46,49
81,47,51
82,48,51
83,49,50
84,50,51
85,51,52
86,51,53
87,52,54
88,53,55
89,53,56
90,54,55
91,54,56
92,55,57
93,56,58
94,56,59
95,57,58
96,57,59
97,58,60
98,59,61
99,59,62
100,60,61
101,60,62
102,61,63
103,61,64
104,62,63
105,62,64
106,63,66
107,63,67
108,64,65
109,65,66
110,65,67
111,66,68
112,66,69
113,67,68
114,67,69
115,68,70
116,68,71
117,69,70
118,69,71
119,70,73
120,70,74
121,71,72
122,72,73
123,72,74
124,73,75
125,73,76
126,73,77
127,74,75
128,74,76
129,74,77
130,75,78
131,76,81
132,77,81
133,78,79
134,79,80
135,80,81
136,81,82
137,82,83
138,83,84
139,84,85
140,85,86
141,86,87
142,87,88
143,88,89
144,89,90
145,90,91
146,91,92
147,92,93
148,92,94
149,93,95
150,93,96
151,94,95
152,94,96
153,95,97
154,95,98
155,96,97
156,96,98
157,97,99
158,97,100
159,98,99
160,98,100
161,99,101
162,99,102
163,100,101
164,100,102
165,101,103
166,101,104
167,102,103
168,102,104
169,103,105
170,103,106
171,104,105
172,104,106
173,105,107
174,105,108
175,106,107
176,106,108
177,107,109
178,107,110
179,107,111
180,108,109
181,108,110
182,108,111
183,109,112
184,110,114
185,111,114
186,112,113
187,113,114
188,114,115
189,115,116
190,116,117
191,117,118
192,118,119
193,119,120
194,120,121
195,121,122
196,122,123
197,123,124
198,123,125
199,123,126
200,124,127
201,125,130
202,125,131
203,125,132
204,126,128
205,127,129
206,128,130
207,128,131
208,128,132
209,129,130
210,129,131
211,129,132
212,130,133
213,130,134
214,131,133
215,131,134
216,132,135
217,132,136
218,132,137
219,133,135
220,133,136
221,133,137
222,134,135
223,134,136
224,134,137
225,135,138
226,135,139
227,136,138
228,136,139
229,137,140
230,137,141
231,138,140
232,138,141
233,139,140
234,139,141
235,140,143
236,140,144
237,141,143
238,141,144
239,142,143
240,142,144
241,143,146
242,144,145
243,145,146
244,146,147
245,146,148
246,147,149
247,148,147
248,148,148
249,149,150
250,150,151
251,151,152
252,151,153
253,152,154
254,152,155
255,153,154
256,153,155
257,154,158
258,154,159
259,155,156
260,156,157
261,157,158
262,157,159
263,158,160
264,158,161
265,159,160
266,159,161
267,160,162
268,160,163
269,161,162
270,161,163
271,162,164
272,163,164
273,164,166
274,164,167
275,165,166
276,165,167
277,166,170
278,167,168
279,168,169
280,169,171
281,169,172
282,170,171
283,170,172
284,171,173
285,172,174
286,172,175
287,173,174
288,173,175
289,174,176
290,175,177
291,175,178
292,176,177
293,176,178
294,177,179
295,178,180
296,179,180
297,180,181
298,181,182
299,181,183
300,182,184
301,183,185
302,183,186
303,184,185
304,184,186
305,185,187
306,186,188
307,186,189
308,187,188
309,187,189
310,188,190
311,189,191
312,189,192
313,190,191
314,190,192
315,191,193
316,192,194
317,192,195
318,193,194
319,193,195
320,194,196
321,195,197
322,195,198
323,196,197
324,196,198
325,197,199
326,198,200
327,198,201
328,199,200
329,199,201
330,200,202
331,201,203
332,202,203
333,203,204
334,204,205
335,204,206
336,205,207
337,206,208
338,206,209
339,207,208
340,207,209
341,208,211
342,209,210
343,210,211
344,211,212
345,212,213
346,212,214
347,212,215
348,213,216
349,213,217
350,214,216
351,214,217
352,215,213
353,215,214
354,215,215
355,216,218
356,217,219
357,217,220
358,218,219
359,218,220
360,219,223
361,219,224
362,220,221
363,221,222
364,222,223
365,222,224
366,223,225
367,223,226
368,224,225
369,224,226
370,225,227
371,226,228
372,226,229
373,227,228
374,227,229
375,228,230
376,229,231
377,229,232
378,229,233
379,230,231
380,230,232
381,230,233
382,231,234
