,rid,onset,duration,ts,label
0,0,-1.0,0.0,2,0.0
1,1,0.5,-0.5,2,0.0
2,2,1.5,-0.5,2,0.0
3,3,2.5,-0.5,2,0.0
4,4,3.5,-0.5,2,0.0
5,5,7.0,0.0,2,0.0
6,6,8.5,-0.5,2,0.0
7,7,9.5,-0.5,2,0.0
8,8,10.5,-0.5,2,0.0
9,9,11.5,-0.5,2,0.0
10,10,22.5,-0.5,2,0.0
11,11,23.0,0.0,2,0.0
12,12,24.5,-0.5,2,0.0
13,13,25.5,-0.5,2,0.0
14,14,26.5,-0.5,2,0.0
15,15,27.5,-0.5,2,0.0
16,16,30.5,-0.5,2,0.0
17,17,31.0,0.0,2,0.0
18,18,32.5,-0.5,2,0.0
19,19,33.0,0.0,2,0.0
20,20,34.5,-0.5,2,0.0
21,21,35.0,0.0,2,0.0
22,22,38.5,-0.5,2,0.0
23,23,40.5,-0.5,2,0.0
24,24,41.5,-0.5,2,0.0
25,25,42.5,-0.5,2,0.0
26,26,43.5,-0.5,2,0.0
27,27,46.5,-0.5,2,0.0
28,28,47.0,0.0,2,0.0
29,29,48.5,-0.5,2,0.0
30,30,49.5,-0.5,2,0.0
31,31,50.5,-0.5,2,0.0
32,32,51.5,-0.5,2,0.0
33,33,54.5,-0.5,2,0.0
34,34,55.0,0.0,2,0.0
35,35,56.5,-0.5,2,0.0
36,36,57.0,0.0,2,0.0
37,37,58.5,-0.5,2,0.0
38,38,59.0,0.0,2,0.0
39,39,60.5,-0.5,2,0.0
40,40,61.0,0.0,2,0.0
41,41,62.5,-0.5,2,0.0
42,42,68.5,-0.5,2,0.0
43,43,69.5,-0.5,2,0.0
44,44,70.5,-0.5,2,0.0
45,45,78.5,-0.5,2,0.0
46,46,79.0,0.0,2,0.0
47,47,80.5,-0.5,2,0.0
48,48,81.0,0.0,2,0.0
49,49,82.5,-0.5,2,0.0
50,50,83.0,0.0,2,0.0
51,51,84.5,-0.5,2,0.0
52,52,85.0,0.0,2,0.0
53,53,86.5,-0.5,2,0.0
54,54,94.5,-0.5,2,0.0
55,55,96.5,-0.5,2,0.0
56,56,98.5,-0.5,2,0.0
57,57,102.0,0.0,2,0.0
58,58,103.0,0.0,2,0.0
59,59,104.5,-0.5,2,0.0
60,60,105.5,-0.5,2,0.0
61,61,106.5,-0.5,2,0.0
62,62,107.5,-0.5,2,0.0
63,63,111.0,0.0,2,0.0
64,64,112.5,-0.5,2,0.0
65,65,113.5,-0.5,2,0.0
66,66,114.5,-0.5,2,0.0
67,67,115.5,-0.5,2,0.0
68,68,136.5,-0.5,2,0.0
69,69,137.5,-0.5,2,0.0
70,70,140.5,-0.5,2,0.0
71,71,141.5,-0.5,2,0.0
72,72,145.0,0.0,2,0.0
