,src,des
0,32,33
1,32,34
2,32,35
3,32,36
4,32,37
5,32,38
6,32,39
7,32,40
8,32,41
9,32,42
10,32,43
11,32,44
12,32,45
13,32,46
14,32,47
15,32,48
16,32,49
17,32,50
18,32,51
19,32,52
20,32,53
21,32,54
22,32,55
23,32,56
24,32,57
25,56,57
26,131,132
27,139,140
28,148,149
29,148,150
30,153,154
31,153,155
32,158,159
33,158,160
34,193,194
35,193,195
36,193,196
37,193,197
38,193,198
39,193,199
40,193,200
41,193,201
42,193,202
43,193,203
44,193,204
45,193,205
46,193,206
47,193,207
48,193,208
49,193,209
50,193,210
51,193,211
52,193,212
53,193,213
54,193,214
55,193,215
56,193,216
57,193,217
58,193,218
59,217,218
60,258,259
61,260,263
62,261,263
63,265,267
64,266,267
65,276,279
66,277,279
67,280,282
68,280,283
69,282,283
70,284,287
71,285,287
72,285,288
73,287,288
74,289,292
75,290,292
76,293,296
77,294,296
78,298,300
79,298,301
80,298,302
81,298,303
82,299,300
83,302,303
84,304,307
85,305,307
86,308,310
87,308,311
88,310,311
89,312,315
90,313,315
91,313,316
92,315,316
93,317,320
94,318,320
95,321,324
96,322,324
97,326,328
98,326,329
99,326,330
100,326,331
101,327,328
102,330,331
103,333,334
104,333,335
105,333,336
106,338,339
107,341,343
108,341,344
109,342,343
110,342,344
111,343,344
112,346,348
113,346,349
114,346,350
115,347,348
116,347,349
117,347,350
118,352,353
119,355,357
120,355,358
121,356,357
122,356,358
123,357,358
124,360,362
125,360,363
126,360,364
127,361,362
128,361,363
129,361,364
130,366,367
131,370,371
132,370,372
133,370,373
134,370,374
135,371,373
136,371,374
137,372,373
138,372,374
139,377,378
140,377,379
141,381,382
142,384,385
143,386,388
144,389,391
145,393,394
146,396,397
147,398,400
148,401,403
149,405,406
150,408,409
151,410,412
152,413,415
153,417,418
154,420,421
155,422,424
156,437,440
157,437,441
158,438,440
159,438,441
160,452,453
161,452,454
162,452,455
163,452,456
164,459,462
165,459,463
166,459,464
167,459,465
168,474,475
169,475,476
170,484,485
171,485,486
172,494,495
173,495,496
174,504,505
175,505,506
176,510,511
177,513,515
178,513,516
179,513,517
180,513,518
181,513,519
182,513,520
183,513,521
184,513,522
185,513,523
186,513,524
187,513,525
188,514,515
189,514,516
190,514,517
191,514,518
192,514,519
193,514,520
194,514,521
195,514,522
196,514,523
197,514,524
198,514,525
199,543,546
200,544,546
201,547,549
202,547,550
203,549,550
204,551,554
205,552,554
206,552,555
207,554,555
208,556,559
209,557,559
210,560,563
211,561,563
212,565,567
213,565,568
214,565,569
215,565,570
216,566,567
217,569,570
218,571,574
219,572,574
220,575,577
221,575,578
222,577,578
223,579,582
224,580,582
225,580,583
226,582,583
227,584,587
228,585,587
229,588,591
230,589,591
231,593,595
232,593,596
233,593,597
234,593,598
235,594,595
236,597,598
237,600,601
238,600,602
239,600,603
240,608,610
241,608,611
242,609,610
243,609,611
244,613,615
245,613,616
246,613,617
247,614,615
248,614,616
249,614,617
250,622,624
251,622,625
252,623,624
253,623,625
254,627,629
255,627,630
256,627,631
257,628,629
258,628,630
259,628,631
260,637,638
261,637,639
262,637,640
263,637,641
264,644,645
265,644,646
266,648,649
267,651,652
268,653,655
269,656,658
270,660,661
271,663,664
272,665,667
273,668,670
274,672,673
275,675,676
276,677,679
277,680,682
278,684,685
279,687,688
280,689,691
281,704,707
282,704,708
283,705,707
284,705,708
285,719,720
286,719,721
287,719,722
288,719,723
289,726,729
290,726,730
291,726,731
292,726,732
