,rid,onset,duration,label
0,0,-1.0,0.0,0.0
1,1,11.0,0.0,0.0
2,2,12.0,0.0,0.0
3,3,16.5,-0.5,0.0
4,4,17.0,0.0,0.0
5,5,22.0,-0.75,0.0
6,6,25.0,-0.75,0.0
7,7,28.0,-0.875,0.0
8,8,31.0,-0.875,0.0
9,9,35.75,-0.875,0.0
10,10,40.5,-0.5,0.0
11,11,41.0,0.0,0.0
12,12,42.0,-0.75,0.0
13,13,42.5,-0.5,0.0
14,14,45.5,-0.5,0.0
15,15,54.0,-0.75,0.0
16,16,54.0,0.0,0.0
17,17,54.5,-0.5,0.0
18,18,58.0,-0.5,0.0
19,19,63.0,-0.75,0.0
20,20,63.5,-0.5,0.0
21,21,64.0,-0.75,0.0
22,22,72.0,-0.75,0.0
23,23,72.5,-0.5,0.0
24,24,73.0,-0.75,0.0
25,25,75.5,-0.5,0.0
26,26,76.5,-0.5,0.0
27,27,77.5,-0.5,0.0
28,28,78.0,-0.875,0.0
29,29,81.5,-0.5,0.0
30,30,87.0,-0.5,0.0
31,31,88.5,-0.5,0.0
32,32,89.0,0.0,0.0
33,33,89.5,-0.5,0.0
34,34,91.5,-0.5,0.0
35,35,92.0,0.0,0.0
36,36,93.0,-0.5,0.0
37,37,96.0,-0.5,0.0
38,38,99.0,-0.5,0.0
39,39,102.0,-0.5,0.0
40,40,105.5,-0.5,0.0
41,41,109.0,-0.5,0.0
42,42,112.0,-0.5,0.0
43,43,115.0,-0.5,0.0
44,44,118.0,-0.5,0.0
45,45,121.0,-0.5,0.0
46,46,124.0,-0.5,0.0
47,47,127.0,-0.5,0.0
48,48,130.0,-0.5,0.0
49,49,133.0,-0.5,0.0
50,50,139.0,-0.5,0.0
51,51,142.0,-0.5,0.0
52,52,151.0,-0.5,0.0
53,53,154.0,-0.5,0.0
54,54,157.5,-0.5,0.0
55,55,158.0,0.0,0.0
56,56,170.0,0.0,0.0
57,57,175.5,-0.5,0.0
58,58,176.0,0.0,0.0
59,59,181.0,-0.75,0.0
60,60,184.0,-0.75,0.0
61,61,187.0,-0.875,0.0
62,62,190.0,-0.75,0.0
63,63,193.0,-0.75,0.0
64,64,196.0,0.0,0.0
65,65,197.0,-0.5,0.0
66,66,199.5,-0.5,0.0
67,67,200.0,0.0,0.0
68,68,201.0,-0.75,0.0
69,69,201.5,-0.5,0.0
70,70,204.5,-0.5,0.0
71,71,213.0,-0.75,0.0
72,72,213.0,0.0,0.0
73,73,213.5,-0.5,0.0
74,74,216.5,-0.5,0.0
75,75,219.5,-0.5,0.0
76,76,223.0,-0.5,0.0
77,77,228.0,-0.75,0.0
78,78,228.5,-0.25,0.0
79,79,237.0,-0.75,0.0
80,80,237.5,-0.5,0.0
81,81,238.0,-0.75,0.0
82,82,240.5,-0.5,0.0
83,83,241.5,-0.5,0.0
84,84,242.5,-0.5,0.0
85,85,243.0,-0.875,0.0
86,86,246.5,-0.5,0.0
87,87,253.5,-0.5,0.0
88,88,254.5,-0.5,0.0
89,89,257.5,-0.5,0.0
