,src,des
0,0,45
1,0,46
2,1,135
3,2,158
4,3,182
5,3,183
6,3,184
7,4,205
8,4,206
9,5,246
10,6,442
11,6,443
12,6,444
13,6,445
14,7,452
15,7,453
16,7,454
17,7,455
18,8,462
19,8,463
20,10,481
21,10,482
22,11,535
23,11,536
24,12,631
25,13,683
26,13,684
27,13,685
28,14,844
29,14,845
30,14,846
31,14,847
32,14,848
33,14,849
34,14,850
35,14,851
36,14,852
37,14,853
38,14,854
39,14,855
40,14,856
41,14,857
42,14,858
43,14,859
44,14,860
45,14,861
46,14,862
47,14,863
48,14,864
49,15,900
50,15,901
51,15,902
52,15,903
53,15,904
54,15,905
55,15,906
56,15,907
57,15,908
58,15,909
59,15,910
60,15,911
61,15,912
62,15,913
63,15,914
64,15,915
65,15,916
66,15,917
67,15,918
68,15,919
69,16,1298
70,17,1415
71,18,1448
72,19,1800
73,19,1801
74,19,1802
75,19,1803
76,20,1810
77,20,1811
78,20,1812
79,20,1813
80,21,1820
81,21,1821
82,21,1822
83,21,1823
84,22,1835
85,22,1836
86,22,1837
87,22,1838
88,22,1839
89,23,1847
90,23,1848
91,23,1849
92,23,1850
93,23,1851
