,src,des
0,4,1
1,5,1
2,6,1
3,7,1
4,10,2
5,11,2
6,12,2
7,13,2
8,16,3
9,17,3
10,18,3
11,19,3
12,23,4
13,24,4
14,25,4
15,39,5
16,42,5
17,47,6
18,48,6
19,49,6
20,50,6
21,53,7
22,54,7
23,55,7
24,56,7
25,59,8
26,60,8
27,61,8
28,62,8
29,66,9
30,67,9
31,68,9
32,144,10
33,145,10
34,147,11
35,152,12
36,153,12
37,154,12
38,155,12
39,158,13
40,159,13
41,160,13
42,161,13
43,164,14
44,165,14
45,166,14
46,167,14
47,171,15
48,172,15
49,173,15
50,188,16
51,189,16
52,190,17
53,195,18
54,196,18
55,197,18
56,198,19
57,203,20
58,204,20
59,205,20
60,206,21
61,215,22
62,220,23
63,221,23
64,222,23
65,223,23
66,226,24
67,227,24
68,228,24
69,229,24
70,232,25
71,233,25
72,234,25
73,235,25
74,239,26
75,240,26
76,241,26
77,255,27
78,256,27
79,258,28
80,263,29
81,264,29
82,265,29
83,266,29
84,269,30
85,270,30
86,271,30
87,272,30
88,275,31
89,276,31
90,277,31
91,278,31
92,282,32
93,283,32
94,284,32
95,299,33
96,300,33
97,301,33
98,302,34
99,308,35
100,309,35
101,310,35
102,312,36
103,318,37
104,319,37
105,320,37
106,322,38
107,327,39
108,328,39
109,330,39
110,332,40
111,337,41
112,338,41
113,340,41
114,375,42
115,376,42
116,377,42
117,378,43
118,379,43
119,380,43
120,382,44
121,384,44
122,443,45
123,444,45
124,449,47
125,450,47
126,452,47
127,454,48
128,459,49
129,460,49
130,462,49
131,464,50
132,470,51
133,471,51
134,472,51
135,474,52
136,480,53
137,481,53
138,482,53
139,530,54
140,532,54
141,543,55
142,545,55
143,556,56
144,558,56
145,583,57
146,584,57
147,589,59
148,590,59
149,591,59
150,592,59
151,595,60
152,596,60
153,597,60
154,598,60
155,601,61
156,602,61
157,603,61
158,604,61
159,608,62
160,609,62
161,610,62
162,624,63
163,627,63
164,632,64
165,633,64
166,634,64
167,635,64
168,638,65
169,639,65
170,640,65
171,641,65
172,644,66
173,645,66
174,646,66
175,647,66
176,651,67
177,652,67
178,653,67
179,807,68
180,808,68
181,815,69
182,816,69
183,817,69
184,839,70
185,840,70
186,847,71
187,848,71
188,849,71
189,870,72
190,871,72
191,872,72
192,873,72
