,nid,pitch,onset,duration,label
0,0,67,0.0,1.0,0
1,1,70,0.0,1.0,0
2,2,39,0.0,1.0,0
3,3,51,0.0,1.0,0
4,4,63,1.0,0.5,0
5,5,67,1.0,0.5,0
6,6,58,1.5,0.5,0
7,7,65,1.5,0.5,0
8,8,46,1.5,0.5,0
9,9,55,2.0,0.5,0
10,10,63,2.0,0.5,0
11,11,51,2.0,1.0,0
12,12,58,2.5,0.5,0
13,13,63,3.0,0.5,0
14,14,65,3.5,0.5,0
15,15,62,3.5,0.5,0
16,16,46,3.5,0.5,0
17,17,67,4.0,0.5,0
18,18,63,4.0,2.0,0
19,19,51,4.0,0.5,0
20,20,68,4.5,0.5,0
21,21,48,4.5,0.5,0
22,22,70,5.0,0.5,0
23,23,43,5.0,0.5,0
24,24,72,5.5,0.5,0
25,25,44,5.5,0.5,0
26,26,67,6.0,0.75,0
27,27,63,6.0,1.0,0
28,28,46,6.0,1.5,0
29,29,68,6.75,0.25,0
30,30,65,7.0,0.25,1
31,31,62,7.0,1.0,1
32,32,67,7.25,0.25,0
33,33,68,7.5,0.25,0
34,34,69,7.75,0.25,0
35,35,82,8.0,1.0,0
36,36,70,8.0,2.0,0
37,37,67,8.0,1.0,0
38,38,79,9.0,0.5,0
39,39,63,9.0,0.5,0
40,40,77,9.5,0.5,0
41,41,58,9.5,0.5,0
42,42,75,10.0,0.5,0
43,43,70,10.0,0.5,0
44,44,55,10.0,0.5,0
45,45,77,10.5,0.5,0
46,46,74,10.5,0.5,0
47,47,58,10.5,0.5,0
48,48,79,11.0,0.5,0
49,49,75,11.0,1.0,0
50,50,63,11.0,0.5,0
51,51,80,11.5,0.5,0
52,52,60,11.5,0.5,0
53,53,75,12.0,0.5,0
54,54,82,12.0,0.5,0
55,55,55,12.0,0.5,0
56,56,83,12.5,0.125,0
57,57,56,12.5,0.5,0
58,58,65,12.5,0.5,0
59,59,84,12.625,0.125,0
60,60,80,12.75,0.125,0
61,61,77,12.875,0.125,0
62,62,75,13.0,0.5,0
63,63,67,13.0,0.5,0
64,64,58,13.0,1.0,0
65,65,79,13.5,0.125,0
66,66,68,13.5,0.5,0
67,67,77,13.625,0.125,0
68,68,76,13.75,0.125,0
69,69,77,13.875,0.125,0
70,70,74,14.0,1.0,0
71,71,77,14.0,1.0,0
72,72,68,14.0,1.0,0
73,73,63,14.0,1.5,0
74,74,75,15.0,0.5,1
75,75,67,15.0,0.5,1
76,76,77,16.0,1.0,0
77,77,62,16.0,0.5,0
78,78,58,16.5,0.5,0
79,79,79,17.0,0.5,0
80,80,63,17.0,0.5,0
81,81,75,17.5,0.5,0
82,82,58,17.5,0.5,0
83,83,80,18.0,0.75,0
84,84,58,18.0,1.0,0
85,85,65,18.0,1.0,0
86,86,77,18.75,0.25,0
87,87,74,19.0,0.25,0
88,88,75,19.25,0.25,0
89,89,77,19.5,0.25,0
90,90,78,19.75,0.25,0
91,91,79,20.0,0.5,0
92,92,63,20.0,0.5,0
93,93,79,20.5,0.5,0
94,94,63,20.5,0.5,0
95,95,80,21.0,0.5,0
96,96,63,21.0,0.5,0
97,97,65,21.0,0.5,0
98,98,81,21.5,0.5,0
99,99,63,21.5,0.5,0
100,100,66,21.5,0.5,0
101,101,82,22.0,0.75,0
102,102,63,22.0,1.0,0
103,103,67,22.0,1.0,0
104,104,84,22.75,0.083333336,0
105,105,82,22.833334,0.083333336,0
106,106,80,22.916666,0.083333336,0
107,107,79,23.0,0.25,0
108,108,80,23.25,0.25,0
109,109,82,23.5,0.25,0
110,110,83,23.75,0.25,0
111,111,84,24.0,1.0,0
112,112,68,24.5,0.5,0
113,113,75,24.5,0.5,0
114,114,82,25.0,1.0,0
115,115,66,25.5,0.5,0
116,116,75,25.5,0.5,0
117,117,81,26.0,1.0,0
