,src,des
0,4,5
1,4,6
2,5,4
3,5,6
4,6,4
5,6,5
6,7,8
7,8,7
8,9,10
9,10,9
10,15,16
11,15,17
12,16,15
13,16,17
14,17,15
15,17,16
16,18,19
17,19,18
18,20,21
19,21,20
20,32,33
21,32,34
22,33,32
23,33,34
24,34,32
25,34,33
26,36,37
27,36,38
28,37,36
29,37,38
30,38,36
31,38,37
32,39,40
33,39,41
34,40,39
35,40,41
36,41,39
37,41,40
38,42,43
39,42,44
40,43,42
41,43,44
42,44,42
43,44,43
44,49,50
45,49,51
46,50,49
47,50,51
48,51,49
49,51,50
50,54,55
51,55,54
52,58,59
53,59,58
54,61,62
55,61,63
56,62,61
57,62,63
58,63,61
59,63,62
60,65,66
61,65,67
62,66,65
63,66,67
64,67,65
65,67,66
66,71,72
67,72,71
68,74,75
69,74,76
70,75,74
71,75,76
72,76,74
73,76,75
74,78,79
75,79,78
76,81,82
77,82,81
78,92,93
79,93,92
80,94,95
81,94,96
82,94,97
83,95,94
84,95,96
85,95,97
86,96,94
87,96,95
88,96,97
89,97,94
90,97,95
91,97,96
92,98,99
93,98,100
94,98,101
95,99,98
96,99,100
97,99,101
98,100,98
99,100,99
100,100,101
101,101,98
102,101,99
103,101,100
104,102,103
105,102,104
106,103,102
107,103,104
108,104,102
109,104,103
110,107,108
111,108,107
112,112,113
113,113,112
114,117,118
115,117,119
116,118,117
117,118,119
118,119,117
119,119,118
120,120,121
121,121,120
122,122,123
123,123,122
124,128,129
125,128,130
126,129,128
127,129,130
128,130,128
129,130,129
130,131,132
131,132,131
132,133,134
133,134,133
134,139,140
135,140,139
136,141,142
137,142,141
138,143,144
139,144,143
140,145,146
141,146,145
142,147,148
143,148,147
144,150,151
145,151,150
146,153,154
147,154,153
148,155,156
149,156,155
150,157,158
151,158,157
152,163,164
153,163,165
154,164,163
155,164,165
156,165,163
157,165,164
158,168,169
159,168,170
160,169,168
161,169,170
162,170,168
163,170,169
164,176,177
165,176,178
166,177,176
167,177,178
