,rid,onset,duration,label
0,0,-0.5,0.0,0.0
1,1,15.5,0.0,0.0
2,2,36.5,0.0,0.0
3,3,40.5,0.0,0.0
4,4,44.5,0.0,0.0
5,5,51.0,0.0,0.0
6,6,56.5,0.0,0.0
7,7,60.5,0.0,0.0
8,8,62.0,0.0,0.0
9,9,73.5,-0.25,0.0
10,10,73.5,0.0,0.0
11,11,74.0,0.0,0.0
12,12,76.5,0.0,0.0
13,13,77.0,0.0,0.0
14,14,78.5,0.0,0.0
15,15,82.0,0.0,0.0
16,16,83.5,-0.25,0.0
17,17,84.0,0.0,0.0
18,18,85.5,-0.25,0.0
19,19,86.5,0.0,0.0
20,20,90.0,0.0,0.0
21,21,91.5,-0.25,0.0
22,22,92.0,0.0,0.0
23,23,93.5,-0.25,0.0
24,24,102.5,0.0,0.0
25,25,107.5,0.0,0.0
26,26,108.0,-0.25,0.0
27,27,111.5,0.0,0.0
28,28,113.5,0.0,0.0
29,29,114.5,0.0,0.0
30,30,116.5,0.0,0.0
31,31,118.5,0.0,0.0
32,32,120.5,0.0,0.0
33,33,122.5,0.0,0.0
34,34,124.5,0.0,0.0
35,35,126.5,0.0,0.0
36,36,127.5,0.0,0.0
37,37,128.5,0.0,0.0
38,38,129.0,0.5,0.0
39,39,130.0,0.0,0.0
40,40,132.0,0.0,0.0
41,41,134.0,0.0,0.0
42,42,138.5,0.0,0.0
43,43,140.5,0.0,0.0
44,44,142.5,0.0,0.0
45,45,148.5,0.0,0.0
46,46,149.0,-0.33333334,0.0
47,47,150.5,0.0,0.0
48,48,151.5,0.0,0.0
49,49,152.5,0.0,0.0
50,50,156.0,0.0,0.0
51,51,156.5,0.0,0.0
52,52,157.0,0.0,0.0
53,53,157.5,0.0,0.0
54,54,158.0,0.0,0.0
55,55,159.0,0.0,0.0
56,56,160.5,0.0,0.0
57,57,164.0,0.0,0.0
58,58,164.5,0.0,0.0
59,59,165.0,0.0,0.0
60,60,165.5,0.0,0.0
61,61,166.0,0.0,0.0
62,62,167.0,0.0,0.0
63,63,169.0,0.0,0.0
64,64,170.0,0.0,0.0
65,65,171.0,0.0,0.0
66,66,172.0,0.0,0.0
67,67,173.0,0.0,0.0
68,68,174.0,0.0,0.0
69,69,175.0,0.0,0.0
70,70,177.0,0.0,0.0
71,71,178.0,0.0,0.0
72,72,179.0,0.0,0.0
73,73,180.0,0.0,0.0
74,74,181.0,0.0,0.0
75,75,182.0,0.0,0.0
76,76,199.5,0.0,0.0
77,77,220.5,0.0,0.0
78,78,222.5,0.0,0.0
79,79,224.5,0.0,0.0
80,80,226.5,0.0,0.0
81,81,228.5,0.0,0.0
82,82,244.5,0.0,0.0
83,83,254.5,0.0,0.0
84,84,258.0,0.0,0.0
85,85,262.0,0.0,0.0
86,86,264.5,0.0,0.0
87,87,266.0,0.0,0.0
88,88,279.5,-0.33333334,0.0
89,89,279.66666,-0.33333334,0.0
90,90,279.83334,-0.33333334,0.0
91,91,282.5,0.0,0.0
92,92,283.0,0.0,0.0
93,93,288.0,0.0,0.0
94,94,289.5,-0.25,0.0
95,95,290.0,0.0,0.0
96,96,291.5,-0.25,0.0
97,97,296.0,0.0,0.0
98,98,297.5,-0.25,0.0
99,99,298.0,0.0,0.0
100,100,299.5,-0.25,0.0
101,101,304.0,0.0,0.0
102,102,305.5,-0.25,0.0
103,103,306.0,0.0,0.0
104,104,307.5,-0.25,0.0
105,105,315.5,0.0,0.0
106,106,316.0,-0.25,0.0
107,107,319.5,0.0,0.0
108,108,321.5,0.0,0.0
109,109,322.5,0.0,0.0
110,110,324.5,0.0,0.0
111,111,326.5,0.0,0.0
112,112,328.5,0.0,0.0
113,113,330.5,0.0,0.0
114,114,332.5,0.0,0.0
115,115,334.5,0.0,0.0
116,116,335.5,0.0,0.0
117,117,336.5,0.0,0.0
118,118,337.0,0.5,0.0
119,119,338.0,0.0,0.0
120,120,340.0,0.0,0.0
121,121,342.0,0.0,0.0
122,122,346.5,0.0,0.0
