,src,des
0,0,0
1,1,66
2,2,74
3,2,75
4,2,76
5,3,99
6,3,100
7,4,104
8,4,105
9,4,106
10,5,138
11,6,158
12,9,268
13,10,312
14,10,313
15,10,314
16,10,315
17,11,319
18,12,320
19,13,323
20,14,346
21,14,347
22,14,348
23,15,404
24,16,411
25,16,412
26,17,411
27,17,412
28,18,435
29,20,483
30,21,484
31,23,566
32,23,567
33,24,568
34,25,586
35,25,587
36,26,595
37,26,596
38,26,597
39,27,605
40,27,606
41,27,607
42,28,608
43,29,642
44,30,682
45,31,694
46,31,695
47,32,702
48,32,703
49,32,704
50,32,705
51,33,702
52,33,703
53,33,704
54,33,705
55,34,716
56,34,717
57,34,718
58,35,719
59,36,721
60,37,744
61,37,745
62,37,746
63,37,747
64,37,748
65,38,771
66,38,772
67,38,773
68,38,774
69,38,775
70,39,802
71,39,803
72,39,804
73,39,805
74,39,806
75,40,841
76,40,842
77,40,843
78,40,844
79,40,845
80,41,872
81,42,896
82,42,897
83,43,924
84,43,925
85,43,926
86,44,950
87,44,951
88,45,977
89,45,978
90,45,979
91,46,1003
92,46,1004
93,47,1027
94,48,1051
95,48,1052
96,48,1053
97,49,1090
98,49,1091
99,49,1092
100,50,1169
101,50,1170
102,50,1171
103,51,1207
104,51,1208
105,51,1209
106,52,1328
107,52,1329
108,52,1330
109,53,1357
110,53,1358
111,53,1359
112,54,1384
113,54,1385
114,55,1386
115,56,1452
116,57,1485
117,57,1486
118,58,1490
119,58,1491
120,58,1492
121,59,1524
122,60,1544
123,62,1599
124,63,1620
125,64,1654
126,65,1656
127,66,1672
128,66,1673
129,67,1677
130,68,1678
131,69,1681
132,70,1704
133,70,1705
134,70,1706
135,71,1762
136,72,1769
137,72,1770
138,73,1769
139,73,1770
140,74,1788
141,74,1789
142,74,1790
143,74,1791
144,75,1812
145,75,1813
146,75,1814
147,75,1815
148,78,1889
149,80,1971
150,80,1972
151,81,1973
152,82,1991
153,82,1992
154,83,2000
155,83,2001
156,83,2002
157,84,2010
158,84,2011
159,84,2012
160,85,2013
161,86,2047
162,86,2048
163,86,2049
164,86,2050
165,87,2099
166,87,2100
167,88,2107
168,88,2108
169,88,2109
170,88,2110
171,89,2124
172,89,2125
173,89,2126
