,src,des
0,9,11
1,9,12
2,10,11
3,10,12
4,73,75
5,74,75
6,79,84
7,79,85
8,79,86
9,79,87
10,79,88
11,90,91
12,93,94
13,96,97
14,99,100
15,102,103
16,105,106
17,108,109
18,111,112
19,113,115
20,113,116
21,113,117
22,119,120
23,122,123
24,125,126
25,128,129
26,131,132
27,134,135
28,137,138
29,137,139
30,137,140
31,162,164
32,163,164
33,167,168
34,167,169
35,167,170
36,167,171
37,182,184
38,185,187
39,189,190
40,191,193
41,194,196
42,198,199
43,200,202
44,203,205
45,207,208
46,210,211
47,216,218
48,219,221
49,223,224
50,225,227
51,228,230
52,232,233
53,234,236
54,237,239
55,241,242
56,244,245
57,244,246
58,244,247
59,249,251
60,250,251
61,253,255
62,253,256
63,253,257
64,253,258
65,253,259
66,254,255
67,254,256
68,254,257
69,254,258
70,254,259
71,260,263
72,260,264
73,260,265
74,262,263
75,262,264
76,262,265
77,262,266
78,262,267
79,262,268
80,266,268
81,287,289
82,287,290
83,288,289
84,288,290
85,345,348
86,346,348
87,347,348
88,363,364
89,363,365
90,366,370
91,371,373
92,371,374
93,371,375
94,377,378
95,380,381
96,383,384
97,386,387
98,389,390
99,392,393
100,395,396
101,398,399
102,400,402
103,400,403
104,407,408
105,410,411
106,413,414
107,416,417
108,419,420
109,422,423
110,425,426
111,425,427
112,425,428
113,430,432
114,430,433
115,430,434
116,431,432
117,431,433
118,431,434
119,436,439
120,436,440
121,436,441
122,437,439
123,437,440
124,437,441
125,438,439
126,438,440
127,438,441
128,443,446
129,443,447
130,443,448
131,444,446
132,444,447
133,444,448
134,445,446
135,445,447
136,445,448
137,458,460
138,458,461
139,459,460
140,459,461
141,464,465
142,464,466
143,464,467
144,464,468
145,475,477
146,475,478
147,475,479
148,475,480
149,475,481
150,475,482
151,475,483
152,475,484
153,475,485
154,475,486
155,476,477
156,476,478
157,476,479
158,476,480
159,476,481
160,476,482
161,476,483
162,476,484
163,476,485
164,476,486
165,503,505
166,504,505
167,508,510
168,509,510
169,525,526
170,529,530
171,533,534
172,537,538
173,549,550
174,553,554
175,557,558
176,561,562
177,577,579
178,582,584
179,587,589
180,592,594
181,596,598
182,596,599
183,596,600
184,596,601
185,596,602
186,596,603
187,605,607
188,606,607
189,609,611
190,610,611
191,613,615
192,614,615
193,617,618
194,633,634
195,637,638
196,641,642
197,644,645
198,647,649
199,648,649
200,651,653
201,652,653
202,655,657
203,656,657
204,659,661
205,660,661
206,663,665
207,664,665
208,667,669
209,668,669
210,676,678
211,676,679
212,676,680
213,676,681
214,676,682
215,676,683
216,676,684
217,676,685
218,676,686
219,676,687
220,677,678
221,677,679
222,677,680
223,677,681
224,677,682
225,677,683
226,677,684
227,677,685
228,677,686
229,677,687
230,700,701
231,783,786
232,785,786
233,785,787
234,785,788
235,785,789
236,787,789
237,787,790
238,787,791
239,791,792
240,791,793
241,794,797
242,796,797
243,796,798
244,796,799
245,796,800
246,798,800
247,802,803
248,804,807
249,806,807
250,806,808
251,806,809
252,806,810
253,808,810
254,808,811
255,808,812
256,812,813
257,812,814
258,815,818
259,817,818
260,817,819
261,817,820
262,817,821
263,819,821
264,823,824
265,825,828
266,827,828
267,827,829
268,827,830
269,827,831
270,829,831
271,833,834
272,835,838
273,837,838
274,837,839
275,837,840
276,837,841
277,839,841
278,843,844
279,846,848
280,846,849
281,846,850
282,847,848
283,847,849
284,847,850
285,853,854
286,853,855
287,857,859
288,858,859
289,865,868
290,865,869
291,865,870
292,865,871
293,865,872
294,866,868
295,866,869
296,866,870
297,866,871
298,866,872
299,867,868
300,867,869
301,867,870
302,867,871
303,867,872
304,874,877
305,875,877
306,876,877
307,881,884
308,882,884
309,883,884
310,886,889
311,887,889
312,888,889
313,893,896
314,894,896
315,895,896
316,898,901
317,899,901
318,900,901
319,908,910
320,908,911
321,908,912
322,908,913
323,908,914
324,908,915
325,908,916
326,908,917
327,908,918
328,908,919
329,909,910
330,909,911
331,909,912
332,909,913
333,909,914
334,909,915
335,909,916
336,909,917
337,909,918
338,909,919
339,929,930
340,933,934
341,937,938
342,941,942
343,957,958
344,961,962
345,965,966
346,969,970
347,981,982
348,985,986
349,989,990
350,993,994
351,1009,1011
352,1014,1016
353,1019,1021
354,1024,1026
355,1028,1030
356,1028,1031
357,1028,1032
358,1028,1033
359,1028,1034
360,1028,1035
361,1036,1039
362,1038,1039
363,1040,1043
364,1042,1043
365,1044,1047
366,1046,1047
367,1049,1051
368,1050,1051
369,1066,1067
370,1070,1071
371,1074,1075
372,1078,1079
373,1081,1083
374,1082,1083
375,1085,1087
376,1086,1087
377,1089,1091
378,1090,1091
379,1093,1095
380,1094,1095
381,1097,1099
382,1098,1099
383,1101,1103
384,1102,1103
