,nid,pitch,onset,duration,label
0,0,70,0.0,1.0,1
1,1,51,0.0,0.25,1
2,2,55,0.25,0.25,0
3,3,58,0.5,0.25,0
4,4,55,0.75,0.25,0
5,5,67,1.0,0.5,0
6,6,51,1.0,0.25,0
7,7,55,1.25,0.25,0
8,8,67,1.5,0.5,0
9,9,58,1.5,0.25,0
10,10,55,1.75,0.25,0
11,11,67,2.0,0.875,0
12,12,63,2.0,1.0,0
13,13,46,2.0,0.25,0
14,14,51,2.25,0.25,0
15,15,55,2.5,0.25,0
16,16,51,2.75,0.25,0
17,17,68,2.875,0.125,0
18,18,65,3.0,0.5,0
19,19,62,3.0,0.5,0
20,20,46,3.0,0.25,0
21,21,50,3.25,0.25,0
22,22,53,3.5,0.25,0
23,23,50,3.75,0.25,0
24,24,63,4.0,1.0,1
25,25,55,4.0,0.25,1
26,26,51,4.0,1.0,1
27,27,58,4.25,0.25,0
28,28,55,4.5,0.25,0
29,29,58,4.75,0.25,0
30,30,65,5.0,1.0,0
31,31,62,5.0,0.25,0
32,32,46,5.0,1.0,0
33,33,58,5.25,0.25,0
34,34,62,5.5,0.25,0
35,35,58,5.75,0.25,0
36,36,67,6.0,0.375,0
37,37,63,6.0,0.5,0
38,38,39,6.0,1.0,0
39,39,68,6.375,0.125,0
40,40,70,6.5,0.125,0
41,41,72,6.625,0.125,0
42,42,74,6.75,0.125,0
43,43,75,6.875,0.125,0
44,44,70,7.0,0.25,0
45,45,75,7.5,0.25,0
46,46,79,7.5,0.25,0
47,47,74,7.75,0.25,0
48,48,77,7.75,0.25,0
49,49,72,8.0,0.25,1
50,50,75,8.0,0.25,1
51,51,70,8.25,0.25,0
52,52,74,8.25,0.25,0
53,53,68,8.5,0.25,0
54,54,72,8.5,0.25,0
55,55,50,8.5,0.25,0
56,56,67,8.75,0.25,0
57,57,70,8.75,0.25,0
58,58,51,8.75,0.25,0
59,59,65,9.0,0.25,0
60,60,68,9.0,0.25,0
61,61,53,9.0,0.25,0
62,62,63,9.25,0.25,0
63,63,67,9.25,0.25,0
64,64,55,9.25,0.25,0
65,65,60,9.5,0.25,0
66,66,72,9.5,0.25,0
67,67,56,9.5,0.25,0
68,68,65,9.75,0.25,0
