,src,des
0,44,0
1,134,1
2,155,2
3,156,2
4,157,2
5,179,3
6,180,3
7,181,3
8,195,4
9,196,4
10,203,4
11,204,4
12,243,5
13,244,5
14,245,5
15,439,6
16,440,6
17,441,6
18,449,7
19,450,7
20,451,7
21,459,8
22,460,8
23,461,8
24,480,9
25,534,11
26,630,12
27,680,13
28,681,13
29,682,13
30,840,14
31,843,14
32,896,15
33,899,15
34,1297,16
35,1414,17
36,1443,18
37,1446,18
38,1447,18
39,1797,19
40,1798,19
41,1799,19
42,1807,20
43,1808,20
44,1809,20
45,1817,21
46,1818,21
47,1819,21
48,1831,22
49,1832,22
50,1833,22
51,1834,22
52,1843,23
53,1844,23
54,1845,23
55,1846,23
56,1855,24
57,1856,24
58,1857,24
59,1858,24
