,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.p,loudness_direction_basis.f,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,74.0,2.0,0.75,3,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.5826771653543307,0.33951267902535803,0.19782628541635036,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0
1,1,75.0,2.75,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,-0.25,0.003488372080028057,0.5905511811023622,0.348750697501395,0.20595513631972145,0.003488372080028057,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0
2,2,72.0,0.0,0.5,3,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004651162773370743,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.004651162773370743,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
3,3,70.0,0.5,0.5,3,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.006976744160056114,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.006976744160056114,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0
4,4,62.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.009302325546741486,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.009302325546741486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,70.0,62.0,8.0
5,5,65.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.009302325546741486,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.009302325546741486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,70.0,62.0,8.0
6,6,70.0,1.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.009302325546741486,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.009302325546741486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,70.0,62.0,8.0
7,7,62.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.013953488320112228,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.013953488320112228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,70.0,62.0,8.0
8,8,65.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.013953488320112228,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.013953488320112228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,70.0,62.0,8.0
9,9,70.0,2.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.013953488320112228,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.013953488320112228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,70.0,62.0,8.0
