,src,dst
0,0,1
1,0,2
2,0,3
3,0,4
4,1,0
5,1,2
6,1,3
7,1,32
8,1,4
9,1,5
10,1,6
11,1,7
12,1,8
13,1,9
14,1,10
15,1,11
16,1,12
17,1,13
18,1,14
19,1,15
20,1,16
21,1,17
22,1,18
23,1,19
24,1,20
25,1,21
26,1,22
27,1,23
28,1,24
29,1,25
30,1,26
31,1,27
32,1,28
33,1,29
34,1,30
35,1,31
36,2,0
37,2,1
38,2,6
39,2,7
40,2,8
41,2,4
42,2,5
43,3,0
44,3,1
45,3,6
46,3,7
47,3,8
48,3,4
49,3,5
50,4,5
51,5,6
52,5,7
53,5,8
54,6,7
55,6,8
56,6,9
57,6,10
58,6,11
59,7,6
60,7,8
61,7,9
62,7,10
63,7,11
64,8,6
65,8,7
66,8,9
67,8,10
68,8,11
69,9,10
70,9,11
71,9,12
72,10,9
73,10,11
74,10,13
75,10,14
76,10,15
77,10,12
78,11,9
79,11,10
80,11,13
81,11,14
82,11,15
83,11,12
84,12,13
85,12,14
86,12,15
87,13,14
88,13,15
89,13,16
90,14,13
91,14,15
92,14,17
93,14,18
94,14,19
95,14,16
96,15,13
97,15,14
98,15,17
99,15,18
100,15,19
101,15,16
102,16,17
103,16,18
104,16,19
105,17,18
106,17,19
107,17,20
108,17,21
109,17,22
110,18,17
111,18,19
112,18,20
113,18,21
114,18,22
115,19,17
116,19,18
117,19,20
118,19,21
119,19,22
120,20,21
121,20,22
122,20,23
123,20,24
124,20,25
125,21,20
126,21,22
127,21,23
128,21,24
129,21,25
130,22,20
131,22,21
132,22,23
133,22,24
134,22,25
135,23,24
136,23,25
137,23,26
138,23,27
139,23,28
140,24,23
141,24,25
142,24,26
143,24,27
144,24,28
145,25,23
146,25,24
147,25,26
148,25,27
149,25,28
150,26,27
151,26,28
152,26,29
153,26,30
154,26,31
155,27,26
156,27,28
157,27,29
158,27,30
159,27,31
160,28,26
161,28,27
162,28,29
163,28,30
164,28,31
165,29,30
166,29,31
167,29,33
168,29,32
169,30,29
170,30,31
171,30,33
172,30,32
173,31,29
174,31,30
175,31,33
176,31,32
177,32,33
178,33,34
179,34,35
180,34,36
181,34,37
182,34,38
183,35,36
184,35,37
185,35,38
186,35,39
187,36,35
188,36,37
189,36,38
190,36,67
191,36,39
192,36,40
193,36,41
194,36,42
195,36,43
196,36,44
197,36,45
198,36,46
199,36,47
200,36,48
201,36,49
202,36,50
203,36,51
204,36,52
205,36,53
206,36,54
207,36,55
208,36,56
209,36,57
210,36,58
211,36,59
212,36,60
213,36,61
214,36,62
215,36,63
216,36,64
217,36,65
218,36,66
219,37,35
220,37,36
221,37,38
222,37,41
223,37,42
224,37,43
225,37,39
226,37,40
227,38,35
228,38,36
229,38,37
230,38,41
231,38,42
232,38,43
233,38,39
234,38,40
235,39,40
236,40,41
237,40,42
238,40,43
239,41,42
240,41,43
241,41,44
242,41,45
243,41,46
244,42,41
245,42,43
246,42,44
247,42,45
248,42,46
249,43,41
250,43,42
