,nid,pitch,onset,duration,ts,label
0,0,65,2.75,0.25,3,0.0
1,1,72,0.0,1.0,3,0.0
2,2,53,0.0,0.33333334,3,1.0
3,3,57,0.3333333432674408,0.33333334,3,1.0
4,4,60,0.6666666865348816,0.33333334,3,1.0
5,5,72,1.0,1.0,3,0.0
6,6,55,1.0,0.33333334,3,1.0
7,7,71,1.0,0.0,3,1.0
8,8,58,1.3333333730697632,0.33333334,3,0.0
9,9,60,1.6666666269302368,0.33333334,3,1.0
10,10,72,2.0,1.0,3,0.0
11,11,53,2.0,0.33333334,3,1.0
12,12,71,2.0,0.0,3,1.0
13,13,72,2.0,0.0,3,1.0
14,14,74,2.0,0.0,3,1.0
15,15,57,2.3333332538604736,0.33333334,3,0.0
16,16,60,2.6666667461395264,0.33333334,3,1.0
17,17,82,0.0,1.0,3,0.0
18,18,52,0.0,0.33333334,3,1.0
19,19,55,0.33333325386047363,0.33333334,3,0.0
20,20,60,0.6666667461395264,0.33333334,3,1.0
21,21,70,1.0,1.0,3,0.0
22,22,48,1.0,0.33333334,3,1.0
23,23,52,1.3333334922790527,0.33333334,3,0.0
24,24,55,1.6666665077209473,0.33333334,3,1.0
25,25,53,2.0,0.33333334,3,1.0
26,26,57,2.3333334922790527,0.33333334,3,0.0
27,27,69,2.5,0.5,3,0.0
28,28,60,2.6666665077209473,0.33333334,3,1.0
29,29,67,0.0,0.33333334,3,1.0
30,30,46,0.0,0.33333334,3,1.0
31,31,70,0.33333349227905273,0.33333334,3,0.0
32,32,50,0.33333349227905273,0.33333334,3,0.0
33,33,67,0.6666665077209473,0.33333334,3,1.0
34,34,55,0.6666665077209473,0.33333334,3,1.0
35,35,65,1.0,0.33333334,3,1.0
36,36,48,1.0,0.33333334,3,1.0
37,37,69,1.3333334922790527,0.33333334,3,0.0
38,38,53,1.3333334922790527,0.33333334,3,0.0
39,39,65,1.6666665077209473,0.33333334,3,1.0
40,40,57,1.6666665077209473,0.33333334,3,1.0
41,41,64,2.0,0.33333334,3,1.0
42,42,48,2.0,0.33333334,3,1.0
43,43,67,2.3333330154418945,0.33333334,3,0.0
44,44,55,2.3333330154418945,0.33333334,3,0.0
45,45,64,2.6666669845581055,0.33333334,3,1.0
46,46,58,2.6666669845581055,0.33333334,3,1.0
47,47,82,0.0,1.0,3,0.0
48,48,50,0.0,0.33333334,3,1.0
49,49,53,0.33333301544189453,0.33333334,3,0.0
50,50,58,0.6666669845581055,0.33333334,3,1.0
51,51,70,1.0,1.0,3,0.0
52,52,52,1.0,0.33333334,3,1.0
53,53,55,1.3333330154418945,0.33333334,3,0.0
54,54,60,1.6666669845581055,0.33333334,3,1.0
55,55,53,2.0,0.33333334,3,1.0
56,56,57,2.3333330154418945,0.33333334,3,0.0
57,57,69,2.5,0.5,3,0.0
58,58,60,2.6666669845581055,0.33333334,3,1.0
59,59,67,0.0,0.33333334,3,1.0
60,60,46,0.0,0.33333334,3,1.0
61,61,70,0.33333301544189453,0.33333334,3,0.0
62,62,50,0.33333301544189453,0.33333334,3,0.0
63,63,67,0.6666669845581055,0.33333334,3,1.0
64,64,55,0.6666669845581055,0.33333334,3,1.0
65,65,65,1.0,0.33333334,3,1.0
66,66,48,1.0,0.33333334,3,1.0
67,67,69,1.3333330154418945,0.33333334,3,0.0
68,68,53,1.3333330154418945,0.33333334,3,0.0
69,69,65,1.6666669845581055,0.33333334,3,1.0
70,70,57,1.6666669845581055,0.33333334,3,1.0
71,71,64,2.0,0.33333334,3,1.0
72,72,48,2.0,0.33333334,3,1.0
73,73,67,2.3333330154418945,0.33333334,3,0.0
74,74,55,2.3333330154418945,0.33333334,3,0.0
75,75,64,2.6666669845581055,0.33333334,3,1.0
76,76,58,2.6666669845581055,0.33333334,3,1.0
77,77,65,0.0,1.0,3,0.0
78,78,57,0.0,0.33333334,3,1.0
79,79,60,0.33333301544189453,0.33333334,3,0.0
80,80,57,0.6666669845581055,0.33333334,3,0.0
81,81,53,1.0,1.0,3,0.0
82,82,64,1.333333969116211,0.33333334,3,0.0
83,83,65,1.666666030883789,0.33333334,3,1.0
84,84,67,2.0,0.33333334,3,1.0
85,85,65,2.333333969116211,0.33333334,3,0.0
86,86,70,2.666666030883789,0.33333334,3,1.0
87,87,67,2.666666030883789,0.33333334,3,1.0
88,88,69,0.0,0.33333334,3,1.0
89,89,65,0.0,0.33333334,3,1.0
90,90,36,0.0,1.0,3,0.0
91,91,48,0.0,1.0,3,0.0
92,92,67,0.33333396911621094,0.33333334,3,0.0
93,93,64,0.33333396911621094,0.33333334,3,0.0
94,94,66,0.6666660308837891,0.33333334,3,1.0
95,95,63,0.6666660308837891,0.33333334,3,1.0
96,96,67,1.0,0.33333334,3,1.0
97,97,64,1.0,0.5,3,0.0
98,98,66,1.333333969116211,0.33333334,3,0.0
99,99,67,1.666666030883789,0.33333334,3,1.0
100,100,69,2.0,0.33333334,3,1.0
101,101,67,2.333333969116211,0.33333334,3,0.0
102,102,72,2.666666030883789,0.33333334,3,1.0
103,103,69,2.666666030883789,0.33333334,3,1.0
104,104,70,0.0,0.33333334,3,1.0
105,105,67,0.0,0.33333334,3,1.0
106,106,41,0.0,1.0,3,0.0
107,107,53,0.0,1.0,3,0.0
108,108,69,0.33333396911621094,0.33333334,3,0.0
109,109,65,0.33333396911621094,0.33333334,3,0.0
110,110,68,0.6666660308837891,0.33333334,3,0.0
111,111,64,0.6666660308837891,0.33333334,3,0.0
112,112,69,1.0,1.0,3,0.0
113,113,65,1.0,1.0,3,0.0
114,114,51,1.333333969116211,0.33333334,3,0.0
115,115,63,1.333333969116211,0.33333334,3,0.0
116,116,50,1.666666030883789,0.33333334,3,1.0
117,117,62,1.666666030883789,0.33333334,3,1.0
118,118,84,2.0,1.3333334,3,0.0
119,119,75,2.0,1.0,3,0.0
120,120,48,2.0,0.33333334,3,1.0
121,121,60,2.0,0.33333334,3,1.0
122,122,46,2.333333969116211,0.33333334,3,0.0
123,123,58,2.333333969116211,0.33333334,3,0.0
124,124,45,2.666666030883789,0.33333334,3,0.0
125,125,57,2.666666030883789,0.33333334,3,0.0
126,126,74,0.0,3.0,3,0.0
127,127,46,0.0,1.0,3,0.0
128,128,58,0.0,1.0,3,0.0
129,129,85,0.33333396911621094,0.33333334,3,0.0
130,130,86,0.6666660308837891,0.33333334,3,1.0
131,131,84,1.0,0.33333334,3,1.0
132,132,46,1.0,1.0,3,0.0
133,133,82,1.333333969116211,0.33333334,3,0.0
134,134,81,1.666666030883789,0.33333334,3,1.0
135,135,81,2.0,0.33333334,3,1.0
136,136,47,2.0,1.0,3,0.0
137,137,79,2.333333969116211,0.33333334,3,0.0
138,138,77,2.666666030883789,0.33333334,3,1.0
139,139,76,0.0,0.33333334,3,1.0
140,140,72,0.0,0.33333334,3,1.0
141,141,48,0.0,1.0,3,0.0
142,142,79,0.33333396911621094,0.33333334,3,0.0
143,143,79,0.6666660308837891,0.33333334,3,1.0
144,144,79,1.0,0.33333334,3,1.0
145,145,79,1.333333969116211,0.33333334,3,0.0
146,146,79,1.666666030883789,0.33333334,3,1.0
147,147,79,2.0,0.33333334,3,1.0
148,148,79,2.333333969116211,0.33333334,3,0.0
149,149,79,2.666666030883789,0.33333334,3,0.0
150,150,79,0.0,3.0,3,0.0
151,151,78,0.0,0.0,3,1.0
152,152,79,0.0,0.0,3,1.0
153,153,81,0.0,0.0,3,1.0
154,154,71,0.33333396911621094,0.33333334,3,0.0
155,155,62,0.33333396911621094,0.33333334,3,0.0
156,156,74,0.6666660308837891,0.33333334,3,1.0
157,157,65,0.6666660308837891,0.33333334,3,1.0
158,158,72,1.0,0.33333334,3,1.0
159,159,64,1.0,0.33333334,3,1.0
160,160,71,1.333333969116211,0.33333334,3,0.0
161,161,62,1.333333969116211,0.33333334,3,0.0
162,162,74,1.666666030883789,0.33333334,3,1.0
163,163,65,1.666666030883789,0.33333334,3,1.0
164,164,72,2.0,0.33333334,3,1.0
165,165,64,2.0,0.33333334,3,1.0
166,166,71,2.333332061767578,0.33333334,3,0.0
167,167,62,2.333332061767578,0.33333334,3,0.0
168,168,74,2.666667938232422,0.33333334,3,0.0
169,169,65,2.666667938232422,0.33333334,3,0.0
170,170,79,0.0,3.0,3,0.0
171,171,81,0.0,0.0,3,1.0
172,172,79,0.0,0.0,3,1.0
173,173,78,0.0,0.0,3,1.0
174,174,72,0.3333320617675781,0.33333334,3,0.0
