,src,dst
0,0,2
1,0,3
2,0,4
3,0,5
4,0,6
5,0,7
6,0,8
7,0,9
8,0,10
9,0,11
10,0,12
11,0,13
12,0,14
13,0,15
14,1,2
15,1,3
16,1,4
17,1,5
18,1,6
19,1,7
20,1,8
21,1,9
22,1,10
23,1,11
24,1,12
25,1,13
26,1,14
27,1,15
28,2,0
29,2,1
30,2,3
31,2,4
32,2,5
33,2,6
34,2,7
35,2,8
36,2,9
37,2,10
38,2,11
39,2,12
40,2,13
41,2,14
42,2,15
43,3,0
44,3,1
45,3,2
46,3,4
47,3,5
48,3,6
49,3,7
50,3,8
51,3,9
52,3,10
53,3,11
54,3,12
55,3,13
56,3,14
57,3,15
58,4,0
59,4,1
60,4,2
61,4,3
62,4,6
63,4,7
64,4,8
65,4,9
66,4,10
67,4,11
68,4,12
69,4,13
70,4,14
71,4,15
72,5,0
73,5,1
74,5,2
75,5,3
76,5,6
77,5,7
78,5,8
79,5,9
80,5,10
81,5,11
82,5,12
83,5,13
84,5,14
85,5,15
86,6,0
87,6,1
88,6,2
89,6,3
90,6,4
91,6,5
92,6,7
93,6,8
94,6,9
95,6,10
96,6,11
97,6,12
98,6,13
99,6,14
100,6,15
101,7,0
102,7,1
103,7,2
104,7,3
105,7,4
106,7,5
107,7,6
108,7,8
109,7,9
110,7,10
111,7,11
112,7,12
113,7,13
114,7,14
115,7,15
116,8,9
117,8,10
118,8,11
119,8,12
120,8,13
121,8,14
122,8,15
123,8,16
124,8,17
125,8,18
126,8,19
127,8,20
128,8,21
129,8,22
130,8,23
131,9,8
132,9,10
133,9,11
134,9,12
135,9,13
136,9,14
137,9,15
138,9,16
139,9,17
140,9,18
141,9,19
142,9,20
143,9,21
144,9,22
145,9,23
146,10,8
147,10,9
148,10,11
149,10,12
150,10,13
151,10,14
152,10,15
153,10,16
154,10,17
155,10,18
156,10,19
157,10,20
158,10,21
159,10,22
160,10,23
161,11,8
162,11,9
163,11,10
164,11,13
165,11,14
166,11,15
167,11,16
168,11,17
169,11,18
170,11,19
171,11,20
172,11,21
173,11,22
174,11,23
175,12,8
176,12,9
177,12,10
178,12,13
179,12,14
180,12,15
181,12,16
182,12,17
183,12,18
184,12,19
185,12,20
186,12,21
187,12,22
188,12,23
189,13,8
190,13,9
191,13,10
192,13,11
193,13,12
194,13,14
195,13,15
196,13,16
197,13,17
198,13,18
199,13,19
200,13,20
201,13,21
202,13,22
203,13,23
204,14,8
205,14,9
206,14,10
207,14,11
208,14,12
209,14,13
210,14,15
211,14,16
212,14,17
213,14,18
214,14,19
215,14,20
216,14,21
217,14,22
218,14,23
219,15,8
220,15,9
221,15,10
222,15,11
223,15,12
224,15,13
225,15,14
226,15,16
227,15,17
228,15,18
229,15,19
230,15,20
231,15,21
232,15,22
233,15,23
234,16,17
235,16,18
236,16,19
237,16,20
238,16,21
239,16,22
240,16,23
241,16,24
242,16,25
243,16,26
244,16,27
245,16,28
246,16,29
247,16,30
248,16,31
249,17,16
250,17,18
251,17,19
252,17,20
253,17,21
254,17,22
255,17,23
256,17,24
257,17,25
258,17,26
259,17,27
260,17,28
261,17,29
262,17,30
263,17,31
264,18,16
265,18,17
266,18,20
267,18,21
268,18,22
269,18,23
270,18,24
271,18,25
272,18,26
273,18,27
274,18,28
275,18,29
276,18,30
277,18,31
278,19,16
279,19,17
280,19,20
281,19,21
282,19,22
283,19,23
284,19,24
285,19,25
286,19,26
287,19,27
288,19,28
289,19,29
290,19,30
291,19,31
292,20,16
293,20,17
294,20,18
295,20,19
296,20,21
297,20,22
298,20,23
299,20,24
300,20,25
301,20,26
302,20,27
303,20,28
304,20,29
305,20,30
306,20,31
307,21,16
308,21,17
309,21,18
310,21,19
311,21,20
312,21,22
313,21,23
314,21,24
315,21,25
316,21,26
317,21,27
318,21,28
319,21,29
320,21,30
321,21,31
322,22,16
323,22,17
324,22,18
325,22,19
326,22,20
327,22,21
328,22,23
329,22,24
330,22,25
