,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.p,loudness_direction_basis.f,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.allegro,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,70,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0
1,1,70,0.0,1.5,2,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0024691359139978886,0.5511811023622047,0.3038006076012152,0.16744915379594538,0.0024691359139978886,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0
2,2,63,0.5,0.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.004938271827995777,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.004938271827995777,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,63.0,4.0
3,3,67,0.5,0.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.004938271827995777,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.004938271827995777,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,63.0,4.0
4,4,63,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.007407407276332378,0.49606299212598426,0.24607849215698432,0.12207043311724419,0.007407407276332378,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,63.0,4.0
5,5,67,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.007407407276332378,0.5275590551181102,0.2783185566371133,0.14682947476131172,0.007407407276332378,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,67.0,63.0,4.0
6,6,82,1.5,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.009876543655991554,0.6456692913385826,0.41688883377766756,0.2691723178721948,0.009876543655991554,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,0.0
7,7,82,0.0,1.5,2,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.012345679104328156,0.6456692913385826,0.41688883377766756,0.2691723178721948,0.012345679104328156,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,0.0
8,8,62,0.5,0.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.014814814552664757,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.014814814552664757,0.25,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,62.0,3.0
9,9,65,0.5,0.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.014814814552664757,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.014814814552664757,0.25,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,65.0,62.0,3.0
10,10,62,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.017283950001001358,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.017283950001001358,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,62.0,3.0
11,11,65,1.0,1.0,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.017283950001001358,0.5118110236220472,0.2619505239010478,0.13406916577612682,0.017283950001001358,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,65.0,62.0,3.0
12,12,80,1.5,0.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,3.5,0.01975308731198311,0.6299212598425197,0.3968007936015872,0.24995325581202343,0.01975308731198311,0.75,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0
