,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,loudness_direction_basis.p,loudness_direction_basis.f,loudness_direction_basis.pp,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,tempo_direction_basis.presto,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,69,0.0,1.5,2,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,72.0,69.0,3.0
1,1,72,0.0,1.5,2,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,72.0,69.0,3.0
2,2,57,0.5,1.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0009920635493472219,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.0009920635493472219,0.5,2.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,57.0,0.0
3,3,57,0.5,0.5,2,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0009920635493472219,0.44881889763779526,0.20143840287680576,0.09040936192108605,0.0009920635493472219,0.5,2.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,57.0,0.0
4,4,64,1.0,0.5,2,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0019841270986944437,0.5039370078740157,0.25395250790501583,0.127976066975756,0.0019841270986944437,1.3333333333333333,1.6666666666666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0
5,5,62,1.5,0.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0029761905316263437,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.0029761905316263437,2.1666666666666665,0.8333333333333334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,71.0,62.0,9.0
6,6,68,1.5,0.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0029761905316263437,0.5354330708661418,0.28668857337714676,0.1535025432255589,0.0029761905316263437,2.1666666666666665,0.8333333333333334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,71.0,62.0,9.0
7,7,71,1.5,0.5,2,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0029761905316263437,0.5590551181102362,0.31254262508525016,0.1747285541815178,0.0029761905316263437,2.1666666666666665,0.8333333333333334,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,71.0,62.0,9.0
8,8,64,0.0,2.0,2,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.003968254197388887,0.5039370078740157,0.25395250790501583,0.127976066975756,0.003968254197388887,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,69.0,64.0,5.0
9,9,69,0.0,1.5,2,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.003968254197388887,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.003968254197388887,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,69.0,64.0,5.0
