,nid,pitch,onset,duration,ts,label,duration_basis.duration,fermata_basis.fermata,grace_basis.grace_note,grace_basis.n_grace,grace_basis.grace_pos,onset_basis.onset,onset_basis.score_position,polynomial_pitch_basis.pitch,polynomial_pitch_basis.pitch^2,polynomial_pitch_basis.pitch^3,relative_score_position_basis.score_position,slur_basis.slur_incr,slur_basis.slur_decr,time_signature_basis.time_signature_num_1,time_signature_basis.time_signature_num_2,time_signature_basis.time_signature_num_3,time_signature_basis.time_signature_num_4,time_signature_basis.time_signature_num_5,time_signature_basis.time_signature_num_6,time_signature_basis.time_signature_num_7,time_signature_basis.time_signature_num_8,time_signature_basis.time_signature_num_9,time_signature_basis.time_signature_num_10,time_signature_basis.time_signature_num_11,time_signature_basis.time_signature_num_12,time_signature_basis.time_signature_num_other,time_signature_basis.time_signature_den_1,time_signature_basis.time_signature_den_2,time_signature_basis.time_signature_den_4,time_signature_basis.time_signature_den_8,time_signature_basis.time_signature_den_16,time_signature_basis.time_signature_den_other,vertical_neighbor_basis.n_total,vertical_neighbor_basis.n_above,vertical_neighbor_basis.n_below,vertical_neighbor_basis.highest_pitch,vertical_neighbor_basis.lowest_pitch,vertical_neighbor_basis.pitch_range
0,0,77.0,0.0,0.25,3,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
1,1,81.0,0.25,0.33333334,3,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.25,0.0006531678372994065,0.6377952755905512,0.4067828135656271,0.25944415668358894,0.0006531678372994065,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0
2,2,77.0,0.5833333134651184,0.33333334,3,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.5833333134651184,0.0015240582870319486,0.6062992125984252,0.3675987351974704,0.2228748237024033,0.0015240582870319486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0
3,3,72.0,0.9166666865348816,0.33333334,3,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.9166666865348816,0.0023949488531798124,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.0023949488531798124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0
4,4,69.0,0.0,1.0,3,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.007838014513254166,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.007838014513254166,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,0.0
5,5,54.0,2.0,1.0,3,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.013063357211649418,0.4251968503937008,0.18079236158472317,0.0768723427210634,0.013063357211649418,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,72.0,54.0,18.0
6,6,62.0,2.0,1.0,3,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.013063357211649418,0.4881889763779528,0.2383284766569533,0.11634933506087485,0.013063357211649418,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,72.0,54.0,18.0
7,7,69.0,2.0,1.0,3,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.013063357211649418,0.5433070866141733,0.29518259036518074,0.16037479319053127,0.013063357211649418,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,72.0,54.0,18.0
8,8,72.0,2.0,1.0,3,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.013063357211649418,0.5669291338582677,0.32140864281728565,0.18221592348696508,0.013063357211649418,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,72.0,54.0,18.0
9,9,55.0,0.0,1.0,3,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.01567602902650833,0.4330708661417323,0.1875503751007502,0.08122260339008867,0.01567602902650833,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,70.0,55.0,15.0
