,nid,pitch,onset,duration,ts,label
0,0,74.0,1.75,0.25,2,1.0
1,1,77.0,1.75,0.25,2,1.0
2,2,75.0,0.0,1.0,2,1.0
3,3,79.0,0.0,1.0,2,1.0
4,4,74.0,1.0,1.0,2,1.0
5,5,77.0,1.0,1.0,2,1.0
6,6,72.0,0.0,1.0,2,1.0
7,7,75.0,0.0,1.0,2,1.0
8,8,71.0,1.0,1.0,2,1.0
9,9,74.0,1.0,1.0,2,1.0
10,10,62.0,1.75,0.25,2,1.0
11,11,65.0,1.75,0.25,2,1.0
12,12,63.0,0.0,1.0,2,1.0
13,13,67.0,0.0,1.0,2,1.0
14,14,72.0,0.0,1.0,2,1.0
15,15,72.0,0.0,1.0,2,1.0
16,16,62.0,1.0,1.0,2,1.0
17,17,65.0,1.0,1.0,2,1.0
18,18,60.0,0.0,1.0,2,1.0
19,19,63.0,0.0,1.0,2,1.0
20,20,58.0,1.0,1.0,2,1.0
21,21,62.0,1.0,1.0,2,1.0
22,22,67.0,1.75,0.25,2,1.0
23,23,75.0,1.75,0.25,2,1.0
24,24,57.0,0.0,1.0,2,1.0
25,25,60.0,0.0,1.0,2,1.0
26,26,65.0,0.0,1.0,2,1.0
27,27,77.0,0.0,1.0,2,1.0
28,28,72.0,1.0,1.0,2,1.0
29,29,75.0,1.0,1.0,2,1.0
30,30,70.0,0.0,1.0,2,1.0
31,31,74.0,0.0,1.0,2,1.0
32,32,69.0,1.0,1.0,2,1.0
33,33,72.0,1.0,1.0,2,1.0
34,34,60.0,1.75,0.25,2,1.0
35,35,63.0,1.75,0.25,2,1.0
36,36,62.0,0.0,1.0,2,1.0
37,37,65.0,0.0,1.0,2,1.0
38,38,70.0,0.0,1.0,2,1.0
39,39,70.0,0.0,1.0,2,1.0
40,40,60.0,1.0,1.0,2,1.0
41,41,63.0,1.0,1.0,2,1.0
42,42,58.0,0.0,1.0,2,1.0
43,43,62.0,0.0,1.0,2,1.0
44,44,57.0,1.0,1.0,2,1.0
45,45,60.0,1.0,1.0,2,1.0
46,46,58.0,0.0,0.5,2,1.0
47,47,58.0,0.0,0.5,2,1.0
48,48,62.0,0.0,0.5,2,1.0
49,49,77.0,0.0,2.0,2,1.0
50,50,58.0,0.5,0.5,2,1.0
51,51,58.0,0.5,0.5,2,1.0
52,52,62.0,0.5,0.5,2,1.0
53,53,58.0,1.0,0.5,2,1.0
54,54,58.0,1.0,0.5,2,1.0
55,55,62.0,1.0,0.5,2,1.0
56,56,58.0,1.5,0.5,2,1.0
57,57,58.0,1.5,0.5,2,1.0
58,58,62.0,1.5,0.5,2,1.0
59,59,58.0,0.0,0.5,2,1.0
60,60,58.0,0.0,0.5,2,1.0
61,61,65.0,0.0,0.5,2,1.0
62,62,74.0,0.0,1.0,2,1.0
63,63,58.0,0.5,0.5,2,1.0
64,64,58.0,0.5,0.5,2,1.0
65,65,65.0,0.5,0.5,2,1.0
66,66,58.0,1.0,0.5,2,1.0
67,67,62.0,1.0,0.5,2,1.0
68,68,65.0,1.0,0.5,2,1.0
69,69,70.0,1.0,1.0,2,1.0
70,70,58.0,1.5,0.5,2,1.0
71,71,62.0,1.5,0.5,2,1.0
72,72,65.0,1.5,0.5,2,1.0
73,73,46.0,0.0,0.5,2,1.0
74,74,58.0,0.0,0.5,2,1.0
75,75,63.0,0.0,0.5,2,1.0
76,76,79.0,0.0,1.25,2,1.0
77,77,46.0,0.5,0.5,2,1.0
78,78,58.0,0.5,0.5,2,1.0
79,79,63.0,0.5,0.5,2,1.0
80,80,46.0,1.0,0.5,2,1.0
81,81,58.0,1.0,0.5,2,1.0
82,82,75.0,1.0,0.5,2,1.0
83,83,81.0,1.25,0.25,2,0.0
84,84,46.0,1.5,0.5,2,1.0
85,85,58.0,1.5,0.5,2,1.0
86,86,75.0,1.5,0.5,2,1.0
87,87,79.0,1.5,0.25,2,0.0
88,88,81.0,1.75,0.25,2,0.0
89,89,46.0,0.0,0.5,2,1.0
90,90,58.0,0.0,0.5,2,1.0
91,91,74.0,0.0,0.5,2,1.0
92,92,82.0,0.0,1.0,2,1.0
93,93,46.0,0.5,0.5,2,1.0
94,94,58.0,0.5,0.5,2,1.0
95,95,74.0,0.5,0.5,2,1.0
96,96,50.0,1.0,0.5,2,1.0
97,97,62.0,1.0,0.5,2,1.0
98,98,65.0,1.0,0.5,2,1.0
99,99,50.0,1.5,0.5,2,1.0
100,100,62.0,1.5,0.5,2,1.0
101,101,65.0,1.5,0.5,2,1.0
102,102,70.0,1.75,0.25,2,0.0
103,103,51.0,0.0,0.5,2,1.0
104,104,63.0,0.0,0.5,2,1.0
105,105,67.0,0.0,0.5,2,1.0
106,106,72.0,0.0,1.0,2,1.0
107,107,51.0,0.5,0.5,2,1.0
108,108,63.0,0.5,0.5,2,1.0
109,109,67.0,0.5,0.5,2,1.0
110,110,53.0,1.0,0.5,2,1.0
111,111,65.0,1.0,0.5,2,1.0
112,112,69.0,1.0,0.5,2,1.0
113,113,74.0,1.0,1.0,2,1.0
114,114,53.0,1.5,0.5,2,1.0
115,115,65.0,1.5,0.5,2,1.0
116,116,69.0,1.5,0.5,2,1.0
117,117,55.0,0.0,0.5,2,1.0
118,118,67.0,0.0,0.5,2,1.0
119,119,70.0,0.0,0.5,2,1.0
120,120,75.0,0.0,1.5,2,1.0
121,121,55.0,0.5,0.5,2,1.0
122,122,67.0,0.5,0.5,2,1.0
123,123,70.0,0.5,0.5,2,1.0
124,124,57.0,1.0,0.5,2,1.0
125,125,65.0,1.0,0.5,2,1.0
126,126,72.0,1.0,0.5,2,1.0
127,127,57.0,1.5,0.5,2,1.0
128,128,65.0,1.5,0.5,2,1.0
129,129,72.0,1.5,0.5,2,1.0
130,130,74.0,1.5,0.25,2,0.0
131,131,75.0,1.75,0.25,2,0.0
132,132,58.0,0.0,0.5,2,1.0
133,133,65.0,0.0,1.5,2,1.0
134,134,70.0,0.0,0.5,2,1.0
135,135,74.0,0.0,1.5,2,1.0
136,136,46.0,0.5,0.5,2,0.0
137,137,58.0,0.5,1.0,2,1.0
138,138,58.0,1.0,0.5,2,0.0
139,139,58.0,1.5,1.0,2,1.0
140,140,58.0,1.5,0.5,2,1.0
141,141,62.0,1.5,0.5,2,1.0
142,142,70.0,1.5,0.5,2,1.0
143,143,57.0,0.0,0.5,2,1.0
144,144,63.0,0.0,0.5,2,1.0
145,145,72.0,0.0,0.5,2,1.0
146,146,56.0,0.5,0.5,2,1.0
147,147,58.0,0.5,1.0,2,1.0
148,148,65.0,0.5,0.5,2,1.0
149,149,74.0,0.5,0.5,2,1.0
150,150,55.0,1.0,0.5,2,1.0
151,151,67.0,1.0,0.5,2,1.0
152,152,75.0,1.0,0.5,2,1.0
153,153,53.0,1.5,0.5,2,1.0
154,154,58.0,1.5,0.5,2,1.0
155,155,62.0,1.5,0.5,2,1.0
156,156,77.0,1.5,0.5,2,1.0
157,157,51.0,0.0,0.5,2,1.0
158,158,58.0,0.0,0.5,2,1.0
159,159,63.0,0.0,0.5,2,1.0
160,160,79.0,0.0,2.0,2,1.0
161,161,51.0,0.5,0.5,2,1.0
162,162,63.0,0.5,0.5,2,1.0
163,163,70.0,0.5,0.5,2,1.0
164,164,51.0,1.0,0.5,2,1.0
165,165,63.0,1.0,0.5,2,1.0
166,166,70.0,1.0,0.5,2,1.0
167,167,51.0,1.5,0.5,2,1.0
168,168,63.0,1.5,0.5,2,1.0
169,169,70.0,1.5,0.5,2,1.0
170,170,81.0,0.0,2.0,2,1.0
171,171,53.0,0.5,0.5,2,1.0
172,172,60.0,0.5,0.5,2,1.0
173,173,63.0,0.5,0.5,2,1.0
