,src,dst
0,0,30000
1,0,1
2,0,30001
3,1,30001
4,1,2
5,1,30002
6,2,30002
7,2,3
8,2,30003
9,3,30003
10,3,4
11,3,30004
12,4,30004
13,4,5
14,4,30005
15,5,30005
16,5,6
17,5,30006
18,6,30006
19,6,7
20,6,30007
21,7,30007
22,7,8
23,7,30008
24,8,30008
25,8,9
26,8,30009
27,9,30009
28,9,10
29,9,30010
30,10,30010
31,10,11
32,10,30011
33,11,30011
34,11,12
35,11,30012
36,12,30012
37,12,13
38,12,30013
39,13,30013
40,13,14
41,13,30014
42,14,30014
43,14,15
44,14,30015
45,15,30015
46,15,16
47,15,30016
48,16,30016
49,16,17
50,16,30017
51,17,30017
52,17,18
53,17,30018
54,18,30018
55,18,19
56,18,30019
57,19,30019
58,19,20
59,19,30020
60,20,30020
61,20,21
62,20,30021
63,21,30021
64,21,22
65,21,30022
66,22,30022
67,22,23
68,22,30023
69,23,30023
70,23,24
71,23,30024
72,24,30024
73,24,25
74,24,30025
75,25,30025
76,25,26
77,25,30026
78,26,30026
79,26,27
80,26,30027
81,27,30027
82,27,28
83,27,30028
84,28,30028
85,28,29
86,28,30029
87,29,30029
88,29,30
89,29,30030
90,30,30030
91,30,31
92,30,30031
93,31,30031
94,31,32
95,31,30032
96,32,30032
97,32,33
98,32,30033
99,33,30033
100,33,34
101,33,30034
102,34,30034
103,34,35
104,34,30035
105,35,30035
106,35,36
107,35,30036
108,36,30036
109,36,37
110,36,30037
111,37,30037
112,37,38
113,37,30038
114,38,39
115,38,30039
116,39,30039
117,39,40
118,39,30040
119,40,30040
120,40,41
121,40,30041
122,41,30041
123,41,42
124,41,30042
125,42,30042
126,42,43
127,42,30043
128,43,30043
129,43,44
130,43,30044
131,44,30044
132,44,45
133,44,30045
134,45,30045
135,45,46
136,45,30046
137,46,30046
138,46,47
139,46,30047
140,47,30047
141,47,48
142,47,30048
143,48,30048
144,48,49
145,48,30049
146,49,30049
147,49,50
148,49,30050
149,50,30050
150,50,51
151,50,30051
152,51,30051
153,51,52
154,51,30052
155,52,30052
156,52,53
157,52,30053
158,53,30053
159,53,54
160,53,30054
161,54,30054
162,54,55
163,54,30055
164,55,30055
165,55,56
166,55,30056
167,56,30056
168,56,57
169,56,30057
170,57,30057
171,57,58
172,57,30058
173,58,30058
174,58,59
175,58,30059
176,59,30059
177,59,60
178,59,30060
179,60,30060
180,60,61
181,60,30061
182,61,30061
183,61,62
184,61,30062
185,62,30062
186,62,63
187,62,30063
188,63,30063
189,63,64
190,63,30064
191,64,30064
192,64,65
193,64,30065
194,65,30065
195,65,66
196,65,30066
197,66,30066
198,66,67
199,66,30067
200,67,30067
201,67,68
202,67,30068
203,68,30068
204,68,69
205,68,30069
206,69,30069
207,69,70
208,69,30070
209,70,30070
210,70,71
211,70,30071
212,71,30071
213,71,72
214,71,30072
215,72,30072
216,72,73
217,72,30073
218,73,30073
219,73,74
220,73,30074
221,74,30074
222,74,75
223,74,30075
224,75,30075
225,75,76
226,75,30076
227,76,30076
228,76,77
229,76,30077
230,77,30077
231,77,78
232,77,30078
233,78,30078
234,78,79
235,78,30079
236,79,30079
237,79,80
238,79,30080
239,80,30080
240,80,81
241,80,30081
242,81,30081
243,81,82
244,81,30082
245,82,30082
246,82,83
247,82,30083
248,83,30083
249,83,84
250,83,30084
251,84,30084
252,84,85
253,84,30085
254,85,30085
255,85,86
256,85,30086
257,86,30086
258,86,87
259,86,30087
260,87,30087
261,87,88
262,87,30088
263,88,30088
264,88,89
265,88,30089
266,89,30089
267,89,90
268,89,30090
269,90,30090
270,90,91
271,90,30091
272,91,30091
273,91,92
274,91,30092
275,92,30092
276,92,93
277,92,30093
278,93,30093
279,93,94
280,93,30094
281,94,30094
282,94,95
283,94,30095
284,95,30095
285,95,96
286,95,30096
287,96,30096
288,96,97
289,96,30097
290,97,30097
291,97,98
292,97,30098
293,98,30098
294,98,99
295,98,30099
296,99,30099
297,99,100
298,99,30100
299,100,30100
300,100,101
301,100,30101
302,101,30101
303,101,102
304,101,30102
305,102,30102
306,102,103
307,102,30103
308,103,30103
309,103,104
310,103,30104
311,104,30104
312,104,105
313,104,30105
314,105,30105
315,105,106
316,105,30106
317,106,30106
318,106,107
319,106,30107
320,107,30107
321,107,108
322,107,30108
323,108,30108
324,108,109
325,108,30109
326,109,30109
327,109,110
328,109,30110
329,110,30110
330,110,111
331,110,30111
332,111,30111
333,111,112
334,111,30112
335,112,30112
336,112,113
337,112,30113
338,113,30113
339,113,114
340,113,30114
341,114,30114
342,114,115
343,114,30115
344,115,30115
345,115,116
346,115,30116
347,116,30116
348,116,117
349,116,30117
350,117,30117
351,117,118
352,117,30118
353,118,30118
354,118,119
355,118,30119
356,119,30119
357,119,120
358,119,30120
359,120,30120
360,120,121
361,120,30121
362,121,30121
363,121,122
364,121,30122
365,122,30122
366,122,123
367,122,30123
368,123,30123
369,123,124
370,123,30124
371,124,30124
372,124,125
373,124,30125
374,125,30125
375,125,126
376,125,30126
377,126,30126
378,126,127
379,126,30127
380,127,30127
381,127,128
382,127,30128
383,128,30128
384,128,129
385,128,30129
386,129,30129
387,129,130
388,129,30130
389,130,30130
390,130,131
391,130,30131
392,131,30131
393,131,132
394,131,30132
395,132,30132
396,132,133
397,132,30133
398,133,30133
399,133,134
400,133,30134
401,134,30134
402,134,135
403,134,30135
404,135,30135
405,135,136
406,135,30136
407,136,30136
408,136,137
409,136,30137
410,137,30137
411,137,138
412,137,30138
413,138,30138
414,138,139
415,138,30139
416,139,30139
417,139,140
418,139,30140
419,140,30140
420,140,141
421,140,30141
422,141,30141
423,141,142
424,141,30142
425,142,30142
426,142,143
427,142,30143
428,143,30143
429,143,144
430,143,30144
431,144,30144
432,144,145
433,144,30145
434,145,30145
435,145,146
436,145,30146
437,146,30146
438,146,147
439,146,30147
440,147,30147
441,147,148
442,147,30148
443,148,30148
444,148,149
445,148,30149
446,149,30149
447,149,150
448,149,30150
449,150,30150
450,150,151
451,150,30151
452,151,30151
453,151,152
454,151,30152
455,152,30152
456,152,153
457,152,30153
458,153,30153
459,153,154
460,153,30154
461,154,30154
462,154,155
463,154,30155
464,155,30155
465,155,156
466,155,30156
467,156,30156
468,156,157
469,156,30157
470,157,30157
471,157,158
472,157,30158
473,158,30158
474,158,159
475,158,30159
476,159,30159
477,159,160
478,159,30160
479,160,30160
480,160,161
481,160,30161
482,161,30161
483,161,162
484,161,30162
485,162,30162
486,162,163
487,162,30163
488,163,30163
489,163,164
490,163,30164
491,164,30164
492,164,165
493,164,30165
494,165,30165
495,165,166
496,165,30166
497,166,30166
498,166,167
499,166,30167
500,167,30167
501,167,168
502,167,30168
503,168,30168
504,168,169
505,168,30169
506,169,30169
507,169,170
508,169,30170
509,170,30170
510,170,171
511,170,30171
512,171,30171
513,171,172
514,171,30172
515,172,30172
516,172,173
517,172,30173
518,173,30173
519,173,174
520,173,30174
521,174,30174
522,174,175
523,174,30175
524,175,30175
525,175,176
526,175,30176
527,176,30176
528,176,177
529,176,30177
530,177,30177
531,177,178
532,177,30178
533,178,30178
534,178,179
535,178,30179
536,179,30179
537,179,180
538,179,30180
539,180,30180
540,180,181
541,180,30181
542,181,30181
543,181,182
544,181,30182
545,182,30182
546,182,183
547,182,30183
548,183,30183
549,183,184
550,183,30184
551,184,30184
552,184,185
553,184,30185
554,185,30185
555,185,186
556,185,30186
557,186,187
558,186,30187
559,187,30187
560,187,188
561,187,30188
562,188,30188
563,188,189
564,188,30189
565,189,30189
566,189,190
567,189,30190
568,190,30190
569,190,191
570,190,30191
571,191,30191
572,191,192
573,191,30192
574,192,30192
575,192,193
576,192,30193
577,193,30193
578,193,194
579,193,30194
580,194,30194
581,194,195
582,194,30195
583,195,30195
584,195,196
585,195,30196
586,196,30196
587,196,197
588,196,30197
589,197,30197
590,197,198
591,197,30198
592,198,30198
593,198,199
594,198,30199
595,199,30199
596,199,200
