,nid,pitch,onset,duration,ts,label
0,0,72,0.0,1.0,2,1
1,1,80,1.0,1.0,2,0
2,2,72,2.0,1.0,2,1
3,3,81,3.0,1.0,2,0
4,4,22,4.0,1.0,2,1
5,5,91,5.0,1.0,2,0
6,6,38,6.0,1.0,2,1
7,7,98,7.0,1.0,2,0
8,8,108,8.0,1.0,2,1
9,9,24,9.0,1.0,2,0
10,10,81,10.0,1.0,2,1
11,11,57,11.0,1.0,2,0
12,12,31,12.0,1.0,2,1
13,13,25,13.0,1.0,2,0
14,14,89,14.0,1.0,2,1
15,15,72,15.0,1.0,2,0
16,16,99,16.0,1.0,2,1
17,17,108,17.0,1.0,2,0
18,18,93,18.0,1.0,2,1
19,19,119,19.0,1.0,2,0
20,20,22,20.0,1.0,2,1
21,21,121,21.0,1.0,2,0
22,22,86,22.0,1.0,2,1
23,23,72,23.0,1.0,2,0
24,24,32,24.0,1.0,2,1
25,25,40,25.0,1.0,2,0
26,26,57,26.0,1.0,2,1
27,27,89,27.0,1.0,2,0
28,28,92,28.0,1.0,2,1
29,29,36,29.0,1.0,2,0
30,30,107,30.0,1.0,2,1
31,31,37,31.0,1.0,2,0
32,32,27,32.0,1.0,2,1
33,33,47,33.0,1.0,2,0
34,34,66,34.0,1.0,2,1
35,35,44,35.0,1.0,2,0
36,36,104,36.0,1.0,2,1
37,37,124,37.0,1.0,2,0
38,38,98,38.0,1.0,2,1
39,39,122,39.0,1.0,2,0
40,40,49,40.0,1.0,2,1
41,41,123,41.0,1.0,2,0
42,42,97,42.0,1.0,2,1
43,43,31,43.0,1.0,2,0
44,44,41,44.0,1.0,2,1
45,45,103,45.0,1.0,2,0
46,46,20,46.0,1.0,2,1
47,47,105,47.0,1.0,2,0
48,48,30,48.0,1.0,2,1
49,49,125,49.0,1.0,2,0
50,50,23,50.0,1.0,2,1
51,51,69,51.0,1.0,2,0
52,52,89,52.0,1.0,2,1
53,53,46,53.0,1.0,2,0
54,54,118,54.0,1.0,2,1
55,55,89,55.0,1.0,2,0
56,56,105,56.0,1.0,2,1
57,57,115,57.0,1.0,2,0
58,58,82,58.0,1.0,2,1
59,59,32,59.0,1.0,2,0
60,60,124,60.0,1.0,2,1
61,61,56,61.0,1.0,2,0
62,62,47,62.0,1.0,2,1
63,63,56,63.0,1.0,2,0
64,64,83,64.0,1.0,2,1
65,65,116,65.0,1.0,2,0
66,66,79,66.0,1.0,2,1
67,67,99,67.0,1.0,2,0
68,68,80,68.0,1.0,2,1
69,69,108,69.0,1.0,2,0
70,70,114,70.0,1.0,2,1
71,71,21,71.0,1.0,2,0
72,72,108,72.0,1.0,2,1
73,73,101,73.0,1.0,2,0
74,74,22,74.0,1.0,2,1
75,75,62,75.0,1.0,2,0
76,76,35,76.0,1.0,2,1
77,77,126,77.0,1.0,2,0
78,78,58,78.0,1.0,2,1
79,79,115,79.0,1.0,2,0
80,80,34,80.0,1.0,2,1
